Time [s],Channel 0
0.000000000,0
0.190369330,1
0.209389140,0
0.413920010,1
0.413920020,0
0.413924800,1
0.432901370,0
0.635831320,1
0.635831330,0
0.635836200,1
0.654870180,0
0.859473290,1
0.859473300,0
0.859478070,1
0.878495080,0
1.081810700,1
1.081810710,0
1.081815590,1
1.100866450,0
1.304363350,1
1.304363360,0
1.304368280,1
1.323318220,0
1.526922940,1
1.526922950,0
1.526927710,1
1.545906210,0
1.749352630,1
1.749352640,0
1.749357400,1
1.768373810,0
1.971951330,1
1.971951340,0
1.971956350,1
1.990998740,0
2.078801920,0
