Time [s],Channel 0
0.000000000,1
0.077544580,0
0.077554800,1
0.303472410,0
0.303482120,1
0.529355610,0
0.529366060,1
0.529366080,0
0.529366090,1
0.755172720,0
0.755182580,1
0.755182600,0
0.755182610,1
0.981174570,0
0.981184310,1
0.981184330,0
0.981184340,1
1.207100750,0
1.207110060,1
1.433050710,0
1.433060430,1
1.659163440,0
1.659172850,1
1.659172870,0
1.659172880,1
1.885146860,0
1.885156910,1
1.885156920,0
1.885156940,1
2.110915060,0
2.110925330,1
2.336778700,0
2.336789260,1
2.336789280,0
2.336789290,1
2.562666690,0
2.562676810,1
2.788556670,0
2.788567150,1
3.014432830,0
3.014442500,1
3.240378420,0
3.240388350,1
3.240388360,0
3.240388380,1
3.466234840,0
3.466244240,1
3.466244260,0
3.466244270,1
3.692161800,0
3.692171790,1
3.692171800,0
3.692171810,1
3.918071890,0
3.918081850,1
3.918081870,0
3.918081880,1
4.144072970,0
4.144083380,1
4.144083390,0
4.144083410,1
4.370031690,0
4.370041850,1
4.595939070,0
4.595948670,1
4.821908420,0
4.821917950,1
5.047738240,0
5.047747980,1
5.273566450,0
5.273576020,1
5.273576040,0
5.273576050,1
5.499453530,0
5.499463630,1
5.499463650,0
5.499463660,1
5.725444360,0
5.725454010,1
5.725454020,0
5.725454040,1
5.951389800,0
5.951399750,1
5.951399770,0
5.951399780,1
6.177320540,0
6.177330250,1
6.177330260,0
6.177330280,1
6.403256680,0
6.403267230,1
6.403267240,0
6.403267250,1
6.629291420,0
6.629302500,1
6.629302520,0
6.629302540,1
6.855073390,0
6.855083040,1
6.855083060,0
6.855083070,1
7.081043200,0
7.081052990,1
7.081053010,0
7.081053020,1
7.306926620,0
7.306936710,1
7.306936720,0
7.306936740,1
7.532836580,0
7.532846330,1
7.758878790,0
7.758888030,1
7.984749540,0
7.984759860,1
8.210626070,0
8.210635780,1
8.210635800,0
8.210635810,1
8.436548420,0
8.436558470,1
8.436558490,0
8.436558500,1
8.662503570,0
8.662513590,1
8.662513610,0
8.662513620,1
8.888456540,0
8.888466160,1
8.888466180,0
8.888466190,1
9.114467850,0
9.114477260,1
9.114477280,0
9.114477290,1
9.340403990,0
9.340413870,1
9.340413880,0
9.340413900,1
9.566220670,0
9.566231940,1
9.566231950,0
9.566231960,1
9.792012620,0
9.792022410,1
9.792022430,0
9.792022440,1
10.017905960,0
10.017915690,1
10.017915700,0
10.017915710,1
10.087301120,1
