Time [s],Channel 0
0.000000000,1
0.014353280,0
0.014362110,1
0.034479840,0
0.034488550,1
0.034488570,0
0.034488580,1
0.054572180,0
0.054580300,1
0.074617080,0
0.074625230,1
0.094716140,0
0.094724280,1
0.114832690,0
0.114840830,1
0.135042650,0
0.135051270,1
0.155181170,0
0.155189300,1
0.175306910,0
0.175315490,1
0.195417980,0
0.195426600,1
0.195426610,0
0.195426630,1
0.215555510,0
0.215563560,1
0.235692950,0
0.235701220,1
0.255793860,0
0.255802570,1
0.275919750,0
0.275928380,1
0.275928400,0
0.275928410,1
0.296057520,0
0.296065630,1
0.296065640,0
0.296065650,1
0.316182930,0
0.316191110,1
0.336307560,0
0.336316280,1
0.356480260,0
0.356488370,1
0.356488380,0
0.356488390,1
0.376600620,0
0.376608880,1
0.396725500,0
0.396733690,1
0.396733700,0
0.396733720,1
0.416855270,0
0.416863450,1
0.416863460,0
0.416863480,1
0.436957960,0
0.436966810,1
0.457093450,0
0.457102140,1
0.477225230,0
0.477233360,1
0.497368630,0
0.497376820,1
0.517545040,0
0.517553210,1
0.537694000,0
0.537702630,1
0.557794700,0
0.557802900,1
0.557802910,0
0.557802920,1
0.577943490,0
0.577951640,1
0.577951650,0
0.577951660,1
0.598101030,0
0.598109300,1
0.618231550,0
0.618239760,1
0.638320560,0
0.638328760,1
0.658432970,0
0.658441270,1
0.678558750,0
0.678567470,1
0.698684970,0
0.698693650,1
0.718836530,0
0.718844760,1
0.739047530,0
0.739056140,1
0.739056150,0
0.739056170,1
0.759171040,0
0.759179120,1
0.759179130,0
0.759179140,1
0.779309780,0
0.779318390,1
0.779318400,0
0.779318420,1
0.799445970,0
0.799454130,1
0.819560170,0
0.819568380,1
0.839696020,0
0.839704120,1
0.859821100,0
0.859829680,1
0.879945300,0
0.879953430,1
0.879953440,0
0.879953450,1
0.900031620,0
0.900040250,1
0.900040270,0
0.900040280,1
0.920171620,0
0.920179780,1
0.920179790,0
0.920179800,1
0.940280620,0
0.940288730,1
0.940288740,0
0.940288750,1
0.960400130,0
0.960408270,1
0.980436920,0
0.980445840,1
0.980445850,0
0.980445870,1
1.000603310,0
1.000611430,1
1.020733210,0
1.020741260,1
1.020741270,0
1.020741280,1
1.040852970,0
1.040861220,1
1.060977660,0
1.060985810,1
1.081107600,0
1.081115750,1
1.101229220,0
1.101237360,1
1.101237370,0
1.101237390,1
1.121357720,0
1.121366470,1
1.141478410,0
1.141487150,1
1.161603220,0
1.161611890,1
1.181729200,0
1.181737240,1
1.181737250,0
1.181737260,1
1.201923650,0
1.201932330,1
1.201932340,0
1.201932360,1
1.222072490,0
1.222080570,1
1.222080580,0
1.222080590,1
1.242203260,0
1.242211880,1
1.262228880,0
1.262237070,1
1.282353040,0
1.282361150,1
1.282361160,0
1.282361170,1
1.302479110,0
1.302487330,1
1.302487340,0
1.302487360,1
1.322609970,0
1.322618110,1
1.342730030,0
1.342738120,1
1.362855760,0
1.362864350,1
1.362864360,0
1.362864380,1
1.382978230,0
1.382986340,1
1.382986350,0
1.382986360,1
1.403096530,0
1.403104700,1
1.403104710,0
1.403104720,1
1.423229710,0
1.423237880,1
1.423237890,0
1.423237900,1
1.443360090,0
1.443368230,1
1.463449530,0
1.463457780,1
1.483574750,0
1.483582880,1
1.483582890,0
1.483582900,1
1.503698230,0
1.503706370,1
1.523855100,0
1.523863780,1
1.523863790,0
1.523863810,1
1.543981590,0
1.543989680,1
1.564104650,0
1.564112880,1
1.584230340,0
1.584238990,1
1.604354360,0
1.604362630,1
1.624480970,0
1.624489100,1
1.644606010,0
1.644614630,1
1.644614640,0
1.644614660,1
1.664735010,0
1.664743090,1
1.664743100,0
1.664743120,1
1.684861560,0
1.684870210,1
1.704980210,0
1.704988420,1
1.725106520,0
1.725114700,1
1.725114710,0
1.725114720,1
1.745200430,0
1.745208620,1
1.745208630,0
1.745208640,1
1.765324880,0
1.765332980,1
1.765332990,0
1.765333000,1
1.785482770,0
1.785490880,1
1.805612710,0
1.805621300,1
1.825732450,0
1.825740470,1
1.845861510,0
1.845869710,1
1.845869720,0
1.845869740,1
1.865982090,0
1.865990240,1
1.865990250,0
1.865990260,1
1.886081440,0
1.886089580,1
1.906177720,0
1.906185900,1
1.926325850,0
1.926334010,1
1.946449740,0
1.946458350,1
1.966576550,0
1.966584630,1
1.986700550,0
1.986708800,1
1.986708810,0
1.986708830,1
2.006857700,0
2.006865830,1
2.026982680,0
2.026991400,1
2.047112740,0
2.047120900,1
2.067233190,0
2.067241350,1
2.087358530,0
2.087366720,1
2.087366730,0
2.087366740,1
2.107487700,0
2.107495810,1
2.107495820,0
2.107495830,1
2.127591190,0
2.127599390,1
2.147725380,0
2.147733430,1
2.167817090,0
2.167825360,1
2.187928100,0
2.187936330,1
2.208077470,0
2.208085600,1
2.228178190,0
2.228186780,1
2.248327050,0
2.248335200,1
2.268483950,0
2.268492080,1
2.288613440,0
2.288621570,1
2.308738860,0
2.308746990,1
2.328858980,0
2.328867070,1
2.349053690,0
2.349062310,1
2.369190950,0
2.369199580,1
2.389328920,0
2.389337010,1
2.409442300,0
2.409450470,1
2.429566520,0
2.429574610,1
2.449702950,0
2.449711220,1
2.469859270,0
2.469867360,1
2.489976810,0
2.489984930,1
2.510109460,0
2.510117790,1
2.530235600,0
2.530243690,1
2.550343840,0
2.550352020,1
2.570478110,0
2.570486750,1
2.590594000,0
2.590602120,1
2.590602130,0
2.590602140,1
2.610754620,0
2.610762750,1
2.610762760,0
2.610762770,1
2.630879690,0
2.630888420,1
2.630888430,0
2.630888450,1
2.651067380,0
2.651075730,1
2.651075740,0
2.651075750,1
2.671203990,0
2.671212220,1
2.691328370,0
2.691336430,1
2.711485220,0
2.711493320,1
2.711493330,0
2.711493340,1
2.731610610,0
2.731618810,1
2.751741030,0
2.751749190,1
2.771860970,0
2.771869220,1
2.791990850,0
2.791998990,1
2.812086210,0
2.812094410,1
2.832204020,0
2.832212150,1
2.852367230,0
2.852375360,1
2.852375370,0
2.852375380,1
2.872488420,0
2.872496500,1
2.892616550,0
2.892624840,1
2.892624850,0
2.892624870,1
2.912742740,0
2.912750820,1
2.932863170,0
2.932871940,1
2.952985850,0
2.952994100,1
2.952994110,0
2.952994130,1
2.973131190,0
2.973139760,1
2.993229270,0
2.993237420,1
3.013362490,0
3.013370610,1
3.033488340,0
3.033496570,1
3.033496580,0
3.033496590,1
3.053618640,0
3.053626910,1
3.053626920,0
3.053626930,1
3.073743480,0
3.073752070,1
3.073752080,0
3.073752100,1
3.093836690,0
3.093845310,1
3.113955700,0
3.113964270,1
3.134070360,0
3.134078510,1
3.154237860,0
3.154246580,1
3.154246590,0
3.154246610,1
3.174347020,0
3.174355120,1
3.194506720,0
3.194514870,1
3.194514880,0
3.194514890,1
3.214694860,0
3.214703130,1
3.214703140,0
3.214703150,1
3.234863390,0
3.234871500,1
3.254994870,0
3.255002920,1
3.275114550,0
3.275122680,1
3.295239590,0
3.295248260,1
3.295248270,0
3.295248290,1
3.315369100,0
3.315377780,1
3.315377800,0
3.315377810,1
3.335492220,0
3.335500380,1
3.335500390,0
3.335500400,1
3.355613360,0
3.355621440,1
3.375740180,0
3.375748330,1
3.395868770,0
3.395877590,1
3.395877610,0
3.395877620,1
3.415988410,0
3.415996730,1
3.436114110,0
3.436122810,1
3.436122830,0
3.436122840,1
3.456243690,0
3.456251800,1
3.456251810,0
3.456251820,1
3.476369140,0
3.476377240,1
3.496489910,0
