Time [s],Channel 0
0.000000000,1
0.007722490,0
0.007730830,1
0.040883540,0
0.040892090,1
0.074096680,0
0.074104790,1
0.107251470,0
0.107259860,1
0.140420250,0
0.140428650,1
0.173598170,0
0.173606660,1
0.173606670,0
0.173606680,1
0.206752060,0
0.206760500,1
0.239980170,0
0.239988690,1
0.239988700,0
0.239988720,1
0.273135450,0
0.273143930,1
0.306355820,0
0.306364150,1
0.339598340,0
0.339606640,1
0.339606650,0
0.339606660,1
0.372731050,0
0.372739440,1
0.405887250,0
0.405895640,1
0.405895650,0
0.405895660,1
0.439003250,0
0.439011590,1
0.472127770,0
0.472136280,1
0.505220380,0
0.505228760,1
0.538297210,0
0.538305640,1
0.571474880,0
0.571483380,1
0.571483390,0
0.571483400,1
0.604724190,0
0.604733610,1
0.604733620,0
0.604733640,1
0.637878750,0
0.637887020,1
0.671012090,0
0.671020320,1
0.671020330,0
0.671020340,1
0.704225270,0
0.704233550,1
0.737350940,0
0.737359360,1
0.770504350,0
0.770512800,1
0.770512810,0
0.770512820,1
0.803629880,0
0.803638260,1
0.836764580,0
0.836772710,1
0.836772720,0
0.836772730,1
0.869976890,0
0.869985290,1
0.903173860,0
0.903182240,1
0.936358560,0
0.936366830,1
0.969513940,0
0.969522430,1
0.969522450,0
0.969522460,1
1.002557330,0
1.002565750,1
1.035727410,0
1.035735870,1
1.068880570,0
1.068888970,1
1.068888990,0
1.068889000,1
1.101978400,0
1.101987030,1
1.101987040,0
1.101987060,1
1.135130930,0
1.135139740,1
1.168300680,0
1.168309350,1
1.201506600,0
1.201515080,1
1.201515100,0
1.201515110,1
1.234641170,0
1.234649610,1
1.267853150,0
1.267861550,1
1.267861560,0
1.267861580,1
1.301048590,0
1.301056910,1
1.301056920,0
1.301056930,1
1.334265340,0
1.334273950,1
1.367353820,0
1.367362310,1
1.400485090,0
1.400493410,1
1.433631500,0
1.433639830,1
1.433639840,0
1.433639850,1
1.466802040,0
1.466810440,1
1.499926710,0
1.499934920,1
1.533131950,0
1.533140230,1
1.566256710,0
1.566264900,1
1.599383160,0
1.599391420,1
1.632517890,0
1.632526070,1
1.665730440,0
1.665745930,1
1.698883200,0
1.698891880,1
1.732106100,0
1.732114580,1
1.765231060,0
1.765239980,1
1.798356000,0
1.798364630,1
1.798364640,0
1.798364660,1
1.831479510,0
1.831488010,1
1.864634780,0
1.864643500,1
1.897805050,0
1.897813890,1
1.897813900,0
1.897813920,1
1.930929310,0
1.930938230,1
1.964106490,0
1.964115340,1
1.997260390,0
1.997268990,1
2.030385070,0
2.030393760,1
2.063509700,0
2.063518620,1
2.096740190,0
2.096748840,1
2.129864170,0
2.129872920,1
2.162929600,0
2.162938170,1
2.196108180,0
2.196117140,1
2.229240260,0
2.229248930,1
2.262358450,0
2.262367140,1
2.295511480,0
2.295520330,1
2.295520340,0
2.295520360,1
2.328645170,0
2.328653650,1
2.361858650,0
2.361867210,1
2.361867220,0
2.361867240,1
2.395011480,0
2.395020110,1
2.395020130,0
2.395020140,1
2.428261750,0
2.428270560,1
2.461387000,0
2.461395810,1
2.494511500,0
2.494520180,1
2.527636390,0
2.527645070,1
2.560742680,0
2.560751130,1
2.593700130,0
2.593708790,1
2.626859420,0
2.626867940,1
2.626867950,0
2.626867970,1
2.660013240,0
2.660022260,1
2.660022270,0
2.660022290,1
2.693181230,0
2.693190100,1
2.726387910,0
2.726396770,1
2.726396790,0
2.726396800,1
2.759491690,0
2.759500550,1
2.792640230,0
2.792649190,1
2.792649200,0
2.792649220,1
2.825764940,0
2.825773590,1
2.858888360,0
2.858897100,1
2.891992800,0
2.892001840,1
2.892001850,0
2.892001870,1
2.925111750,0
2.925120770,1
2.958236800,0
2.958245250,1
2.991388360,0
2.991396990,1
2.991397000,0
2.991397010,1
3.024515000,0
3.024523750,1
3.024523760,0
3.024523770,1
3.057736100,0
3.057745020,1
3.057745040,0
3.057745050,1
3.090764320,0
3.090772840,1
3.090772850,0
3.090772870,1
3.123890310,0
3.123899120,1
3.157111800,0
3.157120260,1
3.190264820,0
3.190273910,1
3.190273920,0
3.190273940,1
3.223361940,0
3.223370920,1
3.256434470,0
3.256443040,1
3.289620040,0
3.289628530,1
3.322765160,0
3.322773930,1
3.355891270,0
3.355899970,1
3.355899980,0
3.355900000,1
3.388988810,0
3.388997610,1
3.422142430,0
3.422150950,1
3.455310600,0
3.455319350,1
3.488488500,0
3.488497200,1
3.521619970,0
3.521628650,1
3.554746170,0
3.554754780,1
3.587891230,0
3.587899760,1
3.621018100,0
3.621026760,1
3.654143310,0
3.654151770,1
3.654151780,0
3.654151790,1
3.687277790,0
3.687286630,1
3.720496570,0
3.720505530,1
3.720505540,0
3.720505560,1
3.753641580,0
3.753650280,1
3.786768250,0
3.786776930,1
3.819865500,0
3.819874190,1
3.852989780,0
3.852998320,1
3.852998330,0
3.852998340,1
3.886143190,0
3.886151850,1
3.886151860,0
3.886151880,1
3.919267580,0
3.919276430,1
3.919276450,0
3.919276460,1
3.952393770,0
3.952402440,1
3.952402450,0
3.952402470,1
3.985490200,0
3.985498620,1
4.018654180,0
4.018662630,1
4.018662650,0
4.018662660,1
4.051873610,0
4.051882220,1
4.051882230,0
4.051882250,1
4.084998390,0
4.085007260,1
4.118124230,0
4.118132880,1
4.151270610,0
4.151279450,1
4.151279470,0
4.151279480,1
4.184364250,0
4.184372750,1
4.184372760,0
4.184372780,1
4.217520570,0
4.217529300,1
4.250645040,0
4.250654010,1
4.250654030,0
4.250654040,1
4.283814540,0
4.283823100,1
4.283823120,0
4.283823130,1
4.316993440,0
4.317001860,1
4.317001870,0
4.317001880,1
4.350155480,0
4.350164120,1
4.383271130,0
4.383280200,1
4.416397000,0
4.416405920,1
4.416405930,0
4.416405950,1
4.449521170,0
4.449529800,1
4.482744640,0
4.482753320,1
4.482753330,0
4.482753340,1
4.515897570,0
4.515906090,1
4.549065840,0
4.549074540,1
4.549074550,0
4.549074560,1
4.582250510,0
4.582259360,1
4.615441450,0
4.615449980,1
4.615449990,0
4.615450000,1
4.648624990,0
4.648633750,1
4.648633760,0
4.648633780,1
4.681691940,0
4.681700480,1
4.681700490,0
4.681700510,1
4.714868510,0
4.714877050,1
4.714877060,0
4.714877080,1
4.748022990,0
4.748031680,1
