Time [s],Channel 0
0.000000000,1
0.012188150,0
0.012196420,1
0.030661770,0
0.030670120,1
0.049071600,0
0.049079870,1
0.067475590,0
0.067483660,1
0.067483670,0
0.067483680,1
0.085947240,0
0.085955410,1
0.104402200,0
0.104410690,1
0.122831570,0
0.122839710,1
0.141287100,0
0.141295240,1
0.159696410,0
0.159704550,1
0.159704560,0
0.159704570,1
0.178162360,0
0.178170540,1
0.196587960,0
0.196596150,1
0.215089230,0
0.215097370,1
0.233573740,0
0.233582070,1
0.233582080,0
0.233582090,1
0.252026670,0
0.252034750,1
0.252034760,0
0.252034770,1
0.270463550,0
0.270471650,1
0.288964690,0
0.288972850,1
0.307464210,0
0.307472330,1
0.325965600,0
0.325973890,1
0.344363820,0
0.344372210,1
0.362824300,0
0.362832570,1
0.381339680,0
0.381347640,1
0.381347650,0
0.381347660,1
0.399824820,0
0.399832940,1
0.418289480,0
0.418297690,1
0.436714210,0
0.436722390,1
0.455189940,0
0.455198090,1
0.473664600,0
0.473672760,1
0.492152840,0
0.492161230,1
0.510583260,0
0.510591290,1
0.529027670,0
0.529036000,1
0.529036010,0
0.529036020,1
0.547449010,0
0.547457130,1
0.547457140,0
0.547457150,1
0.565914040,0
0.565922230,1
0.584340990,0
0.584349060,1
0.584349070,0
0.584349080,1
0.602788940,0
0.602797030,1
0.621190170,0
0.621198510,1
0.639689650,0
0.639697840,1
0.639697850,0
0.639697870,1
0.658178970,0
0.658187250,1
0.676664910,0
0.676672880,1
0.676672890,0
0.676672900,1
0.695091050,0
0.695099440,1
0.713576150,0
0.713584300,1
0.732090660,0
0.732099110,1
0.750575100,0
0.750583580,1
0.750583590,0
0.750583610,1
0.768979010,0
0.768987180,1
0.787450990,0
0.787459210,1
0.805790140,0
0.805798450,1
0.824200670,0
0.824208870,1
0.824208880,0
0.824208890,1
0.842716970,0
0.842725280,1
0.861165530,0
0.861173920,1
0.879591780,0
0.879599900,1
0.898092360,0
0.898100650,1
0.916567020,0
0.916575220,1
0.916575230,0
0.916575240,1
0.935066040,0
0.935074530,1
0.953541670,0
0.953549950,1
0.972028980,0
0.972037190,1
0.990466580,0
0.990474920,1
1.008966820,0
1.008974970,1
1.027451610,0
1.027459670,1
1.045942510,0
1.045950620,1
1.064415660,0
1.064424010,1
1.082841640,0
1.082849910,1
1.082849920,0
1.082849930,1
1.101327790,0
1.101336190,1
1.119817880,0
1.119826020,1
1.138316760,0
1.138324970,1
1.156791720,0
1.156799780,1
1.175217690,0
1.175225880,1
1.193700820,0
1.193709110,1
1.212192480,0
1.212200670,1
1.230666590,0
1.230674960,1
1.249092800,0
1.249100960,1
1.267594000,0
1.267602020,1
1.267602030,0
1.267602040,1
1.286043400,0
1.286051510,1
1.286051520,0
1.286051530,1
1.304543130,0
1.304551440,1
1.323042100,0
1.323050260,1
1.341452310,0
1.341460390,1
1.359918350,0
1.359926560,1
1.378343280,0
1.378351580,1
1.396844810,0
1.396853100,1
1.415292890,0
1.415301360,1
1.415301370,0
1.415301380,1
1.433792680,0
1.433800860,1
1.452195280,0
1.452203600,1
1.470656370,0
1.470664480,1
1.470664490,0
1.470664500,1
1.489079340,0
1.489087730,1
1.507593840,0
1.507602070,1
1.526069990,0
1.526078320,1
1.526078330,0
1.526078340,1
1.544542660,0
1.544550830,1
1.562969320,0
1.562977390,1
1.581418280,0
1.581426420,1
1.599845110,0
1.599853320,1
1.618295280,0
1.618303770,1
1.618303780,0
1.618303790,1
1.636793330,0
1.636801440,1
1.636801450,0
1.636801460,1
1.655174820,0
1.655182840,1
1.655182850,0
1.655182860,1
1.673543430,0
1.673551770,1
1.691968770,0
1.691976970,1
1.691976980,0
1.691976990,1
1.710523970,0
1.710532020,1
1.728944690,0
1.728952890,1
1.747407990,0
1.747416210,1
1.747416220,0
1.747416230,1
1.765919010,0
1.765927360,1
1.784330470,0
1.784338630,1
1.784338640,0
1.784338660,1
1.802794690,0
1.802802830,1
1.821221190,0
1.821229360,1
1.839695810,0
1.839703940,1
1.839703950,0
1.839703960,1
1.858168690,0
1.858176930,1
1.858176940,0
1.858176950,1
1.876597410,0
1.876605500,1
1.876605510,0
1.876605520,1
1.895081490,0
1.895089570,1
1.913581720,0
1.913590090,1
1.932070160,0
1.932078560,1
1.950544980,0
1.950553400,1
1.969046100,0
1.969054200,1
1.987570570,0
1.987578950,1
2.006045150,0
2.006053250,1
2.024455930,0
2.024463980,1
2.024463990,0
2.024464000,1
2.042865010,0
2.042873340,1
2.061346560,0
2.061354860,1
2.079831370,0
2.079839560,1
2.098347490,0
2.098355650,1
2.116745750,0
2.116754320,1
2.135170160,0
2.135178260,1
2.153595930,0
2.153604060,1
2.172058520,0
2.172066650,1
2.190545120,0
2.190553190,1
2.208946480,0
2.208954630,1
2.227409410,0
2.227417640,1
2.245847390,0
2.245855550,1
2.264347240,0
2.264355470,1
2.264355480,0
2.264355490,1
2.282831350,0
2.282839670,1
2.301296640,0
2.301304700,1
2.319722280,0
2.319730440,1
2.338222420,0
2.338230490,1
2.338230500,0
2.338230510,1
2.356707410,0
2.356715590,1
2.375091800,0
2.375099940,1
2.393546370,0
2.393554640,1
2.411957480,0
2.411965670,1
2.430472530,0
2.430480700,1
2.430480710,0
2.430480720,1
2.448958150,0
2.448966260,1
2.467449370,0
2.467457590,1
2.467457600,0
2.467457610,1
2.485922460,0
2.485930790,1
2.504423000,0
2.504431080,1
2.522848550,0
2.522856640,1
2.541348280,0
2.541356380,1
2.559833340,0
2.559841620,1
2.559841630,0
2.559841640,1
2.578334730,0
2.578343240,1
2.596787110,0
2.596795430,1
2.615217000,0
2.615225530,1
2.633673140,0
2.633681280,1
2.652085110,0
2.652093330,1
2.652093340,0
2.652093360,1
2.670583410,0
2.670591930,1
2.689099420,0
2.689107570,1
2.707599620,0
2.707607720,1
2.726099180,0
2.726107230,1
2.744585440,0
2.744593700,1
2.744593710,0
2.744593720,1
2.763049080,0
2.763057310,1
2.763057320,0
2.763057330,1
2.781548730,0
2.781556850,1
2.800036830,0
2.800045110,1
2.818460090,0
2.818468130,1
2.836973670,0
2.836981890,1
2.855474220,0
2.855482700,1
2.873959740,0
2.873967810,1
2.873967820,0
2.873967830,1
2.892487290,0
2.892495480,1
2.910959690,0
2.910967830,1
