Time [s],Channel 0
0.000000000,1
0.010926970,0
0.010935510,1
0.028102150,0
0.028110820,1
0.028110830,0
0.028110850,1
0.045226120,0
0.045234890,1
0.062327460,0
0.062336060,1
0.079475710,0
0.079484380,1
0.096602360,0
0.096611010,1
0.096611020,0
0.096611040,1
0.113674670,0
0.113683450,1
0.130803240,0
0.130812090,1
0.147928830,0
0.147937540,1
0.147937550,0
0.147937570,1
0.165054140,0
0.165062730,1
0.182175730,0
0.182184280,1
0.199351590,0
0.199360240,1
0.216477600,0
0.216486250,1
0.233602260,0
0.233611200,1
0.250675530,0
0.250684490,1
0.250684500,0
0.250684520,1
0.267803520,0
0.267812290,1
0.284874550,0
0.284883330,1
0.301925700,0
0.301934310,1
0.301934320,0
0.301934340,1
0.319052460,0
0.319061130,1
0.319061140,0
0.319061150,1
0.336175240,0
0.336183840,1
0.336183850,0
0.336183860,1
0.353303220,0
0.353311850,1
0.370425910,0
0.370434760,1
0.387553520,0
0.387562490,1
0.404678980,0
0.404687620,1
0.421804120,0
0.421812760,1
0.421812770,0
0.421812790,1
0.438929350,0
0.438938280,1
0.456053990,0
0.456062510,1
0.473227980,0
0.473236590,1
0.490352510,0
0.490360960,1
0.490360970,0
0.490360980,1
0.507478870,0
0.507487420,1
0.524551150,0
0.524559870,1
0.541679690,0
0.541688180,1
0.541688190,0
0.541688200,1
0.558800780,0
0.558809280,1
0.575929440,0
0.575938260,1
0.593054490,0
0.593063170,1
0.610179550,0
0.610188380,1
0.627304300,0
0.627312870,1
0.644478640,0
0.644487100,1
0.644487110,0
0.644487120,1
0.661552280,0
0.661560980,1
0.678677420,0
0.678686080,1
0.695854220,0
0.695863190,1
0.695863210,0
0.695863220,1
0.712926750,0
0.712935330,1
0.730054880,0
0.730063660,1
0.747177060,0
0.747185700,1
0.764305820,0
0.764314380,1
0.764314390,0
0.764314400,1
0.781427710,0
0.781436410,1
0.781436420,0
0.781436430,1
0.798604480,0
0.798613370,1
0.815656900,0
0.815665660,1
0.815665680,0
0.815665690,1
0.832744730,0
0.832753400,1
0.832753410,0
0.832753430,1
0.849802940,0
0.849811610,1
0.849811620,0
0.849811640,1
0.866805610,0
0.866814660,1
0.883906190,0
0.883914770,1
0.901054620,0
0.901063610,1
0.918230170,0
0.918239070,1
0.918239080,0
0.918239100,1
0.935354970,0
0.935363750,1
0.935363760,0
0.935363770,1
0.952427850,0
0.952436560,1
0.952436570,0
0.952436590,1
0.969495420,0
0.969504310,1
0.986581120,0
0.986589820,1
1.003678480,0
1.003687230,1
1.003687240,0
1.003687260,1
1.020805990,0
1.020814540,1
1.020814550,0
1.020814570,1
1.037979840,0
1.037988370,1
1.037988380,0
1.037988400,1
1.055104500,0
1.055113240,1
1.055113260,0
1.055113270,1
1.072178140,0
1.072187130,1
1.089307740,0
1.089316610,1
1.106480350,0
1.106489210,1
1.106489220,0
1.106489240,1
1.123553800,0
1.123562500,1
1.140681550,0
1.140690060,1
1.157854790,0
1.157863790,1
1.157863810,0
1.157863820,1
1.174980650,0
1.174989320,1
1.192053540,0
1.192062070,1
1.192062080,0
1.192062090,1
1.209180960,0
1.209189770,1
1.226289640,0
1.226298270,1
1.243304510,0
1.243313190,1
1.260432170,0
1.260441240,1
1.277556800,0
1.277565430,1
1.294679930,0
1.294688510,1
1.311806890,0
1.311815490,1
1.328933210,0
1.328941890,1
1.346057710,0
1.346066350,1
1.346066360,0
1.346066370,1
1.363179930,0
1.363188900,1
1.380284500,0
1.380293020,1
1.397433720,0
1.397442590,1
1.397442600,0
1.397442620,1
1.414607220,0
1.414615890,1
1.414615900,0
1.414615910,1
1.431680360,0
1.431689030,1
