Time [s],Channel 0
0.000000000,1
0.003848370,0
0.003858680,1
0.003858700,0
0.003858710,1
0.229775630,0
0.229785430,1
0.229785440,0
0.229785450,1
0.455670120,0
0.455679660,1
0.455679670,0
0.455679680,1
0.681527690,0
0.681538410,1
0.681538420,0
0.681538430,1
0.907524050,0
0.907533950,1
0.907533960,0
0.907533970,1
1.133479190,0
1.133488690,1
1.133488710,0
1.133488720,1
1.359406260,0
1.359415750,1
1.359415760,0
1.359415770,1
1.585342970,0
1.585352890,1
1.585352900,0
1.585352910,1
1.585352920,0
1.585352930,1
1.811231320,0
1.811241050,1
1.811241060,0
1.811241070,1
2.037206230,0
2.037216210,1
2.037216230,0
2.037216240,1
2.263095810,0
2.263105700,1
2.263105710,0
2.263105730,1
2.488971690,0
2.488982040,1
2.488982050,0
2.488982060,1
2.488982070,0
2.488982080,1
2.714961460,0
2.714970810,1
2.714970820,0
2.714970830,1
2.940907980,0
2.940917640,1
2.940917650,0
2.940917660,1
3.166909330,0
3.166919080,1
3.166919090,0
3.166919110,1
3.392708030,0
3.392718040,1
3.392718060,0
3.392718070,1
3.618560150,0
3.618569670,1
3.618569680,0
3.618569690,1
3.618569700,0
3.618569710,1
3.844538000,0
3.844547440,1
3.844547450,0
3.844547460,1
3.844547470,0
3.844547480,1
4.070551730,0
4.070561220,1
4.070561240,0
4.070561250,1
4.296543930,0
4.296554070,1
4.296554080,0
4.296554100,1
4.522541020,0
4.522551260,1
4.522551270,0
4.522551280,1
4.748505970,0
4.748516650,1
4.748516670,0
4.748516680,1
4.974340390,0
4.974350930,1
4.974350940,0
4.974350950,1
4.974350960,0
4.974350970,1
5.200241400,0
5.200251400,1
5.200251410,0
5.200251420,1
5.426175550,0
5.426185320,1
5.426185340,0
5.426185350,1
5.652218480,0
5.652228740,1
5.652228760,0
5.652228770,1
5.878094050,0
5.878104160,1
5.878104170,0
5.878104190,1
6.103988490,0
6.103999300,1
6.103999320,0
6.103999330,1
6.329947090,0
6.329957340,1
6.329957350,0
6.329957360,1
6.555822850,0
6.555832800,1
6.555832820,0
6.555832830,1
6.781740630,0
6.781751190,1
6.781751200,0
6.781751210,1
7.007766720,0
7.007776160,1
7.007776170,0
7.007776180,1
7.007776190,0
7.007776200,1
7.233678890,0
7.233689170,1
7.233689180,0
7.233689190,1
7.233689200,0
7.233689210,1
7.459558770,0
7.459569360,1
7.459569370,0
7.459569380,1
7.685577690,0
7.685587880,1
7.685587890,0
7.685587900,1
7.911385080,0
7.911395190,1
7.911395200,0
7.911395220,1
8.137354090,0
8.137363980,1
8.137363990,0
8.137364000,1
8.363230140,0
8.363240650,1
8.363240660,0
8.363240670,1
8.589137600,0
8.589147660,1
8.589147680,0
8.589147690,1
8.815138450,0
8.815148000,1
8.815148010,0
8.815148020,1
8.815148030,0
8.815148040,1
9.041014640,0
9.041025080,1
9.041025100,0
9.041025110,1
9.267066820,0
9.267077190,1
9.267077210,0
9.267077220,1
9.492943690,0
9.492953690,1
9.492953700,0
9.492953720,1
9.718893920,0
9.718903720,1
9.718903730,0
9.718903740,1
9.944755470,0
9.944765280,1
9.944765290,0
9.944765310,1
10.155458560,1
