Time [s],Channel 0
0.000000000,1
0.028192970,0
0.028201270,1
0.028201290,0
0.028201300,1
0.083049000,0
0.083057730,1
0.083057740,0
0.083057760,1
0.137944000,0
0.137952730,1
0.137952740,0
0.137952750,1
0.192944900,0
0.192953590,1
0.192953600,0
0.192953610,1
0.247814740,0
0.247823040,1
0.247823050,0
0.247823060,1
0.302807850,0
0.302816100,1
0.302816110,0
0.302816120,1
0.302816130,0
0.302816140,1
0.357693740,0
0.357702110,1
0.357702120,0
0.357702130,1
0.357702140,0
0.357702150,1
0.412684080,0
0.412692290,1
0.412692310,0
0.412692320,1
0.467570100,0
0.467578460,1
0.467578470,0
0.467578480,1
0.522512580,0
0.522520970,1
0.522520980,0
0.522520990,1
0.577434700,0
0.577442960,1
0.577442970,0
0.577442980,1
0.632311160,0
0.632319480,1
0.632319500,0
0.632319510,1
0.687264220,0
0.687272800,1
0.687272810,0
0.687272820,1
0.742190670,0
0.742199120,1
0.742199130,0
0.742199140,1
0.797061390,0
0.797070150,1
0.797070160,0
0.797070170,1
0.797070180,0
0.797070190,1
0.852071980,0
0.852080310,1
0.852080320,0
0.852080330,1
0.906947320,0
0.906955690,1
0.906955700,0
0.906955720,1
0.961888690,0
0.961897020,1
0.961897030,0
0.961897040,1
1.016818160,0
1.016826490,1
1.016826500,0
1.016826510,1
1.071811380,0
1.071819670,1
1.071819680,0
1.071819700,1
1.126692840,0
1.126701160,1
1.126701170,0
1.126701180,1
1.181693190,0
1.181701440,1
1.181701450,0
1.181701460,1
1.236687940,0
1.236696340,1
1.236696350,0
1.236696360,1
1.291563870,0
1.291572140,1
1.291572150,0
1.291572160,1
1.346444270,0
1.346452580,1
1.346452590,0
1.346452600,1
1.401313960,0
1.401322300,1
1.401322310,0
1.401322320,1
1.456200440,0
1.456208720,1
1.456208730,0
1.456208740,1
1.510950650,0
1.510958970,1
1.510958980,0
1.510958990,1
1.565814050,0
1.565822280,1
1.565822290,0
1.565822300,1
1.620689570,0
1.620697870,1
1.620697890,0
1.620697900,1
1.675565040,0
1.675573730,1
1.675573740,0
1.675573760,1
1.730451880,0
1.730460280,1
1.730460290,0
1.730460310,1
1.785393570,0
1.785401910,1
1.785401930,0
1.785401940,1
1.840268200,0
1.840276530,1
1.840276540,0
1.840276550,1
1.895196500,0
1.895204870,1
1.895204880,0
1.895204890,1
1.950072500,0
1.950080820,1
1.950080840,0
1.950080850,1
2.005066660,0
2.005074910,1
2.005074920,0
2.005074930,1
2.059953230,0
2.059961530,1
2.059961550,0
2.059961560,1
2.114829110,0
2.114837450,1
2.114837460,0
2.114837470,1
2.169817350,0
2.169825670,1
2.169825690,0
2.169825700,1
2.224817940,0
2.224826200,1
2.224826220,0
2.224826230,1
2.279769700,0
2.279777910,1
2.279777930,0
2.279777940,1
2.334704650,0
2.334712910,1
2.334712930,0
2.334712940,1
2.389573730,0
2.389582470,1
2.389582480,0
2.389582500,1
2.444455880,0
2.444464110,1
2.444464120,0
2.444464130,1
2.444464140,0
2.444464150,1
2.499454990,0
2.499463390,1
2.499463410,0
2.499463420,1
2.554319550,0
2.554327810,1
2.554327820,0
2.554327830,1
2.609318710,0
2.609326990,1
2.609327000,0
2.609327010,1
2.664272160,0
2.664280470,1
2.664280480,0
2.664280490,1
2.719194810,0
2.719203070,1
2.719203080,0
2.719203090,1
2.773945010,0
2.773953450,1
2.773953460,0
2.773953470,1
2.828897510,0
2.828905720,1
2.828905740,0
2.828905750,1
2.883821890,0
2.883830260,1
2.883830270,0
2.883830280,1
2.938647860,0
2.938656110,1
2.938656120,0
