Time [s],Channel 0
0.000000000,1
0.005157950,0
0.005166710,1
0.005166720,0
0.005166730,1
0.219034670,0
0.219043480,1
0.219043490,0
0.219043500,1
0.432980760,0
0.432989270,1
0.432989280,0
0.432989290,1
0.646856380,0
0.646865150,1
0.646865160,0
0.646865170,1
0.860607480,0
0.860616480,1
0.860616490,0
0.860616500,1
1.074449150,0
1.074458120,1
1.074458130,0
1.074458140,1
1.288287800,0
1.288296060,1
1.502202020,0
1.502210810,1
1.502210820,0
1.502210830,1
1.716078310,0
1.716086650,1
1.716086660,0
1.716086670,1
1.930041020,0
1.930049290,1
1.930049300,0
1.930049310,1
2.143862400,0
2.143871360,1
2.143871370,0
2.143871380,1
2.357784640,0
2.357793070,1
2.357793080,0
2.357793090,1
2.571502540,0
2.571510960,1
2.785331920,0
2.785340680,1
2.785340690,0
2.785340700,1
2.999110280,0
2.999118750,1
2.999118760,0
2.999118770,1
3.212991580,0
3.213000030,1
3.213000040,0
3.213000050,1
3.426862270,0
3.426870700,1
3.640618240,0
3.640626860,1
3.640626870,0
3.640626880,1
3.854599820,0
3.854608800,1
3.854608810,0
3.854608820,1
4.068587850,0
4.068596690,1
4.068596700,0
4.068596710,1
4.282423660,0
4.282432000,1
4.282432010,0
4.282432020,1
4.496419530,0
4.496427690,1
4.710176620,0
4.710184710,1
4.710184720,0
4.710184730,1
4.924089900,0
4.924098500,1
5.137928280,0
5.137936950,1
5.137936960,0
5.137936970,1
5.351841530,0
5.351849770,1
5.351849780,0
5.351849790,1
5.565717740,0
5.565726310,1
5.565726320,0
5.565726330,1
5.779501820,0
5.779510430,1
5.779510440,0
5.779510450,1
5.993432180,0
5.993440700,1
6.207218990,0
6.207227970,1
6.207227980,0
6.207227990,1
6.421144160,0
6.421152720,1
6.634934220,0
6.634942520,1
6.634942530,0
6.634942540,1
6.848756420,0
6.848765240,1
6.848765250,0
6.848765260,1
7.062599250,0
7.062607900,1
7.276363960,0
7.276372790,1
7.276372810,0
7.276372820,1
7.490312680,0
7.490321400,1
7.704101500,0
7.704109960,1
7.704109970,0
7.704109980,1
7.918102530,0
7.918111100,1
7.918111110,0
7.918111120,1
8.131941000,0
8.131949280,1
8.131949290,0
8.131949300,1
8.345880900,0
8.345889510,1
8.345889520,0
8.345889530,1
8.559817150,0
8.559825870,1
8.559825880,0
8.559825890,1
8.773687000,0
8.773695680,1
8.773695690,0
8.773695700,1
8.987264970,0
8.987273350,1
8.987273360,0
8.987273370,1
9.201194120,0
9.201202790,1
9.201202800,0
9.201202810,1
9.415266240,0
9.415275110,1
9.415275120,0
9.415275130,1
9.629234080,0
9.629242680,1
9.843197320,0
9.843205660,1
9.843205670,0
9.843205680,1
10.053222400,1
