Time [s],Channel 0
0.000000000,1
0.003282150,0
0.003290670,1
0.003290680,0
0.003290690,1
0.011917050,0
0.011926030,1
0.011926040,0
0.011926050,1
0.020531590,0
0.020540040,1
0.020540050,0
0.020540060,1
0.029157550,0
0.029166370,1
0.029166380,0
0.029166390,1
0.037781810,0
0.037790350,1
0.046408190,0
0.046417090,1
0.046417100,0
0.046417110,1
0.055033000,0
0.055041480,1
0.055041490,0
0.055041500,1
0.063658560,0
0.063667250,1
0.063667260,0
0.063667270,1
0.072282930,0
0.072291580,1
0.080906430,0
0.080914990,1
0.080915000,0
0.080915010,1
0.089533010,0
0.089541560,1
0.089541580,0
0.089541590,1
0.098158330,0
0.098166860,1
0.098166880,0
0.098166890,1
0.106781500,0
0.106790570,1
0.106790580,0
0.106790590,1
0.106790600,0
0.106790610,1
0.115407630,0
0.115416320,1
0.115416330,0
0.115416340,1
0.124031390,0
0.124039860,1
0.124039870,0
0.124039880,1
0.132658760,0
0.132667850,1
0.132667860,0
0.132667870,1
0.141282750,0
0.141291840,1
0.141291850,0
0.141291860,1
0.149906490,0
0.149915110,1
0.149915130,0
0.149915140,1
0.158532440,0
0.158540890,1
0.158540900,0
0.158540910,1
0.167157690,0
0.167166100,1
0.175782570,0
0.175791060,1
0.175791070,0
0.175791080,1
0.184407760,0
0.184416330,1
0.184416340,0
0.184416350,1
0.193032860,0
0.193041510,1
0.193041520,0
0.193041530,1
0.201657910,0
0.201666550,1
0.201666560,0
0.201666570,1
0.210284190,0
0.210292720,1
0.210292730,0
0.210292740,1
0.218908270,0
0.218917080,1
0.218917090,0
0.218917100,1
0.227533100,0
0.227541560,1
0.227541570,0
0.227541580,1
0.236158800,0
0.236167560,1
0.236167580,0
0.236167590,1
0.244782780,0
0.244791230,1
0.244791240,0
0.244791250,1
0.253408540,0
0.253417450,1
0.253417460,0
0.253417470,1
0.262033830,0
0.262042530,1
0.262042540,0
0.262042550,1
0.270658430,0
0.270666970,1
0.270666980,0
0.270666990,1
0.279282800,0
0.279291310,1
0.279291320,0
0.279291330,1
0.287908120,0
0.287917320,1
0.287917330,0
0.287917340,1
0.287917350,0
0.287917360,1
0.296533040,0
0.296541410,1
0.296541420,0
0.296541430,1
0.305160000,0
0.305168560,1
0.313783980,0
0.313792890,1
0.313792910,0
0.313792920,1
0.322408230,0
0.322416860,1
0.331034660,0
0.331043850,1
0.331043860,0
0.331043870,1
0.339658380,0
0.339667000,1
0.348269430,0
0.348277890,1
0.348277900,0
0.348277910,1
0.356909370,0
0.356918220,1
0.356918230,0
0.356918240,1
0.365534040,0
0.365543080,1
0.365543090,0
0.365543100,1
0.374159210,0
0.374168240,1
0.374168250,0
0.374168260,1
0.382783500,0
0.382792320,1
0.382792340,0
0.382792350,1
0.391408250,0
0.391417090,1
0.391417100,0
0.391417110,1
0.400033740,0
0.400042430,1
0.408658700,0
0.408667210,1
0.417285270,0
0.417294130,1
0.417294150,0
0.417294160,1
0.425908510,0
0.425917160,1
0.425917170,0
0.425917180,1
0.434535580,0
0.434544220,1
0.443158440,0
0.443166980,1
0.443166990,0
0.443167000,1
0.451784240,0
0.451793050,1
0.451793060,0
0.451793070,1
0.451793080,0
0.451793090,1
0.460408580,0
0.460417520,1
0.460417530,0
0.460417540,1
0.469034920,0
0.469043520,1
0.469043530,0
0.469043540,1
0.477658680,0
0.477667360,1
0.477667370,0
0.477667380,1
0.477667390,0
0.477667400,1
0.486283130,0
0.486291630,1
