Time [s],Channel 0
0.000000000,1
0.008036130,0
0.008044850,1
0.008044860,0
0.008044870,1
0.026655230,0
0.026664220,1
0.026664230,0
0.026664240,1
0.045215640,0
0.045224660,1
0.045224670,0
0.045224690,1
0.063786580,0
0.063795480,1
0.063795490,0
0.063795510,1
0.082384290,0
0.082392800,1
0.082392820,0
0.082392830,1
0.101007460,0
0.101016000,1
0.101016010,0
0.101016030,1
0.119633040,0
0.119641710,1
0.119641720,0
0.119641740,1
0.138259310,0
0.138268060,1
0.138268070,0
0.138268080,1
0.156905540,0
0.156914510,1
0.156914520,0
0.156914530,1
0.175530440,0
0.175539850,1
0.175539860,0
0.175539870,1
0.175539880,0
0.175539890,1
0.194106920,0
0.194115730,1
0.194115740,0
0.194115750,1
0.212705180,0
0.212713710,1
0.212713720,0
0.212713730,1
0.231330280,0
0.231339010,1
0.231339020,0
0.231339030,1
0.249934440,0
0.249942960,1
0.249942970,0
0.249942990,1
0.268579350,0
0.268587930,1
0.268587940,0
0.268587950,1
0.287184440,0
0.287193150,1
0.287193160,0
0.287193170,1
0.287193180,0
0.287193190,1
0.305787070,0
0.305795700,1
0.305795720,0
0.305795730,1
0.324445710,0
0.324454340,1
0.324454350,0
0.324454360,1
0.343069840,0
0.343078500,1
0.343078510,0
0.343078520,1
0.361733200,0
0.361742060,1
0.361742070,0
0.361742080,1
0.380341340,0
0.380350450,1
0.380350460,0
0.380350470,1
0.398944850,0
0.398954130,1
0.398954140,0
0.398954150,1
0.398954160,0
0.398954170,1
0.417607480,0
0.417616360,1
0.417616380,0
0.417616390,1
0.436259830,0
0.436268400,1
0.436268410,0
0.436268420,1
0.454883800,0
0.454892520,1
0.454892540,0
0.454892550,1
0.473537350,0
0.473545940,1
0.473545950,0
0.473545960,1
0.492134580,0
0.492143140,1
0.492143160,0
0.492143170,1
0.510783160,0
0.510791870,1
0.510791880,0
0.510791890,1
0.529342850,0
0.529351650,1
0.529351660,0
0.529351670,1
0.547984590,0
0.547993980,1
0.547993990,0
0.547994010,1
0.566608850,0
0.566617390,1
0.566617400,0
0.566617420,1
0.585197050,0
0.585205880,1
0.585205890,0
0.585205900,1
0.585205910,0
0.585205920,1
0.603787990,0
0.603796600,1
0.603796610,0
0.603796620,1
0.622385350,0
0.622393920,1
0.622393930,0
0.622393940,1
0.641009210,0
0.641018200,1
0.641018210,0
0.641018220,1
0.659593470,0
0.659602600,1
0.659602610,0
0.659602620,1
0.659602630,0
0.659602640,1
0.678196790,0
0.678205710,1
0.678205720,0
0.678205730,1
0.678205740,0
0.678205750,1
0.696859680,0
0.696868390,1
0.696868400,0
0.696868410,1
0.696868420,0
0.696868430,1
0.715457480,0
0.715466100,1
0.715466110,0
0.715466130,1
0.734110650,0
0.734119550,1
0.734119570,0
0.734119580,1
0.752707500,0
0.752716050,1
0.752716060,0
0.752716070,1
0.752716080,0
0.752716090,1
0.771360760,0
0.771369550,1
0.771369570,0
0.771369580,1
0.789985370,0
0.789994480,1
0.789994500,0
0.789994510,1
0.808610440,0
0.808619420,1
0.808619440,0
0.808619450,1
0.827207840,0
0.827216590,1
0.827216600,0
0.827216610,1
0.845833010,0
0.845842000,1
0.845842010,0
0.845842020,1
0.845842030,0
0.845842040,1
0.864407850,0
0.864416520,1
0.864416530,0
0.864416540,1
0.883011500,0
0.883020600,1
0.883020610,0
0.883020620,1
0.883020630,0
0.883020640,1
0.901635900,0
0.901644430,1
0.901644450,0
0.901644460,1
0.920232000,0
0.920240740,1
0.920240760,0
0.920240770,1
0.938860950,0
0.938869720,1
0.938869740,0
