Time [s],Channel 0
0.000080562,0
2.804397506,1
3.136123308,0
3.136135046,1
3.191077286,0
3.191085642,1
3.245954676,0
3.245962928,1
3.300906358,0
3.300914614,1
3.355829348,0
3.355837778,1
3.410704046,0
3.410712310,1
3.465579112,0
3.465587400,1
3.520455134,0
3.520463378,1
3.575331554,0
3.575339800,1
3.630284476,0
3.630293270,1
3.685206730,0
3.685214950,1
3.740158498,0
3.740167212,1
3.795034246,0
3.795042572,1
3.849956252,0
3.849964512,1
3.904832150,0
3.904840506,1
3.959634030,0
3.959642332,1
4.014457612,0
4.014465932,1
4.069457530,0
4.069465790,1
4.124290502,0
4.124299242,1
4.179160700,0
4.179168968,1
4.234035302,0
4.234044018,1
4.288957524,0
4.288966174,1
4.343832376,0
4.343840996,1
4.398709418,0
4.398717768,1
4.453595282,0
4.453603974,1
4.508585820,0
4.508594246,1
4.563464258,0
4.563472880,1
4.618460968,0
4.618469624,1
4.673412136,0
4.673420908,1
4.728334288,0
4.728342534,1
4.783209634,0
4.783217860,1
4.838057300,0
4.838065584,1
4.892972618,0
4.892980870,1
4.947836536,0
4.947844970,1
5.002717890,0
5.002726282,1
5.057663842,0
5.057672080,1
5.112592372,0
5.112601092,1
5.167539940,0
5.167548268,1
5.222461978,0
5.222470298,1
5.277343036,0
5.277351248,1
5.332218140,0
5.332226896,1
5.387097478,0
5.387105746,1
5.442040792,0
5.442049156,1
5.496963134,0
5.496971790,1
5.551921632,0
5.551930228,1
5.606791374,0
5.606799612,1
5.661713324,0
5.661722024,1
5.716588866,0
5.716597204,1
5.771542008,0
5.771550318,1
5.826464792,0
5.826473060,1
5.881339314,0
5.881347582,1
5.936214168,0
5.936222390,1
5.991095560,0
5.991103908,1
6.046042244,0
6.046050442,1
6.100918128,0
6.100926792,1
6.155840662,0
6.155848950,1
6.210721954,0
6.210730242,1
6.265596842,0
6.265605084,1
6.320591122,0
6.320599464,1
6.375478022,0
6.375486852,1
6.430352866,0
6.430361046,1
6.485216374,0
6.485224630,1
6.540091774,0
6.540100184,1
6.594968074,0
6.594976330,1
6.649921430,0
6.649929672,1
6.704847874,0
6.704856158,1
6.759795650,0
6.759804330,1
6.814669770,0
6.814678126,1
6.869594780,0
6.869603042,1
6.924475508,0
6.924483964,1
6.979354180,0
6.979362438,1
7.034218380,0
7.034226596,1
7.089095654,0
7.089103842,1
7.143980370,0
7.143988680,1
7.198844828,0
7.198853084,1
7.253720416,0
7.253728670,1
7.308595832,0
7.308604188,1
7.363470558,0
7.363478788,1
7.418346348,0
7.418355074,1
7.473220702,0
7.473229500,1
7.528095722,0
7.528104012,1
7.582971172,0
7.582980024,1
7.637923818,0
7.637932072,1
7.692846646,0
7.692854898,1
7.747721778,0
7.747730026,1
7.802597398,0
7.802605724,1
7.857549176,0
7.857557420,1
7.912471426,0
7.912479656,1
7.967346732,0
7.967355134,1
8.022224148,0
8.022232344,1
8.077176068,0
8.077184448,1
8.132098424,0
8.132107234,1
8.187099064,0
8.187107862,1
8.241973704,0
8.241982360,1
8.296926286,0
8.296934584,1
8.351802306,0
8.351810944,1
8.406606254,0
8.406614546,1
8.461550260,0
8.461559106,1
8.516475746,0
8.516484026,1
8.571350098,0
8.571358370,1
8.626224028,0
8.626232276,1
8.681100210,0
8.681108444,1
8.735976516,0
8.735984828,1
8.790927622,0
8.790935864,1
8.845850236,0
8.845858490,1
8.900725132,0
8.900733354,1
8.955601796,0
8.955610460,1
9.010553294,0
9.010561566,1
9.065475582,0
9.065484216,1
9.120358918,0
9.120367164,1
9.175305218,0
9.175313936,1
9.230227040,0
9.230235326,1
9.285101888,0
9.285110102,1
9.339977618,0
9.339985986,1
9.394854710,0
9.394863062,1
9.449733708,0
9.449741992,1
9.504680522,0
9.504689148,1
9.559609786,0
9.559618090,1
9.614484198,0
9.614492466,1
9.669306750,0
9.669315004,1
9.724228734,0
9.724237092,1
9.779181452,0
9.779189706,1
9.834056432,0
9.834065104,1
9.888931616,0
9.888940488,1
9.943854626,0
9.943863252,1
9.998730710,0
9.998738998,1
10.053605448,0
10.053613740,1
10.108480262,0
10.108488516,1
10.163355000,0
10.163363238,1
10.218308502,0
10.218316702,1
10.273231268,0
10.273239516,1
10.328117702,0
10.328126382,1
10.382987632,0
