Time [s],Channel 0
0.000080562,0
0.361559960,1
0.426173202,0
0.426184682,1
0.437673746,0
0.437682314,1
0.449177908,0
0.449186448,1
0.460673852,0
0.460681960,1
0.472173686,0
0.472182462,1
0.483678704,0
0.483687424,1
0.495125262,0
0.495133630,1
0.506553834,0
0.506562034,1
0.518054052,0
0.518062194,1
0.529548764,0
0.529557108,1
0.541000090,0
0.541008538,1
0.552427904,0
0.552436176,1
0.563924560,0
0.563933306,1
0.575376594,0
0.575385182,1
0.586803514,0
0.586811782,1
0.598303386,0
0.598311574,1
0.609803654,0
0.609812208,1
0.621298410,0
0.621307268,1
0.632750994,0
0.632759068,1
0.644179728,0
0.644187866,1
0.655673990,0
0.655682124,1
0.667125884,0
0.667134212,1
0.678552834,0
0.678560988,1
0.690048680,0
0.690056964,1
0.701549756,0
0.701557994,1
0.713000916,0
0.713009470,1
0.724428104,0
0.724436466,1
0.735924626,0
0.735933314,1
0.747429248,0
0.747437868,1
0.758888502,0
0.758897136,1
0.770425116,0
0.770433288,1
0.781877062,0
0.781885422,1
0.793303512,0
0.793311650,1
0.804798918,0
0.804807082,1
0.816303944,0
0.816312116,1
0.827752428,0
0.827760654,1
0.839180274,0
0.839188392,1
0.850679466,0
0.850687752,1
0.862175398,0
0.862183826,1
0.873679664,0
0.873687820,1
0.885139452,0
0.885147786,1
0.896680024,0
0.896688580,1
0.908179600,0
0.908187806,1
0.919679614,0
0.919687874,1
0.931140082,0
0.931148178,1
0.942626540,0
0.942634746,1
0.954055420,0
0.954063608,1
0.965515312,0
0.965523472,1
0.977003234,0
0.977011818,1
0.988430044,0
0.988438682,1
0.999805244,0
0.999814140,1
1.011301228,0
1.011309946,1
1.022800704,0
1.022809046,1
1.034253518,0
1.034261906,1
1.045680040,0
1.045688606,1
1.057175340,0
1.057183512,1
1.068679586,0
1.068687866,1
1.080176908,0
1.080185242,1
1.091680510,0
1.091688736,1
1.103176464,0
1.103184598,1
1.114628632,0
1.114637304,1
1.126128454,0
1.126137196,1
1.137555534,0
1.137564068,1
1.149050822,0
1.149059014,1
1.160550776,0
1.160559114,1
1.172014936,0
1.172023232,1
1.183551170,0
1.183559342,1
1.195054522,0
1.195062650,1
1.206551818,0
1.206560036,1
1.218003430,0
1.218011698,1
1.229430990,0
1.229439240,1
1.240931490,0
1.240940212,1
1.252379238,0
1.252387958,1
1.263806730,0
1.263814880,1
1.275305868,0
1.275314190,1
1.286805852,0
1.286814148,1
1.298305604,0
1.298313900,1
1.309806434,0
1.309814918,1
1.321301008,0
1.321309222,1
1.332753944,0
1.332762276,1
1.344181586,0
1.344189864,1
1.355676070,0
1.355684374,1
1.367176778,0
1.367185080,1
