Time [s],Channel 0
0.000080562,0
1.767504912,1
1.975494746,0
1.975507104,1
1.990618390,0
1.990627152,1
2.005744900,0
2.005754518,1
2.020868512,0
2.020877030,1
2.035992306,0
2.036001024,1
2.050999348,0
2.051007868,1
2.066120188,0
2.066128946,1
2.081244632,0
2.081253370,1
2.096368556,0
2.096378040,1
2.111374584,0
2.111383926,1
2.126494216,0
2.126503058,1
2.141618768,0
2.141626986,1
2.156744260,0
2.156752768,1
2.171870384,0
2.171878900,1
2.186996360,0
2.187005854,1
2.201999546,0
2.202008560,1
2.217119700,0
2.217129184,1
2.232125344,0
2.232134058,1
2.247245176,0
2.247254610,1
2.262369774,0
2.262378346,1
2.277495756,0
2.277504978,1
2.292500726,0
2.292509894,1
2.307619470,0
2.307627808,1
2.322744316,0
2.322752900,1
2.337870388,0
2.337879398,1
2.352995370,0
2.353003926,1
2.368120940,0
2.368129554,1
2.383244294,0
2.383253064,1
2.398372004,0
2.398380888,1
2.413495362,0
2.413503996,1
2.428620628,0
2.428629910,1
2.443745230,0
2.443753884,1
2.458873116,0
2.458881254,1
2.473875852,0
2.473884956,1
2.488995376,0
2.489003960,1
2.504121404,0
2.504130726,1
2.519245994,0
2.519254320,1
2.534371234,0
2.534379510,1
2.549495792,0
2.549504858,1
2.564621644,0
2.564629874,1
2.579746398,0
2.579755410,1
2.594871200,0
2.594879322,1
2.609996140,0
2.610005062,1
2.625121668,0
2.625130494,1
2.640246976,0
2.640256026,1
2.655371232,0
2.655381078,1
2.670376714,0
2.670385186,1
2.685466600,0
2.685475868,1
2.700449710,0
2.700458520,1
2.715500288,0
2.715509422,1
2.730622238,0
2.730631376,1
2.745746974,0
2.745756048,1
2.760871518,0
2.760880414,1
2.775997808,0
2.776007188,1
2.791010002,0
2.791018816,1
2.806122180,0
2.806130314,1
2.821247188,0
2.821255922,1
2.836371844,0
2.836380658,1
2.851496702,0
2.851506474,1
2.866622312,0
2.866631538,1
2.881746482,0
2.881754854,1
2.896872664,0
2.896880882,1
2.911996806,0
2.912005422,1
2.927123312,0
2.927132618,1
2.942246824,0
2.942255332,1
2.957372468,0
2.957381510,1
2.972496372,0
2.972505052,1
2.987502986,0
2.987511704,1
3.002623040,0
3.002632502,1
3.017746812,0
3.017755634,1
3.032752274,0
3.032760604,1
3.047752960,0
3.047762144,1
3.062747466,0
3.062755918,1
3.077873156,0
3.077882112,1
3.092998264,0
3.093007540,1
3.108122926,0
3.108132410,1
3.123248086,0
3.123256758,1
3.138372210,0
3.138381094,1
3.153498692,0
3.153507002,1
3.168622542,0
3.168631164,1
3.183748502,0
3.183757674,1
3.198873272,0
3.198881824,1
3.213998714,0
3.214006980,1
3.229123640,0
3.229132004,1
3.244247910,0
3.244257670,1
3.259373464,0
3.259381610,1
3.274498566,0
3.274507396,1
3.289623112,0
3.289631886,1
3.304748664,0
3.304757928,1
3.319873568,0
3.319882580,1
3.334999474,0
3.335008704,1
3.350124360,0
3.350132986,1
3.365249068,0
3.365257744,1
3.380373342,0
3.380381850,1
3.395499740,0
3.395509324,1
3.410624052,0
3.410632502,1
3.425748254,0
3.425757496,1
3.440875274,0
3.440883884,1
3.455999076,0
3.456007598,1
3.471123580,0
3.471132106,1
3.486250186,0
3.486258608,1
3.501374022,0
3.501382166,1
3.516499834,0
3.516508606,1
3.531624492,0
3.531633426,1
3.546748924,0
3.546757670,1
3.561874994,0
3.561883848,1
3.576878428,0
3.576887672,1
3.591998806,0
3.592007054,1
3.607125760,0
3.607135268,1
3.622131020,0
3.622139600,1
3.637249886,0
3.637258536,1
3.652375056,0
3.652383622,1
3.667500092,0
3.667508408,1
3.682512028,0
3.682520540,1
3.697504242,0
3.697513196,1
3.712624632,0
3.712633408,1
3.727749698,0
3.727758182,1
3.742875634,0
3.742885242,1
3.757881306,0
3.757890224,1
3.773001088,0
3.773009264,1
3.788095384,0
3.788104310,1
3.803047386,0
3.803056162,1
3.818130764,0
3.818139302,1
3.833249700,0
3.833259070,1
3.848374364,0
3.848383470,1
3.863501664,0
3.863510222,1
3.878626290,0
3.878635646,1
3.893630844,0
3.893639606,1
3.908751262,0
3.908760284,1
3.923876160,0
3.923885740,1
3.939000622,0
3.939009756,1
3.954126232,0
3.954134734,1
3.969252456,0
3.969262066,1
3.984257476,0
3.984266942,1
3.999376308,0
3.999384582,1
4.014501768,0
4.014510544,1
4.029625820,0
4.029634614,1
4.044750236,0
4.044759158,1
4.059876780,0
4.059885576,1
4.075003196,0
4.075011804,1
4.090007294,0
4.090016274,1
4.105126596,0
4.105135158,1
4.120251536,0
4.120260228,1
4.135376926,0
4.135385064,1
4.150501186,0
4.150509984,1
4.165401892,0
4.165411780,1
4.180505650,0
4.180514174,1
4.195626014,0
4.195634486,1
4.210751678,0
4.210759972,1
4.225877422,0
4.225885890,1
4.241002034,0
4.241010888,1
4.256126520,0
4.256135012,1
4.271252064,0
4.271260388,1
4.286376892,0
4.286385820,1
4.301502380,0
4.301511382,1
4.316627604,0
4.316636126,1
4.331752448,0
4.331761320,1
4.346877650,0
4.346886218,1
4.362002152,0
4.362010808,1
4.377127980,0
4.377136848,1
4.392253258,0
4.392261912,1
4.407377280,0
4.407386068,1
4.422501912,0
4.422510804,1
4.437628148,0
4.437637602,1
4.452750858,0
4.452759392,1
4.467765236,0
4.467774052,1
4.482759346,0
4.482767900,1
4.497878456,0
4.497887398,1
4.513003124,0
4.513011576,1
4.528127082,0
4.528135648,1
4.543253562,0
4.543262646,1
4.558377764,0
4.558386374,1
4.573385526,0
4.573393892,1
4.588503310,0
4.588512286,1
4.603630092,0
4.603638498,1
4.618633402,0
4.618642912,1
4.633753308,0
4.633761960,1
4.648876760,0
4.648885944,1
4.664002804,0
4.664010926,1
4.679009440,0
4.679018420,1
4.694128658,0
4.694137888,1
4.709253560,0
4.709262094,1
4.724379688,0
4.724388784,1
4.739503316,0
4.739512504,1
4.754628368,0
4.754637302,1
4.769755024,0
4.769764974,1
4.784760096,0
4.784768388,1
4.799879490,0
4.799888324,1
4.815004038,0
4.815012652,1
4.830128690,0
4.830137574,1
4.845253942,0
4.845263214,1
4.860378212,0
4.860387592,1
4.875504172,0
4.875512826,1
4.890598852,0
4.890607412,1
4.905581700,0
4.905590272,1
4.920636486,0
4.920645090,1
4.935754392,0
4.935763262,1
4.950879986,0
4.950889166,1
4.966004996,0
4.966013576,1
4.981130018,0
4.981139348,1
4.996142892,0
4.996151942,1
5.011134188,0
5.011142998,1
5.026254912,0
5.026263482,1
5.041380284,0
5.041389102,1
5.056505006,0
5.056514612,1
5.071629010,0
5.071637584,1
5.086754958,0
5.086764328,1
5.101880276,0
5.101889014,1
5.117006198,0
5.117014708,1
5.132010572,0
5.132019426,1
5.147131060,0
5.147140078,1
5.162135678,0
5.162144442,1
5.177255336,0
5.177264694,1
5.192380042,0
5.192389504,1
5.207505968,0
5.207514910,1
5.222630254,0
5.222639166,1
5.237755656,0
5.237764264,1
5.252851562,0
5.252860292,1
5.267834180,0
5.267842792,1
5.282886036,0
5.282894512,1
5.298004862,0
5.298013610,1
5.313018664,0
5.313027424,1
5.328131158,0
5.328140204,1
5.343137442,0
5.343146310,1
5.358256528,0
5.358265720,1
5.373381488,0
5.373390844,1
5.388386740,0
5.388396032,1
5.403506438,0
5.403516288,1
5.418511618,0
5.418520540,1
5.433631636,0
5.433641066,1
5.448755476,0
5.448763964,1
5.463880566,0
5.463889096,1
5.479006610,0
5.479015848,1
5.494131012,0
5.494140188,1
5.509254834,0
5.509263818,1
5.524381324,0
5.524390512,1
5.539506938,0
5.539517018,1
5.554629274,0
5.554637856,1
5.569757430,0
5.569766630,1
5.584880718,0
5.584888986,1
5.600007242,0
5.600016454,1
5.615131360,0
5.615140778,1
5.630256994,0
5.630266274,1
5.645381318,0
5.645390734,1
5.660506490,0
5.660516254,1
5.675511946,0
5.675521322,1
5.690633210,0
5.690642066,1
5.705756470,0
5.705765162,1
5.720883198,0
5.720892424,1
5.735895186,0
5.735903404,1
5.751007118,0
5.751015630,1
5.766133724,0
5.766142916,1
5.781137424,0
5.781147250,1
5.796257656,0
5.796266514,1
5.811382362,0
5.811391220,1
5.826508260,0
5.826517398,1
5.841632078,0
5.841641066,1
5.856756884,0
5.856765406,1
5.871882928,0
5.871891916,1
5.887007154,0
5.887016084,1
5.902131998,0
5.902140556,1
5.917257512,0
5.917266358,1
5.932262088,0
5.932270826,1
5.947382362,0
5.947391312,1
5.962507872,0
5.962516822,1
5.977631978,0
5.977641082,1
5.992727912,0
5.992737096,1
6.007710476,0
6.007719398,1
6.022757612,0
6.022766124,1
6.037883630,0
6.037892346,1
6.053008568,0
6.053017140,1
6.068132796,0
6.068141792,1
6.083138206,0
6.083146452,1
6.098258916,0
6.098267700,1
6.113383568,0
6.113392318,1
6.128389552,0
6.128398494,1
6.143507746,0
6.143516884,1
6.158634352,0
6.158643772,1
6.173638686,0
6.173647582,1
6.188759092,0
6.188768288,1
6.203883786,0
6.203892298,1
6.219008342,0
6.219016784,1
6.234133102,0
6.234142490,1
6.249231970,0
6.249240604,1
6.264258022,0
6.264266868,1
6.279382856,0
6.279392386,1
6.294507792,0
6.294517080,1
6.309634044,0
6.309643528,1
6.324759778,0
6.324768820,1
6.339763758,0
6.339773238,1
6.354853990,0
6.354862990,1
6.369805194,0
6.369813632,1
6.384889926,0
6.384899226,1
6.400015190,0
6.400023508,1
6.415133770,0
6.415142580,1
6.430260534,0
6.430270002,1
6.445384586,0
6.445393016,1
6.460509200,0
6.460518176,1
6.475634356,0
6.475643086,1
6.490639550,0
6.490648680,1
6.505760238,0
6.505769582,1
6.520883370,0
6.520891504,1
6.536010104,0
6.536018660,1
6.551135294,0
6.551144340,1
6.566134682,0
6.566143650,1
6.581259842,0
6.581268240,1
6.596384652,0
6.596393062,1
6.611510430,0
6.611519326,1
6.626635230,0
6.626643918,1
6.641760520,0
6.641769012,1
6.656885596,0
6.656894288,1
6.672010386,0
6.672019024,1
6.687135246,0
6.687144484,1
6.702260438,0
6.702269586,1
6.717385202,0
6.717394854,1
6.732511276,0
6.732520796,1
6.747515610,0
6.747524698,1
6.762636666,0
6.762645728,1
6.777640754,0
6.777649776,1
6.792757598,0
6.792766214,1
6.807766382,0
6.807775766,1
6.822885780,0
6.822894914,1
6.838011622,0
6.838020494,1
6.853136220,0
6.853144742,1
6.868260914,0
6.868269630,1
6.883385728,0
6.883394452,1
6.898510992,0
6.898520076,1
6.913637134,0
6.913646440,1
6.928642286,0
6.928650994,1
6.943760738,0
6.943769566,1
6.958861776,0
6.958871044,1
6.973890748,0
6.973899928,1
6.989012316,0
6.989021112,1
7.004135350,0
7.004143880,1
7.019262052,0
7.019271108,1
7.034267366,0
7.034276150,1
7.049386750,0
7.049395294,1
7.064511228,0
7.064519998,1
7.079636492,0
7.079645142,1
7.094731988,0
7.094740518,1
7.109714060,0
7.109723094,1
7.124766400,0
7.124775412,1
7.139885984,0
7.139894230,1
7.155010978,0
7.155019670,1
7.170135820,0
7.170144412,1
7.185262164,0
7.185270740,1
7.200267402,0
7.200276366,1
7.215386920,0
7.215395680,1
7.230393026,0
7.230402160,1
7.245512898,0
7.245521216,1
7.260637796,0
7.260647066,1
7.275642634,0
7.275651438,1
7.290762140,0
7.290770266,1
7.305887474,0
7.305896392,1
7.320887168,0
7.320895752,1
7.336012228,0
7.336021066,1
7.351138982,0
7.351147542,1
7.366263006,0
7.366271834,1
7.381387756,0
7.381396108,1
7.396512938,0
7.396522054,1
7.411637984,0
7.411647018,1
7.426642144,0
7.426650336,1
7.441650186,0
7.441659280,1
7.456732892,0
7.456741498,1
7.471684936,0
7.471693344,1
7.486768228,0
7.486776420,1
7.501889168,0
7.501898284,1
7.517013032,0
7.517021520,1
7.532138554,0
7.532147916,1
7.547143950,0
7.547152764,1
7.562263514,0
7.562271998,1
7.577389132,0
7.577398500,1
7.592512910,0
7.592521172,1
7.607638724,0
7.607646924,1
7.622763920,0
7.622772958,1
7.637888288,0
7.637897106,1
7.653013674,0
7.653021878,1
7.668139380,0
7.668148210,1
7.683264240,0
7.683272952,1
7.698389300,0
7.698397896,1
7.713512560,0
7.713521660,1
7.728638974,0
7.728647790,1
7.743765346,0
7.743773604,1
7.758890922,0
7.758900382,1
7.773895036,0
7.773903924,1
7.789014296,0
7.789022472,1
7.804139498,0
7.804147844,1
7.819263712,0
7.819272562,1
7.834389484,0
7.834397984,1
7.849514094,0
7.849523490,1
7.864512744,0
7.864521686,1
7.879638766,0
7.879647026,1
7.894764180,0
7.894773540,1
7.909890470,0
7.909899492,1
7.925014184,0
7.925023338,1
7.940140268,0
7.940149632,1
7.955145458,0
7.955154288,1
7.970265934,0
7.970275360,1
7.985270252,0
7.985278390,1
8.000388898,0
8.000398192,1
8.015515666,0
8.015524768,1
8.030640690,0
8.030649844,1
8.045764962,0
8.045774424,1
8.060890430,0
8.060899264,1
8.076014986,0
8.076023474,1
8.091018344,0
8.091027570,1
8.106140272,0
8.106149406,1
8.121146456,0
8.121156144,1
8.136267858,0
8.136276532,1
8.151278650,0
8.151287380,1
8.166271554,0
8.166280102,1
8.181363298,0
8.181372236,1
8.196388066,0
8.196396734,1
8.211312192,0
8.211320942,1
8.226390640,0
8.226400028,1
8.241516328,0
8.241525578,1
8.256640230,0
8.256648800,1
8.271767064,0
8.271775544,1
8.286890808,0
8.286899512,1
8.302015992,0
8.302025784,1
8.317140460,0
8.317149670,1
8.332145410,0
8.332154400,1
8.347266376,0
8.347275450,1
8.362390726,0
8.362399744,1
8.377394570,0
8.377403374,1
8.392517308,0
8.392525826,1
8.407641142,0
8.407650190,1
8.422646432,0
8.422655358,1
8.437766604,0
8.437774846,1
8.452891818,0
8.452900290,1
8.468016198,0
8.468024608,1
8.483142074,0
8.483151358,1
8.498265706,0
8.498274260,1
8.513392540,0
8.513401808,1
8.528395792,0
8.528405392,1
8.543517172,0
8.543525948,1
8.558612140,0
8.558620882,1
8.573563382,0
8.573572362,1
8.588647208,0
8.588656038,1
8.603766298,0
8.603775170,1
8.618892012,0
8.618901074,1
8.634017450,0
8.634026292,1
8.649022088,0
8.649030686,1
