Time [s],Channel 0
0.000000000,1
0.058937650,0
0.058947710,1
0.058947720,0
0.058947730,1
0.126001090,0
0.126011450,1
0.193005230,0
0.193015470,1
0.259948670,0
0.259959640,1
0.259959650,0
0.259959670,1
0.326766540,0
0.326777320,1
0.326777330,0
0.326777350,1
0.393808760,0
0.393819440,1
0.393819450,0
0.393819470,1
0.460801420,0
0.460812630,1
0.527824940,0
0.527836110,1
0.527836120,0
0.527836140,1
0.594868170,0
0.594878790,1
0.661806220,0
0.661816760,1
0.661816770,0
0.661816790,1
0.728824760,0
0.728835830,1
0.728835840,0
0.728835860,1
0.795817040,0
0.795828190,1
0.795828210,0
0.795828220,1
0.862833380,0
0.862843890,1
0.862843900,0
0.862843920,1
0.929799930,0
0.929810740,1
0.929810750,0
0.929810770,1
0.996575090,0
0.996586290,1
0.996586310,0
0.996586320,1
1.063522330,0
1.063532670,1
1.130509180,0
1.130520670,1
1.197526460,0
1.197536730,1
1.264540840,0
1.264551950,1
1.264551970,0
1.264551980,1
1.331513250,0
1.331524490,1
1.331524500,0
1.331524510,1
1.398513430,0
1.398525160,1
1.398525180,0
1.398525800,1
1.465453900,0
1.465464570,1
1.465464590,0
1.465464600,1
1.532413550,0
1.532425280,1
1.532425300,0
1.532425310,1
1.599377650,0
1.599389390,1
1.599389410,0
1.599389420,1
1.666153450,0
1.666164810,1
1.666164820,0
1.666164830,1
1.733141800,0
1.733152450,1
1.733152470,0
1.733152480,1
1.800168520,0
1.800179560,1
1.800179580,0
1.800179590,1
1.867180860,0
1.867191800,1
1.867191820,0
1.867191830,1
1.934211450,0
1.934221920,1
1.934221930,0
1.934221950,1
2.001207000,0
2.001218280,1
2.001218290,0
2.001218310,1
2.068140320,0
2.068150770,1
2.068150780,0
2.068150800,1
2.135142370,0
2.135153560,1
2.135153570,0
2.135153590,1
2.202123540,0
2.202134180,1
2.269083700,0
2.269094100,1
2.269094110,0
2.269094130,1
2.335907570,0
2.335917990,1
2.335918010,0
2.335918020,1
2.402877210,0
2.402887800,1
2.402887820,0
2.402887830,1
2.469786900,0
2.469797490,1
2.469797500,0
2.469797520,1
2.536785460,0
2.536796720,1
2.536796740,0
2.536796750,1
2.603782510,0
2.603793790,1
2.603793800,0
2.603793810,1
2.670793480,0
2.670804030,1
2.737758500,0
2.737769790,1
2.737769810,0
2.737769820,1
2.804737840,0
2.804748050,1
2.871656010,0
2.871666160,1
2.871666170,0
2.871666190,1
2.938658990,0
2.938670100,1
2.938670110,0
2.938670120,1
3.005504810,0
3.005516200,1
3.005516220,0
3.005516230,1
3.072527560,0
3.072538930,1
3.072538950,0
3.072538960,1
3.139451470,0
3.139462310,1
3.206476880,0
3.206488110,1
3.206488120,0
3.206488140,1
3.273474260,0
3.273485190,1
3.273485210,0
3.273485220,1
3.340445080,0
3.340455360,1
3.340455370,0
3.340455390,1
3.407453600,0
3.407464900,1
3.407464920,0
3.407464930,1
3.474458470,0
3.474469400,1
3.474469410,0
3.474469430,1
3.541399670,0
3.541410870,1
3.541410890,0
3.541410900,1
3.608428030,0
3.608438080,1
3.675254000,0
3.675264660,1
3.742207200,0
3.742218420,1
3.742218430,0
3.742218440,1
3.809181810,0
3.809192520,1
3.809192540,0
