Time [s],Channel 0
0.000000000,1
0.097671560,0
0.097683380,1
0.097683390,0
0.097683400,1
0.228964320,0
0.228975660,1
0.360402240,0
0.360414160,1
0.360414180,0
0.360414190,1
0.491827890,0
0.491839640,1
0.491839660,0
0.491839670,1
0.623136410,0
0.623147790,1
0.623147810,0
0.623147820,1
0.754588030,0
0.754600090,1
0.754600100,0
0.754600110,1
0.885962270,0
0.885973850,1
0.885973860,0
0.885973880,1
1.017323800,0
1.017335600,1
1.017335620,0
1.017335630,1
1.148621960,0
1.148633740,1
1.279955100,0
1.279966500,1
1.279966520,0
1.279966530,1
1.411250530,0
1.411262490,1
1.411262500,0
1.411262520,1
1.542673240,0
1.542684930,1
1.542684940,0
1.542684960,1
1.674084310,0
1.674096270,1
1.805332790,0
1.805344420,1
1.805344430,0
1.805344440,1
1.936812290,0
1.936825770,1
2.068263360,0
2.068275610,1
2.068275630,0
2.068276590,1
2.199723720,0
2.199735350,1
2.199735360,0
2.199735380,1
2.331100140,0
2.331111500,1
2.331111520,0
2.331111530,1
2.462511710,0
2.462523560,1
2.462523570,0
2.462523590,1
2.593893290,0
2.593905150,1
2.593905160,0
2.593905180,1
2.725281590,0
2.725293390,1
2.725293400,0
2.725293410,1
2.856748970,0
2.856761060,1
2.856761080,0
2.856761090,1
2.987993800,0
2.988005270,1
2.988005280,0
2.988005300,1
3.119468510,0
3.119480150,1
3.119480160,0
3.119480180,1
3.250823230,0
3.250835030,1
3.250835040,0
3.250835060,1
3.382123030,0
3.382135130,1
3.382135150,0
3.382135940,1
3.513573740,0
3.513585740,1
3.513585760,0
3.513585770,1
3.644973830,0
3.644985870,1
3.644985890,0
3.644986720,1
3.776224060,0
3.776236760,1
3.907515870,0
3.907527670,1
3.907527690,0
3.907527700,1
4.038896780,0
4.038909000,1
4.038909010,0
4.038909030,1
4.170270700,0
4.170282700,1
4.170282720,0
4.170282730,1
4.301716780,0
4.301728490,1
4.301728500,0
4.301728510,1
4.433185020,0
4.433196620,1
4.433196630,0
4.433196640,1
4.564427630,0
4.564439620,1
4.564439630,0
4.564439650,1
4.695827710,0
4.695839530,1
4.827216860,0
4.827228530,1
4.827228540,0
4.827228550,1
4.958367360,0
4.958379080,1
5.089882930,0
5.089894730,1
5.089894750,0
5.089894760,1
5.221380170,0
5.221392370,1
5.221392380,0
5.221392390,1
5.352736990,0
5.352748710,1
5.352748730,0
5.352748740,1
5.484145750,0
5.484157600,1
5.484157620,0
5.484157630,1
5.615624530,0
5.615635950,1
5.615635960,0
5.615635970,1
5.746963990,0
5.746975730,1
5.746975740,0
5.746975770,1
5.878279190,0
5.878290580,1
5.878290600,0
5.878290610,1
6.009754260,0
6.009765930,1
6.141212160,0
6.141224400,1
6.141224420,0
6.141224430,1
6.272624890,0
6.272636690,1
6.404014820,0
6.404026790,1
6.404026800,0
6.404026820,1
6.535208700,0
6.535220560,1
6.535220570,0
6.535220590,1
6.666613710,0
6.666625740,1
6.666625750,0
6.666625770,1
6.797921520,0
6.797933160,1
6.797933180,0
6.797933190,1
6.929250400,0
6.929261660,1
6.929261680,0
6.929261690,1
7.060674680,0
7.060686260,1
7.060686280,0
7.060686290,1
7.192186660,0
7.192198330,1
7.192198340,0
7.192198350,1
7.323614250,0
7.323626880,1
7.323626900,0
7.323627830,1
7.455005820,0
7.455018100,1
7.455018110,0
7.455018120,1
7.586457770,0
7.586469740,1
7.586469760,0
7.586469770,1
7.717780430,0
7.717792490,1
7.717792500,0
7.717792520,1
7.849167010,0
7.849179370,1
7.849179380,0
7.849180240,1
7.980627260,0
7.980639660,1
7.980639670,0
7.980640610,1
8.111969710,0
8.111981520,1
8.111981540,0
8.111981560,1
8.243350680,0
8.243362830,1
8.243362840,0
8.243362850,1
8.374896030,0
8.374907580,1
8.506174400,0
8.506185770,1
8.506185790,0
8.506185800,1
8.637640450,0
8.637652120,1
8.637652140,0
8.637652150,1
8.769064930,0
8.769076890,1
8.769076900,0
8.769076920,1
8.900459500,0
8.900470910,1
9.031791870,0
9.031803550,1
9.031803560,0
9.031803580,1
9.163243480,0
9.163255540,1
9.163255560,0
9.163255570,1
9.294478360,0
9.294489710,1
9.425872840,0
9.425884580,1
9.425884590,0
9.425884610,1
9.557253030,0
9.557264620,1
9.557264630,0
9.557264640,1
9.688484100,0
9.688495830,1
9.688495850,0
9.688495860,1
9.819904550,0
9.819916360,1
9.819916370,0
9.819916390,1
9.951410700,0
9.951422700,1
9.951422710,0
9.951422730,1
10.082736420,0
10.082748330,1
10.082748340,0
10.082748350,1
10.121379840,1
