Time [s],Channel 0
0.000080562,0
2.207880064,1
2.526510448,0
2.526525890,1
2.593442010,0
2.593452632,1
2.660464752,0
2.660475100,1
2.727452700,0
2.727463788,1
2.794402796,0
2.794413238,1
2.861339904,0
2.861351196,1
2.928288482,0
2.928299884,1
2.995309832,0
2.995320746,1
3.062297612,0
3.062308730,1
3.129268744,0
3.129279392,1
3.196314632,0
3.196325182,1
3.263350890,0
3.263361574,1
3.330307984,0
3.330318818,1
3.397386934,0
3.397397192,1
3.464351428,0
3.464362396,1
3.531360206,0
3.531370786,1
3.598331292,0
3.598342288,1
3.665290920,0
3.665301344,1
3.732335096,0
3.732345610,1
3.799324190,0
3.799335220,1
3.866346726,0
3.866358394,1
3.933341274,0
3.933351716,1
4.000346430,0
4.000357060,1
4.067350100,0
4.067360924,1
4.134339264,0
4.134349702,1
4.201343124,0
4.201354316,1
4.268281316,0
4.268292788,1
4.335144014,0
4.335154810,1
4.402203304,0
4.402213946,1
4.469181914,0
4.469192944,1
4.536155852,0
4.536166816,1
4.603157534,0
4.603168610,1
4.670077198,0
4.670087818,1
4.737092878,0
4.737103600,1
4.804032722,0
4.804043502,1
4.870917928,0
4.870928632,1
4.937853212,0
4.937864256,1
5.004826502,0
5.004837486,1
5.071808108,0
5.071818556,1
5.138818866,0
5.138830040,1
5.205859414,0
5.205869706,1
5.272795154,0
5.272805296,1
5.339777722,0
5.339789162,1
5.406689354,0
5.406700214,1
5.473730870,0
5.473741078,1
5.540699614,0
5.540710318,1
5.607688642,0
5.607700100,1
5.674610764,0
5.674622832,1
5.741601606,0
5.741613302,1
5.808399086,0
5.808410274,1
5.875342048,0
5.875352956,1
5.942359176,0
5.942370506,1
6.009353674,0
6.009365208,1
6.076342986,0
6.076354420,1
6.143343134,0
6.143354176,1
6.210298432,0
6.210309038,1
6.277317698,0
6.277328582,1
6.344340058,0
6.344350534,1
6.411321818,0
6.411332598,1
6.478157462,0
6.478167924,1
6.545100434,0
6.545111648,1
6.612038390,0
6.612049424,1
6.678979612,0
6.678989858,1
6.745893168,0
6.745903830,1
6.812843678,0
6.812855082,1
6.879832024,0
6.879843126,1
6.946861114,0
6.946871760,1
7.013783060,0
7.013793632,1
7.080679996,0
7.080691100,1
7.147458130,0
7.147468618,1
7.214486536,0
7.214496570,1
7.281472128,0
7.281483470,1
7.348443200,0
7.348454010,1
7.415374830,0
7.415385760,1
7.482349766,0
7.482360442,1
7.549307658,0
7.549318000,1
7.616282430,0
7.616293228,1
7.683229994,0
7.683240462,1
7.750179900,0
7.750191104,1
7.817028388,0
7.817038642,1
7.883907358,0
7.883918360,1
7.950903380,0
7.950914160,1
8.017946924,0
8.017957878,1
8.084902378,0
8.084912738,1
8.151819374,0
8.151830226,1
8.218828734,0
8.218839818,1
8.285857282,0
8.285868216,1
8.352856390,0
8.352866528,1
8.419823784,0
8.419834918,1
8.486658568,0
8.486670006,1
8.553694444,0
8.553704628,1
8.620701800,0
8.620712380,1
8.687695914,0
8.687707348,1
8.754716074,0
8.754727578,1
8.821666672,0
8.821678230,1
8.888665878,0
8.888677024,1
8.955575692,0
8.955587192,1
9.022557910,0
9.022569156,1
9.089483840,0
9.089494374,1
9.156349392,0
9.156359976,1
9.223374204,0
9.223384850,1
9.290310418,0
9.290320698,1
9.357274344,0
9.357285692,1
9.424240734,0
9.424251264,1
9.491248212,0
9.491258830,1
9.558194390,0
9.558204860,1
9.625157070,0
9.625168088,1
9.692111236,0
9.692122508,1
9.759039722,0
9.759050652,1
9.825857156,0
9.825867516,1
9.892858430,0
9.892868972,1
9.959857890,0
9.959869362,1
10.026819142,0
10.026830452,1
10.093836528,0
10.093847516,1
10.160868614,0
10.160879394,1
10.227867232,0
10.227877346,1
10.294879326,0
10.294888992,1
10.361875094,0
10.361885250,1
10.428788442,0
10.428799906,1
10.495585088,0
10.495595290,1
10.562607704,0
10.562618300,1
10.629577042,0
10.629588102,1
10.696579778,0
10.696590436,1
10.763536804,0
10.763547992,1
10.830487868,0
10.830498932,1
10.897496596,0
10.897506792,1
10.964541652,0
10.964551918,1
11.031585124,0
11.031596866,1
11.098437246,0
11.098448048,1
11.165243606,0
11.165253786,1
11.232240466,0
11.232251064,1
11.299264560,0
11.299274982,1
11.366239096,0
11.366249750,1
11.433207538,0
11.433218752,1
11.500221020,0
11.500231604,1
11.567254856,0
11.567265244,1
11.634186944,0
11.634198174,1
11.701274996,0
11.701285564,1
11.768199952,0
11.768211802,1
11.834975156,0
11.834986208,1
11.901998904,0
11.902009700,1
11.968994900,0
11.969006148,1
12.035916810,0
12.035927764,1
12.102843164,0
12.102854332,1
12.169817652,0
12.169827762,1
12.236821224,0
12.236831354,1
12.303804812,0
12.303815484,1
12.370748424,0
12.370758796,1
12.437677136,0
12.437688042,1
12.504426968,0
12.504438224,1
12.571312172,0
12.571322774,1
12.638337818,0
12.638348794,1
12.705350638,0
12.705361140,1
12.772321246,0
12.772332302,1
12.839307338,0
12.839317776,1
12.906300232,0
12.906311016,1
12.973261256,0
12.973272258,1
13.040249556,0
13.040260552,1
13.107229446,0
13.107240052,1
13.174123246,0
13.174133526,1
13.241075894,0
13.241085936,1
13.308055960,0
13.308066710,1
13.375063816,0
13.375073964,1
13.442060448,0
13.442071024,1
13.509057018,0
13.509068044,1
13.576004328,0
13.576015584,1
13.642915368,0
13.642925510,1
13.709900526,0
13.709911376,1
13.776799840,0
13.776809954,1
13.843632980,0
13.843643482,1
13.910624800,0
13.910635476,1
13.977586686,0
13.977596896,1
14.044602880,0
14.044613990,1
14.111598288,0
14.111609710,1
14.178596124,0
14.178607146,1
14.245563256,0
14.245574694,1
14.312599406,0
14.312610002,1
14.379577892,0
14.379589680,1
14.446547228,0
14.446558358,1
14.513427200,0
14.513438398,1
14.580338624,0
14.580349688,1
14.647319522,0
14.647329882,1
14.714310062,0
14.714321358,1
14.781254182,0
14.781264604,1
14.848211808,0
14.848222764,1
14.915231316,0
14.915242120,1
14.982256268,0
14.982266522,1
15.049191878,0
15.049202258,1
15.116085280,0
15.116095714,1
15.182843174,0
15.182854074,1
15.249881946,0
15.249892384,1
15.316868566,0
15.316879828,1
15.383871946,0
15.383882602,1
15.450872158,0
15.450882474,1
15.517881172,0
15.517891502,1
15.584846716,0
15.584857776,1
15.651847228,0
15.651857894,1
15.718870880,0
15.718881550,1
15.785796682,0
15.785808016,1
15.852588854,0
15.852599530,1
15.919573298,0
