Time [s],Channel 0
0.000080562,0
0.854128212,1
1.165546786,0
1.165563556,1
1.296908414,0
1.296920674,1
1.428324282,0
1.428336580,1
1.559672634,0
1.559684352,1
1.691071430,0
1.691083470,1
1.822546442,0
1.822557904,1
1.953956272,0
1.953968290,1
2.085294014,0
2.085306520,1
2.216643940,0
2.216656070,1
2.348104276,0
2.348115964,1
2.479501326,0
2.479513224,1
2.610881662,0
2.610893784,1
2.742231784,0
2.742243450,1
2.873713712,0
2.873726076,1
3.005096546,0
3.005108404,1
3.136504474,0
3.136516116,1
3.267915936,0
3.267928032,1
3.399302122,0
3.399314118,1
3.530758332,0
3.530769988,1
3.662213730,0
3.662225992,1
3.793648958,0
3.793661388,1
3.925123602,0
3.925135636,1
4.056534162,0
4.056546062,1
4.187962490,0
4.187974262,1
4.319399468,0
4.319411574,1
4.450766908,0
4.450778796,1
4.582069780,0
4.582081398,1
4.713502110,0
4.713514402,1
4.844747202,0
4.844758832,1
4.976181310,0
4.976193418,1
5.107627732,0
5.107639784,1
5.238979784,0
5.238990818,1
5.370436252,0
5.370448170,1
5.501866574,0
5.501878634,1
5.633205346,0
5.633217652,1
5.764686148,0
5.764697932,1
5.896129660,0
5.896141444,1
6.027586876,0
6.027598668,1
6.159099934,0
6.159112010,1
6.290563304,0
6.290575288,1
6.421900048,0
6.421911606,1
6.553173854,0
6.553186014,1
6.684629586,0
6.684641644,1
6.816019720,0
6.816031416,1
6.947461880,0
6.947473868,1
7.078965518,0
7.078977152,1
7.210427232,0
7.210439678,1
7.341726990,0
7.341739038,1
7.473200318,0
7.473212248,1
7.604657506,0
7.604669094,1
7.736061336,0
7.736072982,1
7.867410612,0
7.867422324,1
7.998691098,0
7.998703212,1
8.130054376,0
8.130066060,1
8.261632274,0
8.261643904,1
8.393060102,0
8.393071744,1
8.524458824,0
8.524470842,1
8.655869784,0
8.655881556,1
8.787280572,0
8.787292378,1
8.918667928,0
8.918679982,1
9.050001500,0
9.050013310,1
9.181321830,0
9.181333472,1
9.312847166,0
9.312859174,1
9.444326064,0
9.444337964,1
9.575784078,0
9.575795712,1
9.707173696,0
9.707185596,1
9.838651638,0
9.838663964,1
9.970065770,0
9.970077424,1
10.101483886,0
10.101495642,1
10.232924488,0
10.232936608,1
10.364203366,0
10.364215226,1
10.495734608,0
10.495746508,1
10.627104528,0
10.627116632,1
10.758506768,0
10.758518732,1
10.889925920,0
10.889938004,1
11.021356506,0
11.021368594,1
11.152782670,0
11.152794266,1
11.284230050,0
11.284242212,1
11.415735774,0
11.415747800,1
11.547006378,0
11.547018488,1
11.678390436,0
11.678402424,1
11.809711922,0
11.809723922,1
11.941072554,0
11.941084338,1
12.072458032,0
12.072469998,1
12.203898830,0
12.203910902,1
12.335331992,0
12.335343976,1
12.466668286,0
12.466679962,1
12.598145380,0
12.598157468,1
12.729497696,0
12.729510050,1
12.860957318,0
12.860968852,1
12.992377374,0
12.992388968,1
13.123782586,0
13.123794412,1
13.255148476,0
13.255160410,1
13.386666216,0
13.386677882,1
13.517972510,0
13.517984152,1
13.649545470,0
13.649557430,1
13.780891168,0
13.780902768,1
13.912291332,0
13.912303502,1
14.043732928,0
14.043744886,1
14.175177682,0
14.175189634,1
14.306503900,0
14.306515992,1
14.437934934,0
14.437946796,1
14.569377418,0
14.569389190,1
14.700737942,0
14.700749590,1
14.832162206,0
14.832174090,1
14.963612048,0
14.963624398,1
15.095010080,0
15.095022102,1
15.226441302,0
15.226453148,1
15.357804254,0
15.357816302,1
15.489125270,0
15.489137200,1
15.620624236,0
15.620636166,1
15.751991706,0
15.752003616,1
15.883444646,0
15.883456768,1
16.014897120,0
16.014909012,1
16.146410388,0
16.146422384,1
16.277729260,0
16.277740844,1
16.409094680,0
16.409106472,1
16.540525504,0
16.540537488,1
16.671811232,0
16.671823830,1
16.803226056,0
16.803237770,1
16.934790058,0
16.934801942,1
17.066065180,0
17.066077240,1
17.197505614,0
17.197517552,1
17.328830896,0
17.328842960,1
17.460115598,0
17.460127240,1
17.591683142,0
17.591694952,1
17.723124960,0
17.723137190,1
17.854460980,0
17.854473136,1
17.985810938,0
17.985822798,1
18.117123850,0
18.117135504,1
18.248384348,0
18.248395966,1
18.379794156,0
18.379805898,1
18.511225462,0
18.511237650,1
18.642540802,0
18.642552666,1
18.773945696,0
18.773957746,1
18.905383694,0
18.905395536,1
19.036801128,0
19.036812716,1
19.168265394,0
19.168277628,1
19.299717528,0
19.299729498,1
19.431020918,0
19.431033190,1
19.562390296,0
19.562402022,1
19.693832628,0
19.693844558,1
19.825163988,0
19.825176342,1
19.956523368,0
19.956535312,1
20.088058384,0
20.088070488,1
20.219418018,0
20.219430064,1
20.350890736,0
20.350902782,1
20.482350142,0
20.482362346,1
20.613653474,0
20.613665592,1
20.745076724,0
20.745088800,1
20.876457700,0
20.876469558,1
21.007778124,0
21.007790584,1
21.139252308,0
21.139263824,1
21.270719394,0
21.270731104,1
21.401989306,0
21.402001726,1
21.533470150,0
21.533482130,1
21.664869032,0
21.664880780,1
21.796196132,0
21.796208800,1
21.927647672,0
21.927659870,1
22.059084384,0
22.059095964,1
22.190395308,0
22.190407026,1
22.321700778,0
22.321712492,1
22.453153928,0
22.453166062,1
22.584485524,0
22.584497214,1
22.715949018,0
22.715960806,1
22.847335536,0
22.847347436,1
22.978699066,0
22.978710762,1
23.109934580,0
23.109946756,1
23.241369802,0
23.241381644,1
23.372649924,0
23.372661942,1
23.503948456,0
23.503960452,1
23.635385942,0
23.635397868,1
23.766815770,0
23.766827550,1
23.898318006,0
23.898329774,1
24.029780938,0
24.029792546,1
24.161137986,0
24.161149624,1
24.292548114,0
24.292560178,1
24.424062422,0
24.424074606,1
24.555492618,0
24.555504632,1
24.686772036,0
24.686783644,1
24.818192760,0
24.818204570,1
24.949652702,0
24.949664374,1
25.081080398,0
25.081092590,1
25.212551750,0
25.212563756,1
25.343956790,0
25.343968762,1
25.475302632,0
25.475314520,1
25.606742054,0
25.606754026,1
25.738167238,0
25.738186996,1
25.869620484,0
25.869632140,1
26.001087176,0
26.001098928,1
26.132420026,0
26.132432212,1
26.263869370,0
26.263881186,1
26.395226444,0
26.395238670,1
26.526453818,0
26.526466294,1
26.657828936,0
26.657840648,1
26.789311406,0
26.789323270,1
26.920702032,0
26.920714032,1
27.052068898,0
27.052080712,1
27.183478944,0
27.183490824,1
27.314756590,0
27.314768792,1
27.446210850,0
27.446222902,1
27.577499844,0
27.577511844,1
27.708853982,0
27.708865858,1
27.840189114,0
27.840201178,1
27.971665046,0
27.971676706,1
28.103003232,0
28.103015234,1
28.234356448,0
28.234368074,1
28.365752030,0
28.365764252,1
28.497031418,0
28.497043818,1
28.628418796,0
28.628431076,1
28.759650012,0
28.759661854,1
28.891114602,0
28.891126600,1
29.022539632,0
29.022551370,1
29.153978358,0
29.153990138,1
29.285393624,0
29.285405824,1
29.416822858,0
29.416834608,1
29.548273404,0
29.548285576,1
29.679571966,0
29.679584596,1
29.811061472,0
29.811073594,1
29.942503860,0
29.942515978,1
30.073859974,0
30.073871754,1
30.205326012,0
30.205337830,1
30.294727680,1
