Time [s],Channel 0
0.000000000,0
0.201104610,1
0.201104620,0
0.201109400,1
0.221195370,0
0.423516110,1
0.423516120,0
0.423521230,1
0.443670420,0
0.646453030,1
0.646453040,0
0.646458060,1
0.666584820,0
0.869422750,1
0.889547630,0
1.092446150,1
1.092446160,0
1.092451300,1
1.112579940,0
1.315584580,1
1.315584590,0
1.315589540,1
1.335724900,0
1.538589380,1
1.538589390,0
1.538594430,1
1.558789270,0
1.761420080,1
1.761420090,0
1.761425030,1
1.781497360,0
1.982431620,1
1.982431630,0
1.982436570,1
2.002589880,0
2.010644480,0
