Time [s],Channel 0
0.000000000,0
0.029518020,1
0.029518030,0
0.029518040,1
0.029518050,0
0.029522280,1
0.042389920,0
0.245273490,1
0.245273500,0
0.245277820,1
0.258103680,0
0.461062340,1
0.473875980,0
0.676073350,1
0.676073360,0
0.676077570,1
0.688901150,0
0.891093830,1
0.891093840,0
0.891098030,1
0.903969140,0
1.106096390,1
1.106096400,0
1.106100620,1
1.118947370,0
1.321859120,1
1.321859130,0
1.321863470,1
1.334694410,0
1.537069570,1
1.549943590,0
1.752257790,1
1.752257800,0
1.752261710,1
1.765108230,0
1.968071780,1
1.968071790,0
1.968071800,1
1.968071810,0
1.968075840,1
1.980951330,0
2.044723200,0
