Time [s],Channel 0
0.000000000,1
0.031608880,0
0.031617590,1
0.086531810,0
0.086540610,1
0.141408230,0
0.141416830,1
0.196294100,0
0.196302690,1
0.251158080,0
0.251166820,1
0.306032990,0
0.306042130,1
0.360909010,0
0.360917760,1
0.360917770,0
0.360917780,1
0.415785520,0
0.415794450,1
0.415794460,0
0.415794470,1
0.470736040,0
0.470745010,1
0.525659640,0
0.525668210,1
0.580535770,0
0.580544300,1
0.580544310,0
0.580544320,1
0.635422090,0
0.635430690,1
0.635430700,0
0.635430710,1
0.690285470,0
0.690294030,1
0.745160390,0
0.745168970,1
0.800036390,0
0.800044930,1
0.800044940,0
0.800044950,1
0.854988710,0
0.854997440,1
0.909912550,0
0.909921140,1
0.964911530,0
0.964920070,1
1.019787290,0
1.019795950,1
1.074663470,0
1.074672230,1
1.129490690,0
1.129499370,1
1.129499380,0
1.129499390,1
1.184364770,0
1.184373350,1
1.184373360,0
1.184373370,1
1.239241320,0
1.239250440,1
1.239250450,0
1.239250460,1
1.294038470,0
1.294047500,1
1.348914120,0
1.348922820,1
1.403789500,0
1.403798290,1
1.403798300,0
1.403798310,1
1.458741810,0
1.458750380,1
1.513664000,0
1.513672600,1
1.568539640,0
1.568548630,1
1.623414970,0
1.623424080,1
1.678291280,0
1.678299910,1
1.733172250,0
1.733181260,1
1.733181270,0
1.733181280,1
1.788053200,0
1.788062180,1
1.842921830,0
1.842930430,1
1.897796720,0
1.897805370,1
1.897805380,0
1.897805390,1
1.952672280,0
1.952680860,1
1.952680870,0
1.952680880,1
2.007541560,0
2.007550140,1
2.062418370,0
2.062426990,1
2.062427000,0
2.062427010,1
2.117370010,0
2.117379100,1
2.117379110,0
2.117379120,1
2.172244920,0
2.172253480,1
2.227167980,0
2.227176600,1
2.227176610,0
2.227176620,1
2.282055160,0
2.282063760,1
2.337043470,0
2.337052470,1
2.337052480,0
2.337052490,1
2.391918320,0
2.391927060,1
2.446794580,0
2.446803110,1
2.446803120,0
2.446803130,1
2.501629020,0
2.501637700,1
2.501637710,0
2.501637720,1
2.556544300,0
2.556552990,1
2.556553000,0
2.556553010,1
2.611420240,0
2.611428880,1
2.666294810,0
2.666303810,1
2.666303820,0
2.666303830,1
2.721056170,0
2.721064840,1
2.775919070,0
2.775928130,1
2.775928140,0
2.775928150,1
2.830794640,0
2.830803240,1
2.885670670,0
2.885679350,1
2.940545830,0
2.940554440,1
2.995421490,0
2.995430070,1
2.995430080,0
2.995430090,1
3.050296080,0
3.050304590,1
3.105183410,0
3.105192150,1
3.160046580,0
3.160055520,1
3.160055530,0
3.160055540,1
3.214934480,0
3.214943220,1
3.269808620,0
3.269817150,1
3.324750430,0
3.324759120,1
3.324759130,0
3.324759140,1
3.379673110,0
3.379681670,1
3.434549850,0
3.434558450,1
3.489500980,0
3.489509520,1
3.544423010,0
3.544432070,1
3.544432080,0
3.544432090,1
3.599298060,0
3.599306740,1
3.654172960,0
3.654181540,1
3.709049890,0
3.709058540,1
3.763930460,0
3.763939440,1
3.818799930,0
3.818808530,1
3.873675740,0
3.873684430,1
3.873684440,0
3.873684450,1
3.928430820,0
3.928439350,1
3.928439360,0
3.928439370,1
3.983301320,0
3.983309890,1
3.983309900,0
3.983309910,1
4.038186900,0
4.038196060,1
4.092970570,0
4.092979160,1
4.147936410,0
4.147945390,1
4.202802660,0
4.202811650,1
4.257689700,0
4.257698790,1
4.312630280,0
4.312639370,1
4.312639380,0
4.312639390,1
4.367552850,0
4.367561550,1
4.422505630,0
4.422514270,1
4.477428020,0
4.477436640,1
4.532302830,0
4.532311810,1
4.587256200,0
4.587264900,1
4.587264910,0
4.587264920,1
4.642179560,0
4.642188540,1
4.697060900,0
4.697069980,1
4.752006280,0
4.752015410,1
4.806930940,0
4.806939440,1
4.806939450,0
4.806939460,1
4.861810660,0
4.861819250,1
4.861819260,0
4.861819270,1
4.916681320,0
4.916690330,1
4.916690340,0
4.916690350,1
4.971631790,0
4.971640440,1
4.971640450,0
4.971640460,1
5.026555250,0
5.026564240,1
5.026564250,0
5.026564260,1
5.081429670,0
5.081438680,1
5.136384340,0
5.136392970,1
5.136392980,0
5.136392990,1
5.191306010,0
5.191314600,1
5.246181700,0
5.246190300,1
5.301057250,0
5.301065870,1
5.355931120,0
5.355940130,1
5.355940140,0
5.355940150,1
5.410808410,0
5.410817480,1
5.410817490,0
5.410817500,1
5.465682780,0
5.465691420,1
5.520563310,0
5.520571890,1
5.520571900,0
5.520571910,1
5.575509170,0
5.575517760,1
5.630432820,0
5.630441830,1
5.685308040,0
5.685316990,1
5.740183410,0
5.740192030,1
5.795058820,0
5.795067760,1
5.795067770,0
5.795067780,1
5.849945360,0
5.849954390,1
5.849954400,0
5.849954410,1
5.904814930,0
5.904823530,1
5.959763280,0
5.959772280,1
6.014636710,0
6.014645330,1
6.014645340,0
6.014645350,1
6.069559860,0
6.069568500,1
6.124436000,0
6.124444610,1
6.124444620,0
6.124444630,1
6.179389010,0
6.179397980,1
6.234310940,0
6.234320130,1
6.289186100,0
6.289194650,1
6.344061670,0
6.344070250,1
6.344070260,0
6.344070270,1
6.398936860,0
6.398945410,1
6.398945420,0
6.398945430,1
6.453817660,0
6.453826360,1
6.453826370,0
6.453826380,1
6.508764980,0
6.508773560,1
6.508773570,0
6.508773580,1
6.563688050,0
6.563696510,1
