"Time (UTCG)","Semi-major Axis (km)","Eccentricity","Inclination (deg)","RAAN (deg)","Arg of Perigee (deg)","True Anomaly (deg)","Mean Anomaly (deg)"
27 Jan 2026 17:00:00.000,26000.000000,0.720000,63.400,0.000,360.000,0.000,0.000
27 Jan 2026 17:00:10.000,26000.000000,0.720000,63.400,0.000,360.000,0.764,0.086
27 Jan 2026 17:00:20.000,26000.000000,0.720000,63.400,0.000,360.000,1.527,0.173
27 Jan 2026 17:00:30.000,26000.000000,0.720000,63.400,0.000,360.000,2.291,0.259
27 Jan 2026 17:00:40.000,26000.000000,0.720000,63.400,0.000,360.000,3.054,0.345
27 Jan 2026 17:00:50.000,26000.000000,0.720000,63.400,0.000,360.000,3.816,0.431
27 Jan 2026 17:01:00.000,26000.000000,0.720000,63.400,0.000,360.000,4.578,0.518
27 Jan 2026 17:01:10.000,26000.000000,0.720000,63.400,0.000,360.000,5.340,0.604
27 Jan 2026 17:01:20.000,26000.000000,0.720000,63.400,0.000,360.000,6.100,0.690
27 Jan 2026 17:01:30.000,26000.000000,0.720000,63.400,0.000,360.000,6.860,0.777
27 Jan 2026 17:01:40.000,26000.000000,0.720000,63.400,0.000,360.000,7.619,0.863
27 Jan 2026 17:01:50.000,26000.000000,0.720000,63.400,0.000,360.000,8.376,0.949
27 Jan 2026 17:02:00.000,26000.000000,0.720000,63.400,0.000,360.000,9.133,1.035
27 Jan 2026 17:02:10.000,26000.000000,0.720000,63.400,0.000,360.000,9.888,1.122
27 Jan 2026 17:02:20.000,26000.000000,0.720000,63.400,0.000,360.000,10.641,1.208
27 Jan 2026 17:02:30.000,26000.000000,0.720000,63.400,0.000,360.000,11.393,1.294
27 Jan 2026 17:02:40.000,26000.000000,0.720000,63.400,0.000,360.000,12.144,1.381
27 Jan 2026 17:02:50.000,26000.000000,0.720000,63.400,0.000,360.000,12.892,1.467
27 Jan 2026 17:03:00.000,26000.000000,0.720000,63.400,0.000,360.000,13.639,1.553
27 Jan 2026 17:03:10.000,26000.000000,0.720000,63.400,0.000,360.000,14.384,1.639
27 Jan 2026 17:03:20.000,26000.000000,0.720000,63.400,0.000,360.000,15.127,1.726
27 Jan 2026 17:03:30.000,26000.000000,0.720000,63.400,0.000,360.000,15.867,1.812
27 Jan 2026 17:03:40.000,26000.000000,0.720000,63.400,0.000,360.000,16.606,1.898
27 Jan 2026 17:03:50.000,26000.000000,0.720000,63.400,0.000,360.000,17.342,1.985
27 Jan 2026 17:04:00.000,26000.000000,0.720000,63.400,0.000,360.000,18.076,2.071
27 Jan 2026 17:04:10.000,26000.000000,0.720000,63.400,0.000,360.000,18.807,2.157
27 Jan 2026 17:04:20.000,26000.000000,0.720000,63.400,0.000,360.000,19.536,2.243
27 Jan 2026 17:04:30.000,26000.000000,0.720000,63.400,0.000,360.000,20.262,2.330
27 Jan 2026 17:04:40.000,26000.000000,0.720000,63.400,0.000,360.000,20.985,2.416
27 Jan 2026 17:04:50.000,26000.000000,0.720000,63.400,0.000,360.000,21.706,2.502
27 Jan 2026 17:05:00.000,26000.000000,0.720000,63.400,0.000,360.000,22.423,2.589
27 Jan 2026 17:05:10.000,26000.000000,0.720000,63.400,0.000,360.000,23.138,2.675
27 Jan 2026 17:05:20.000,26000.000000,0.720000,63.400,0.000,360.000,23.850,2.761
27 Jan 2026 17:05:30.000,26000.000000,0.720000,63.400,0.000,360.000,24.558,2.847
27 Jan 2026 17:05:40.000,26000.000000,0.720000,63.400,0.000,360.000,25.264,2.934
27 Jan 2026 17:05:50.000,26000.000000,0.720000,63.400,0.000,360.000,25.966,3.020
27 Jan 2026 17:06:00.000,26000.000000,0.720000,63.400,0.000,360.000,26.665,3.106
27 Jan 2026 17:06:10.000,26000.000000,0.720000,63.400,0.000,360.000,27.360,3.193
27 Jan 2026 17:06:20.000,26000.000000,0.720000,63.400,0.000,360.000,28.053,3.279
27 Jan 2026 17:06:30.000,26000.000000,0.720000,63.400,0.000,360.000,28.741,3.365
27 Jan 2026 17:06:40.000,26000.000000,0.720000,63.400,0.000,360.000,29.427,3.451
27 Jan 2026 17:06:50.000,26000.000000,0.720000,63.400,0.000,360.000,30.108,3.538
27 Jan 2026 17:07:00.000,26000.000000,0.720000,63.400,0.000,360.000,30.786,3.624
27 Jan 2026 17:07:10.000,26000.000000,0.720000,63.400,0.000,360.000,31.461,3.710
