"Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
0.000,1792460.207,1792460.207
1793427.887,3352451.275,1559023.388
3354429.002,3393938.176,39509.174
3396786.368,3435533.806,38747.437
3439032.966,3477184.962,38151.996
3481222.004,3518871.801,37649.798
3523373.328,3560584.355,37211.027
3565496.926,3602316.794,36819.868
3607598.649,3644065.378,36466.729
3649682.269,3685827.551,36145.282
3691750.382,3727601.483,35851.101
3733804.863,3769385.821,35580.958
3775847.117,3811179.539,35332.422
3817878.230,3852981.841,35103.611
3859899.061,3894792.102,34893.041
3901910.306,3936609.827,34699.521
3943912.534,3978434.617,34522.083
3985906.223,4020266.154,34359.931
4027891.775,4062104.181,34212.405
4069869.535,4103948.490,34078.956
4111839.799,4145798.919,33959.121
4153802.826,4187655.340,33852.515
4195758.841,4229517.649,33758.808
4237708.044,4271385.775,33677.730
4279650.610,4313259.665,33609.055
4321586.694,4355139.289,33552.595
4363516.431,4397024.633,33508.202
4405439.939,4438915.701,33475.761
4447357.320,4480812.504,33455.184
4489268.671,4522715.083,33446.412
4531174.063,4564623.474,33449.410
4573073.560,4606537.743,33464.183
4614967.211,4648457.964,33490.753
4656855.052,4690384.215,33529.163
4698737.094,4732316.606,33579.511
4740613.349,4774255.246,33641.897
4782483.807,4816200.274,33716.467
4824348.436,4858151.838,33803.402
4866207.176,4900110.119,33902.943
4908059.963,4942075.303,34015.340
4949906.692,4984047.628,34140.936
4991747.230,5026027.343,34280.113
5033581.408,5068014.756,34433.348
5075409.012,5110010.215,34601.204
5117229.775,5152014.133,34784.358
5159043.364,5184000.000,24956.636

Statistics
"Min Duration",5159043.364,5184000.000,24956.636
"Max Duration",0.000,1792460.207,1792460.207
"Mean Duration",,,105889.217
"Total Duration",,,4870903.979


"Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1792460.207,1793427.887,967.681
3352451.275,3354429.002,1977.727
3393938.176,3396786.368,2848.192
3435533.806,3436259.988,726.183
3438276.234,3439032.966,756.732
3477184.962,3477768.019,583.057
3480609.547,3481222.004,612.457
3518871.801,3519376.536,504.734
3522840.346,3523373.328,532.982
3560584.355,3561037.907,453.552
3565016.280,3565496.926,480.646
3602316.794,3602733.754,416.960
3607155.758,3607598.649,442.891
3644065.378,3644454.696,389.317
3649268.189,3649682.269,414.080
3685827.551,3686195.196,367.645
3691359.150,3691750.382,391.232
3727601.483,3727951.682,350.199
3733432.251,3733804.863,372.612
3769385.821,3769721.702,335.881
3775490.003,3775847.117,357.113
3811179.539,3811503.499,323.960
3817534.221,3817878.230,344.009
3852981.841,3853295.769,313.928
3859566.271,3859899.061,332.790
3894792.102,3895097.523,305.421
3901587.213,3901910.306,323.093
3936609.827,3936907.996,298.169
3943597.887,3943912.534,314.647
3978434.617,3978726.587,291.970
3985598.966,3985906.223,307.257
4020266.154,4020552.821,286.667
4027591.017,4027891.775,300.758
4062104.181,4062386.319,282.138
4069574.502,4069869.535,295.033
4103948.490,4104226.781,278.290
