"Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
0.000,1412.009,1412.009
3575.434,6973.400,3397.966
9136.821,12534.793,3397.973
14698.209,18096.184,3397.975
20259.599,23657.577,3397.978
25820.988,29218.970,3397.982
31382.378,34780.365,3397.987
36943.766,40341.758,3397.992
42505.157,45903.153,3397.996
48066.547,51464.547,3398.000
53627.938,57025.942,3398.004
59189.332,62587.337,3398.005
64750.722,68148.732,3398.010
70312.114,73710.128,3398.014
75873.507,79271.524,3398.017
81434.900,84832.921,3398.021
86996.293,90394.318,3398.025
92557.687,95955.715,3398.028
98119.081,101517.113,3398.032
103680.475,107078.511,3398.036
109241.870,112639.910,3398.040
114803.265,118201.309,3398.044
120364.660,123762.708,3398.048
125926.056,129324.108,3398.052
131487.453,134885.508,3398.055
137048.848,140446.908,3398.060
142610.245,146008.309,3398.064
148171.642,151569.710,3398.068
153733.041,157131.112,3398.071
159294.438,162692.513,3398.076
164855.836,168253.916,3398.080
170417.234,173815.318,3398.084
175978.633,179376.721,3398.088
181540.033,184938.125,3398.092
187101.434,190499.528,3398.094
192662.833,196060.932,3398.100
198224.233,201622.337,3398.104
203785.634,207183.742,3398.108
209347.035,212745.147,3398.112
214908.436,218306.552,3398.116
220469.838,223867.958,3398.120
226031.240,229429.361,3398.120
231592.643,234990.771,3398.128
237154.046,240552.178,3398.132
242715.449,246113.585,3398.136
248276.853,251674.993,3398.140
253838.257,257236.401,3398.144
259399.661,262797.809,3398.148
264961.066,268359.218,3398.152
270522.471,273920.627,3398.156
276083.876,279482.036,3398.160
281645.282,285043.446,3398.164
287206.688,290604.856,3398.168
292768.096,296166.267,3398.171
298329.501,301727.678,3398.177
303890.909,307289.089,3398.179
309452.316,312850.500,3398.185
315013.724,318411.912,3398.189
320575.132,323973.325,3398.193
326136.540,329534.737,3398.197
331697.949,335096.150,3398.201
337259.358,340657.563,3398.205
342820.768,346218.977,3398.209
348382.178,351780.391,3398.213
353943.588,357341.805,3398.217
359505.000,362903.220,3398.220
365066.410,368464.635,3398.226
370627.821,374026.051,3398.230
376189.233,379587.466,3398.234
381750.645,385148.882,3398.238
387312.057,390710.299,3398.242
392873.471,396271.716,3398.245
398434.883,401833.133,3398.250
403996.296,407394.550,3398.254
409557.710,412955.968,3398.259
415119.124,418517.386,3398.263
420680.538,424078.805,3398.267
426241.953,429640.221,3398.268
431803.368,435201.639,3398.272
437364.783,440763.063,3398.279
442926.199,446324.482,3398.283
448487.615,451885.903,3398.287
454049.032,457447.323,3398.292
459610.448,463008.744,3398.296
465171.865,468570.165,3398.300
470733.283,474131.587,3398.304
476294.701,479693.009,3398.308
481856.120,485254.431,3398.311
487417.537,490815.851,3398.314
492978.956,496377.277,3398.321
498540.375,501938.700,3398.325
504101.795,507500.124,3398.329
509663.215,513061.548,3398.333
515224.635,518622.972,3398.337
520786.056,524184.397,3398.340
526347.476,529745.822,3398.346
531908.898,535307.247,3398.349
537470.319,540868.673,3398.354
543031.740,546430.099,3398.358
548593.161,551991.525,3398.363
554154.585,557552.951,3398.367
559716.008,563114.378,3398.371
565277.431,568675.806,3398.375
570838.854,574237.233,3398.379
576400.278,579798.661,3398.383
581961.702,585360.090,3398.387
587523.127,590921.518,3398.392
593084.551,596482.947,3398.397
598645.977,602044.377,3398.400
604207.402,607605.806,3398.404
609768.828,613167.236,3398.408
615330.254,618728.666,3398.413
620891.680,624290.097,3398.417
626453.107,629851.525,3398.418
632014.534,635412.959,3398.425
637575.962,640974.391,3398.429
643137.389,646535.823,3398.434
648698.817,652097.255,3398.438
654260.246,657658.688,3398.442
659821.674,663220.120,3398.446
665383.103,668781.554,3398.450
670944.534,674342.987,3398.453
676505.962,679904.421,3398.459
682067.392,685465.855,3398.463
687628.823,691027.290,3398.467
693190.253,696588.725,3398.471
698751.684,702150.160,3398.475
704313.117,707711.595,3398.478
709874.547,713273.029,3398.481
715435.979,718834.467,3398.488
720997.411,724395.904,3398.492
726558.844,729957.340,3398.496
732120.277,735518.777,3398.501
737681.711,741080.215,3398.504
743243.143,746641.652,3398.509
748804.577,752203.090,3398.513
754366.011,757764.529,3398.517
759927.446,763325.967,3398.522
765488.881,768887.406,3398.526
771050.316,774448.846,3398.530
776611.752,780010.285,3398.533
782173.187,785571.725,3398.538
787734.623,791133.165,3398.543
793296.059,796694.606,3398.547
798857.496,802256.047,3398.551
804418.933,807817.488,3398.555
809980.370,813378.929,3398.559
815541.808,818940.371,3398.564
