"Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
0.000,1683.754,1683.754
3897.222,7245.636,3348.414
9459.106,12807.520,3348.414
15020.986,18369.401,3348.415
20582.869,23931.284,3348.414
26144.751,29493.167,3348.415
31706.633,35055.051,3348.418
37268.513,40616.934,3348.422
42830.396,46178.818,3348.422
48392.276,51740.702,3348.426
53954.156,57302.585,3348.429
59516.036,62864.469,3348.434
65077.915,68426.352,3348.438
70639.793,73988.237,3348.444
76201.670,79550.121,3348.451
81763.548,85112.006,3348.458

Statistics
"Min Duration",0.000,1683.754,1683.754
"Max Duration",81763.548,85112.006,3348.458
"Mean Duration",,,3244.385
"Total Duration",,,51910.167


"Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1683.754,1692.823,9.069
3888.153,3897.222,9.069
7245.636,7254.705,9.069
9450.038,9459.106,9.068
12807.520,12816.589,9.070
15011.921,15020.986,9.065
18369.401,18378.471,9.070
20573.803,20582.869,9.067
23931.284,23940.354,9.070
26135.686,26144.751,9.066
29493.167,29502.237,9.070
31697.568,31706.633,9.065
35055.051,35064.121,9.070
37259.451,37268.513,9.062
40616.934,40626.005,9.071
42821.333,42830.396,9.063
46178.818,46187.889,9.071
48383.211,48392.276,9.064
51740.702,51749.772,9.071
53945.095,53954.156,9.061
57302.585,57311.656,9.071
59506.975,59516.036,9.061
62864.469,62873.541,9.071
65068.855,65077.915,9.060
68426.352,68435.424,9.071
70630.734,70639.793,9.059
73988.237,73997.308,9.071
76192.612,76201.670,9.058
79550.121,79559.192,9.071
81754.491,81763.548,9.057
85112.006,85121.077,9.071

Statistics
"Min Duration",81754.491,81763.548,9.057
"Max Duration",85112.006,85121.077,9.071
"Mean Duration",,,9.067
"Total Duration",,,281.072


"Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1692.823,3888.153,2195.330
7254.705,9450.038,2195.332
12816.589,15011.921,2195.332
18378.471,20573.803,2195.332
23940.354,26135.686,2195.332
29502.237,31697.568,2195.331
35064.121,37259.451,2195.330
40626.005,42821.333,2195.328
46187.889,48383.211,2195.323
51749.772,53945.095,2195.322
57311.656,59506.975,2195.319
62873.541,65068.855,2195.314
68435.424,70630.734,2195.310
73997.308,76192.612,2195.304
79559.192,81754.491,2195.299
85121.077,86400.000,1278.923

Statistics
"Min Duration",85121.077,86400.000,1278.923
"Max Duration",7254.705,9450.038,2195.332
"Mean Duration",,,2138.048
"Total Duration",,,34208.761


