"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
27 Jan 2026 17:00:00.000,6766.326243,-2686.053904,18.536393,1.386721,3.553112,8.677322
27 Jan 2026 17:01:00.000,6837.918376,-2468.364179,538.818979,0.999447,3.701437,8.660076
27 Jan 2026 17:02:00.000,6886.278725,-2242.110498,1057.110111,0.613112,3.838325,8.611089
27 Jan 2026 17:03:00.000,6911.602900,-2008.020393,1571.540493,0.232322,3.962468,8.531669
27 Jan 2026 17:04:00.000,6914.354342,-1766.887182,2080.342620,-0.138635,4.072985,8.423880
27 Jan 2026 17:05:00.000,6895.239533,-1519.543688,2581.891953,-0.495970,4.169440,8.290397
27 Jan 2026 17:06:00.000,6855.174104,-1266.836366,3074.738379,-0.836518,4.251809,8.134328
27 Jan 2026 17:07:00.000,6795.243102,-1009.601624,3557.626842,-1.157803,4.320439,7.959037
27 Jan 2026 17:08:00.000,6716.658811,-748.645609,4029.507192,-1.458057,4.375981,7.767963
27 Jan 2026 17:09:00.000,6620.719194,-484.728251,4489.534284,-1.736184,4.419312,7.564477
27 Jan 2026 17:10:00.000,6508.769363,-218.551763,4937.060050,-1.991696,4.451466,7.351762
27 Jan 2026 17:11:00.000,6382.167732,49.246575,5371.619548,-2.224621,4.473565,7.132728
27 Jan 2026 17:12:00.000,6242.257765,318.097877,5792.913023,-2.435412,4.486757,6.909964
27 Jan 2026 17:13:00.000,6090.345550,587.501996,6200.785810,-2.624848,4.492178,6.685717
27 Jan 2026 17:14:00.000,5927.682981,857.025498,6595.207596,-2.793942,4.490911,6.461886
27 Jan 2026 17:15:00.000,5755.455994,1126.297924,6976.252179,-2.943866,4.483970,6.240046
27 Jan 2026 17:16:00.000,5574.777135,1395.006968,7344.078503,-3.075886,4.472278,6.021466
27 Jan 2026 17:17:00.000,5386.681670,1662.893040,7698.913468,-3.191305,4.456668,5.807147
27 Jan 2026 17:18:00.000,5192.126500,1929.743623,8041.036747,-3.291425,4.437877,5.597853
27 Jan 2026 17:19:00.000,4991.991185,2195.387687,8370.767647,-3.377518,4.416551,5.394146
27 Jan 2026 17:20:00.000,4787.080483,2459.690356,8688.453987,-3.450802,4.393251,5.196420
27 Jan 2026 17:21:00.000,4578.127939,2722.547950,8994.462801,-3.512432,4.368456,5.004927
27 Jan 2026 17:22:00.000,4365.800121,2983.883469,9289.172719,-3.563485,4.342578,4.819805
27 Jan 2026 17:23:00.000,4150.701204,3243.642541,9572.967793,-3.604962,4.315961,4.641100
27 Jan 2026 17:24:00.000,3933.377696,3501.789832,9846.232584,-3.637785,4.288896,4.468786
27 Jan 2026 17:25:00.000,3714.323118,3758.305904,10109.348309,-3.662799,4.261623,4.302780
27 Jan 2026 17:26:00.000,3493.982554,4013.184478,10362.689876,-3.680774,4.234342,4.142957
27 Jan 2026 17:27:00.000,3272.756976,4266.430083,10606.623652,-3.692411,4.207215,3.989159
27 Jan 2026 17:28:00.000,3051.007304,4518.056030,10841.505834,-3.698344,4.180373,3.841206
27 Jan 2026 17:29:00.000,2829.058187,4768.082692,11067.681302,-3.699150,4.153921,3.698901
27 Jan 2026 17:30:00.000,2607.201483,5016.536042,11285.482865,-3.695346,4.127942,3.562041
27 Jan 2026 17:31:00.000,2385.699449,5263.446416,11495.230814,-3.687401,4.102498,3.430412
27 Jan 2026 17:32:00.000,2164.787647,5508.847478,11697.232722,-3.675738,4.077638,3.303804
27 Jan 2026 17:33:00.000,1944.677587,5752.775349,11891.783427,-3.660737,4.053396,3.182004
27 Jan 2026 17:34:00.000,1725.559113,5995.267878,12079.165162,-3.642740,4.029796,3.064804
27 Jan 2026 17:35:00.000,1507.602562,6236.364042,12259.647801,-3.622055,4.006853,2.952000
27 Jan 2026 17:36:00.000,1290.960707,6476.103449,12433.489172,-3.598960,3.984572,2.843396
27 Jan 2026 17:37:00.000,1075.770506,6714.525925,12600.935440,-3.573706,3.962954,2.738799
27 Jan 2026 17:38:00.000,862.154678,6951.671180,12762.221517,-3.546517,3.941997,2.638026
27 Jan 2026 17:39:00.000,650.223113,7187.578540,12917.571511,-3.517596,3.921690,2.540901
27 Jan 2026 17:40:00.000,440.074142,7422.286724,13067.199172,-3.487126,3.902022,2.447254
