Time [s],Channel 0
0.000080562,0
0.000156522,1
0.013591602,0
0.023170774,1
0.036607708,0
0.046195618,1
0.059608052,0
0.070129634,1
0.083530496,0
0.094073348,1
0.107483212,0
0.118027756,1
0.131482318,0
0.142040764,1
0.155482664,0
0.165044982,1
0.178483774,0
0.188089930,1
0.201530288,0
0.212063926,1
0.225530504,0
0.235198114,1
0.248601308,0
0.259132702,1
0.272530782,0
0.282247334,1
0.295717204,0
0.305281610,1
0.318687164,0
0.329236184,1
0.342655730,0
0.353200016,1
0.366655868,0
0.376223916,1
0.389655786,0
0.399228734,1
0.412655214,0
0.422234628,1
0.435717208,0
0.445290498,1
0.458733906,0
0.468296054,1
0.481717292,0
0.492252298,1
0.505530690,0
0.515996790,1
0.529406290,0
0.539742214,1
0.553156042,0
0.562737924,1
0.576156082,0
0.586713032,1
0.600156190,0
0.609169180,1
0.622592514,0
0.632205344,1
0.645656340,0
0.654675542,1
0.668092534,0
0.677670844,1
0.691092724,0
0.700675118,1
0.714092876,0
0.723670646,1
0.737091900,0
0.746665860,1
0.760109044,0
0.769120908,1
0.782592396,0
0.793136774,1
0.806592588,0
0.816181356,1
0.829608682,0
0.839756638,1
0.853217760,0
0.863742300,1
0.877156188,0
0.886737504,1
0.900156462,0
0.910712840,1
0.924156628,0
0.934198326,1
0.947592402,0
0.957182920,1
0.970614572,0
0.980197678,1
0.993608948,0
1.003172246,1
1.016489310,0
1.026356738,1
1.039781466,0
1.050332544,1
1.063781096,0
1.073367760,1
1.086781440,0
1.095792966,1
1.109234300,0
1.118247864,1
1.131656198,0
1.141243312,1
1.154656634,0
1.164218074,1
1.177656746,0
1.188202078,1
1.201656240,0
1.211225472,1
1.224656802,0
1.233676242,1
1.247009216,0
1.256053206,1
1.269484244,0
1.278497638,1
1.291906058,0
1.301473194,1
1.314968136,0
1.324546930,1
1.337984122,0
1.347551488,1
1.360906646,0
1.371445586,1
1.384859558,0
1.395401398,1
1.408859454,0
1.418445422,1
1.431859414,0
1.442420472,1
1.455859422,0
1.465455970,1
1.478860026,0
1.489421116,1
1.502843184,0
1.512406156,1
1.525843470,0
1.535212100,1
1.548656284,0
1.559207458,1
1.572656998,0
1.581672716,1
1.595093442,0
1.604656014,1
1.618109394,0
1.627671100,1
1.641109506,0
1.650696198,1
1.664109454,0
1.674649620,1
1.688093212,0
1.697664176,1
1.711093706,0
1.720114504,1
1.733532208,0
1.743098298,1
1.756395812,0
1.765461060,1
1.778859444,0
1.788456054,1
1.801878872,0
1.812421200,1
1.825860142,0
1.835185190,1
1.848609440,0
1.858178300,1
1.871656644,0
1.881221396,1
1.894609680,0
1.903625090,1
1.917032444,0
1.926629922,1
1.940037006,0
1.949613070,1
1.963094200,0
1.972657912,1
1.986093886,0
1.995672664,1
2.009032236,0
2.018717508,1
2.032157452,0
2.041177356,1
2.054593954,0
2.064182064,1
2.077609966,0
2.087205822,1
2.100658776,0
2.111190384,1
2.124657888,0
2.134185608,1
2.147609504,0
2.157180166,1
2.170594208,0
2.180174542,1
2.193594278,0
2.204119122,1
2.217532564,0
2.227134804,1
2.240609750,0
2.251168620,1
2.264594014,0
2.275151954,1
2.288594550,0
2.298165058,1
2.311533116,0
2.321119010,1
2.334532682,0
2.344094846,1
2.357533598,0
2.368089796,1
2.381532084,0
2.391103966,1
2.404533108,0
2.414108178,1
2.427532494,0
2.437202734,1
2.450610202,0
2.460227600,1
2.473658172,0
2.482678136,1
2.496158808,0
2.505721810,1
2.519006656,0
2.529516394,1
2.542969968,0
2.553501230,1
2.566969520,0
2.576534296,1
2.589968960,0
2.599548666,1
2.612985358,0
2.622580990,1
2.635985344,0
2.645553492,1
2.658969418,0
2.668558154,1
2.681989864,0
2.691572570,1
2.704985754,0
2.714555472,1
2.727969028,0
2.737209238,1
2.750584402,0
2.759633370,1
2.773095042,0
2.782665318,1
2.796094824,0
2.806638648,1
2.820033224,0
2.829610730,1
2.843032598,0
2.852603104,1
2.866033096,0
2.875606394,1
2.889032700,0
2.898610114,1
2.912034514,0
2.922593868,1
2.936033494,0
2.945598426,1
2.958986400,0
2.968560428,1
2.981970012,0
2.992513340,1
3.005970366,0
3.016515794,1
3.029970038,0
3.040728616,1
3.054158374,0
3.063729690,1
3.077158816,0
3.086743722,1
3.100162376,0
3.109181628,1
3.122594838,0
3.131611622,1
3.145095048,0
3.154665966,1
3.168033996,0
3.177630494,1
3.191037604,0
3.201595154,1
3.214978650,0
3.225518652,1
3.238986332,0
3.248552814,1
3.261859728,0
3.272347168,1
3.285783622,0
3.296342038,1
3.309783860,0
3.320305980,1
3.333720226,0
3.344268814,1
3.357720130,0
3.368261596,1
3.381720748,0
3.391285858,1
3.404719838,0
3.414289702,1
3.427720128,0
3.437203176,1
3.450659194,0
3.460236712,1
3.473720576,0
3.483291094,1
3.496635858,0
3.505711880,1
3.519111240,0
3.528126282,1
3.541534066,0
3.552060208,1
3.565486496,0
3.575094318,1
3.588533616,0
3.598118722,1
3.611505894,0
3.621093074,1
3.634534530,0
3.645047582,1
3.658486842,0
3.668072798,1
3.681486704,0
3.691067514,1
3.704486160,0
3.714081438,1
3.727486450,0
3.737204074,1
3.750659184,0
3.761208136,1
3.774659200,0
3.784231206,1
3.797659948,0
3.808203372,1
3.821659352,0
3.831214800,1
3.844660214,0
3.855218430,1
3.868659514,0
3.879181562,1
3.892611896,0
3.903144150,1
3.916595554,0
3.926186098,1
3.939617400,0
3.949208136,1
3.962659820,0
3.971677004,1
3.985096688,0
3.995610030,1
4.008862050,0
4.019316962,1
4.032784046,0
4.042360260,1
4.055784858,0
4.065352988,1
4.078784240,0
4.087796300,1
4.101191872,0
4.110769028,1
4.124191312,0
4.134201764,1
4.147611810,0
4.157173504,1
4.170612402,0
4.179626198,1
4.193034404,0
4.202608626,1
4.216034832,0
4.225611500,1
4.239004638,0
4.248035536,1
4.261470878,0
4.271059002,1
4.284470918,0
4.293482232,1
4.306881430,0
4.315895052,1
4.329362956,0
4.339747988,1
4.353160098,0
4.363691496,1
4.377112172,0
4.386674300,1
4.400096246,0
4.409678452,1
4.423112544,0
4.433182176,1
4.446613132,0
4.456176246,1
4.469596152,0
4.478615244,1
4.492035282,0
4.501599206,1
4.514980060,0
4.524543042,1
4.537909384,0
4.547497016,1
4.560910204,0
4.570500006,1
4.583971970,0
4.594504802,1
4.607910478,0
4.617497062,1
4.630910168,0
4.640471000,1
4.653854654,0
4.663424306,1
4.676846424,0
4.687396672,1
4.700846248,0
4.710411116,1
4.723817438,0
4.733224056,1
4.746605178,0
4.756168646,1
4.769535156,0
4.779233816,1
4.792660188,0
4.803198066,1
4.816605384,0
4.827162132,1
4.840597190,0
4.851125986,1
4.864596890,0
4.874169800,1
4.887612726,0
4.897173320,1
4.910596200,0
4.920168218,1
4.933535756,0
4.944071592,1
4.957488126,0
4.967055816,1
4.980471416,0
4.991030074,1
5.004304704,0
5.014174922,1
5.027596874,0
5.037219954,1
5.050605356,0
5.061163824,1
5.074597472,0
5.085137158,1
5.098596738,0
5.108169410,1
5.121597340,0
5.130612070,1
5.144035542,0
5.153595374,1
5.167035982,0
5.176048864,1
5.189488214,0
5.199052716,1
5.212487804,0
5.222068102,1
5.235535674,0
5.245113366,1
5.258597468,0
5.268158766,1
5.281612824,0
5.292154136,1
5.305596190,0
5.315157634,1
5.328597418,0
5.337618462,1
5.351035974,0
5.360614122,1
5.374097482,0
5.384629560,1
5.398036210,0
5.408584038,1
5.422035376,0
5.431188698,1
5.444613516,0
5.454193672,1
5.467614034,0
5.478148842,1
5.491597738,0
5.501163298,1
5.514442644,0
5.524637610,1
5.538096286,0
5.547662396,1
5.561097976,0
5.570677136,1
5.584096708,0
5.593661850,1
5.607097802,0
5.617645416,1
5.631097992,0
5.640658208,1
5.654097762,0
5.663111634,1
5.676536192,0
5.687095650,1
5.700536650,0
5.711080862,1
5.724535920,0
5.735185570,1
5.748489162,0
5.758939448,1
5.772364372,0
5.782922788,1
5.796347798,0
5.805926286,1
5.819363834,0
5.828961556,1
5.842411756,0
5.852935988,1
5.866369088,0
5.875950594,1
5.889355878,0
5.898934202,1
5.912347264,0
5.921937386,1
5.935364754,0
5.944972180,1
5.958411778,0
5.967986692,1
5.981363568,0
5.990942190,1
6.004363966,0
6.013936492,1
6.027364292,0
6.037230470,1
6.050662696,0
6.061205328,1
6.074614066,0
6.084209754,1
6.097660730,0
6.106680270,1
6.120098062,0
6.129684704,1
6.143114048,0
6.152698732,1
6.166114182,0
6.175681956,1
6.189118756,0
6.198696132,1
6.212114608,0
6.221689902,1
6.235114060,0
6.245674514,1
6.258994318,0
6.268860788,1
6.282286638,0
6.291864476,1
6.305231686,0
6.314818162,1
6.328223588,0
6.339171692,1
6.352606700,0
6.362196136,1
6.375619994,0
6.386167822,1
6.399597868,0
6.408611340,1
6.422036878,0
6.432183732,1
6.445662256,0
6.456207148,1
6.469633510,0
6.479200278,1
6.492489034,0
6.502932394,1
6.516356632,0
6.525924380,1
6.539349480,0
6.549886750,1
6.563287812,0
6.573808870,1
6.587245308,0
6.596831938,1
6.610232218,0
6.620753246,1
6.634162622,0
6.644684642,1
6.658114712,0
6.667127188,1
6.680598302,0
6.690168108,1
6.703598150,0
6.713158802,1
6.726598694,0
6.736192084,1
6.749569788,0
6.760115166,1
6.773597758,0
6.783166706,1
6.796598998,0
6.806198562,1
6.819614412,0
6.829189826,1
6.842619678,0
6.852191142,1
6.865614696,0
6.876173078,1
6.889598250,0
6.900146260,1
6.913598890,0
6.924129352,1
6.937537540,0
6.946558012,1
6.959974420,0
6.970510664,1
6.983944452,0
6.994502676,1
7.007912806,0
7.017884600,1
7.031288138,0
7.040887636,1
7.054348178,0
7.063910418,1
7.077365200,0
7.086933278,1
7.100413182,0
7.110937418,1
7.124364698,0
7.134210812,1
7.147634250,0
7.157213444,1
7.170663336,0
7.179678266,1
7.193098634,0
7.202661860,1
7.216037948,0
7.225624692,1
7.238964762,0
7.248023980,1
7.261473998,0
7.270493886,1
7.283913236,0
7.294446248,1
7.307865664,0
7.317449454,1
7.330866280,0
