Time [s],Channel 0
0.000080562,0
2.235755190,1
2.502301252,0
2.502312812,1
2.522332404,0
2.522341046,1
2.542435170,0
2.542443826,1
2.562583264,0
2.562591394,1
2.582706718,0
2.582715382,1
2.602811420,0
2.602819594,1
2.622959412,0
2.622967688,1
2.643077766,0
2.643086064,1
2.663202314,0
2.663210484,1
2.683333122,0
2.683341328,1
2.703535024,0
2.703543140,1
2.723647832,0
2.723656004,1
2.743772484,0
2.743780580,1
2.763921180,0
2.763929744,1
2.784023056,0
2.784031260,1
2.804170832,0
2.804178986,1
2.824328304,0
2.824336484,1
2.844459070,0
2.844467222,1
2.864577642,0
2.864586414,1
2.884708044,0
2.884716198,1
2.904834868,0
2.904843436,1
2.924954186,0
2.924962362,1
2.945078586,0
2.945087274,1
2.965209754,0
2.965217992,1
2.985397976,0
2.985406164,1
3.005523068,0
3.005531222,1
3.025672930,0
3.025681106,1
3.045727310,0
3.045735424,1
3.065787432,0
3.065795944,1
3.085881852,0
3.085890424,1
3.106038408,0
3.106046528,1
3.126148516,0
3.126157078,1
3.146296550,0
3.146304776,1
3.166454904,0
3.166463580,1
3.186650934,0
3.186659092,1
3.206774384,0
3.206782614,1
3.226899768,0
3.226907944,1
3.247024692,0
3.247032910,1
3.267151356,0
3.267159936,1
3.287274732,0
3.287283028,1
3.307399194,0
3.307407428,1
3.327525336,0
3.327533516,1
3.347632620,0
3.347641254,1
3.367776312,0
3.367784550,1
3.387850052,0
3.387858092,1
3.408025678,0
3.408033920,1
3.428038916,0
3.428047196,1
3.448174204,0
3.448182358,1
3.468330116,0
3.468338408,1
3.488459274,0
3.488467446,1
3.508650034,0
3.508658230,1
3.528787534,0
3.528796184,1
3.548956468,0
3.548964642,1
3.569081000,0
3.569089260,1
3.589210968,0
3.589219594,1
3.609331502,0
3.609339768,1
3.629461534,0
3.629469780,1
3.649585960,0
3.649594148,1
3.669706148,0
3.669714322,1
3.689836802,0
3.689844956,1
3.709962968,0
3.709971086,1
3.730081344,0
3.730089886,1
3.750213052,0
3.750221602,1
3.770332102,0
3.770340428,1
3.790463120,0
3.790471290,1
3.810581328,0
3.810589532,1
3.830711544,0
3.830719670,1
3.850849794,0
3.850858042,1
3.871028174,0
3.871036358,1
3.891151550,0
3.891159834,1
3.911300562,0
3.911309226,1
3.931425408,0
3.931433592,1
3.951587904,0
3.951596122,1
3.971588908,0
3.971597166,1
3.991776662,0
3.991785292,1
4.011902084,0
4.011910246,1
4.032010034,0
4.032018550,1
4.052102470,0
4.052111012,1
4.072290066,0
4.072298222,1
4.092426120,0
4.092434368,1
4.112582704,0
4.112590930,1
4.132708650,0
4.132717204,1
4.152833896,0
4.152842046,1
4.172958304,0
4.172966450,1
4.193083682,0
4.193092404,1
4.213208990,0
4.213217176,1
4.233338920,0
4.233347074,1
4.253477136,0
4.253485778,1
4.273676290,0
4.273684428,1
4.293833804,0
4.293842400,1
4.313964410,0
4.313972754,1
4.334039968,0
4.334048236,1
4.354176768,0
4.354184840,1
4.374340122,0
4.374348364,1
4.394459710,0
4.394468264,1
4.414589938,0
4.414598114,1
4.434709666,0
4.434717792,1
4.454835150,0
4.454843300,1
4.474959658,0
4.474967884,1
4.495086248,0
4.495094786,1
4.515216810,0
4.515225420,1
4.535335544,0
4.535343674,1
4.555444572,0
4.555452790,1
4.575590464,0
4.575598636,1
4.595709868,0
4.595718146,1
4.615839074,0
4.615847238,1
4.635953062,0
4.635961220,1
4.656084824,0
4.656092996,1
4.676210340,0
4.676218844,1
4.696335898,0
4.696344136,1
4.716462530,0
4.716470784,1
4.736585984,0
4.736594280,1
4.756716646,0
4.756725358,1
4.776836086,0
4.776844300,1
4.796960614,0
4.796968862,1
4.817090688,0
4.817098852,1
4.837211114,0
4.837219722,1
4.857336546,0
4.857344692,1
4.877329028,0
4.877337258,1
4.897461122,0
4.897469690,1
4.917579298,0
4.917587432,1
4.937716114,0
4.937724398,1
4.957836316,0
4.957844508,1
4.977967266,0
4.977975438,1
4.998093760,0
4.998101852,1
5.018212384,0
5.018220556,1
5.038321218,0
5.038329380,1
5.058463166,0
5.058471788,1
5.078580778,0
5.078588958,1
5.098712434,0
5.098720660,1
5.118842846,0
5.118850976,1
5.138967776,0
5.138976526,1
5.159093940,0
5.159102496,1
5.179206232,0
5.179214362,1
5.199341860,0
5.199350006,1
5.219468688,0
5.219476814,1
5.239628558,0
5.239636788,1
5.259732406,0
5.259741178,1
5.279907498,0
5.279915656,1
5.300057160,0
5.300065330,1
5.320180570,0
5.320188634,1
5.340338906,0
5.340347070,1
5.360469436,0
5.360477540,1
5.380589464,0
5.380597722,1
5.400716984,0
5.400725196,1
5.420843832,0
5.420851982,1
5.440968406,0
5.440976932,1
5.461088914,0
5.461097110,1
5.481214696,0
5.481222896,1
5.501344524,0
5.501352744,1
5.521463652,0
5.521471852,1
5.541594804,0
5.541602922,1
5.561713654,0
5.561721842,1
5.581838756,0
5.581846866,1
5.601964876,0
5.601973184,1
5.622094070,0
5.622102208,1
5.642233798,0
5.642242000,1
5.662432936,0
5.662441082,1
5.682589914,0
5.682598552,1
5.702714796,0
5.702722976,1
5.722843914,0
5.722852136,1
5.742964826,0
5.742973540,1
5.763089388,0
5.763097556,1
5.783190144,0
5.783198316,1
5.803286394,0
5.803294662,1
5.823422510,0
5.823430614,1
5.843535262,0
5.843543576,1
5.863672490,0
5.863680650,1
5.883784602,0
5.883792868,1
5.903934234,0
5.903942792,1
5.924047832,0
5.924056038,1
5.944172978,0
5.944181204,1
5.964285402,0
5.964293436,1
5.984410230,0
5.984418388,1
6.004559798,0
6.004567988,1
6.024660726,0
6.024668890,1
6.044798364,0
6.044806622,1
6.064935466,0
6.064944100,1
6.085036656,0
6.085044940,1
6.105185098,0
6.105193702,1
6.125268604,0
6.125276834,1
6.145424062,0
6.145432258,1
6.165435452,0
6.165443916,1
6.185560546,0
6.185568706,1
6.205686316,0
6.205694426,1
6.225786744,0
6.225795336,1
6.245895526,0
6.245903856,1
6.266060646,0
6.266068868,1
6.286184884,0
6.286193100,1
6.306325820,0
6.306334392,1
6.326473748,0
6.326481910,1
6.346598096,0
6.346606276,1
6.366722034,0
6.366730634,1
6.386847324,0
6.386855528,1
6.406967014,0
6.406975274,1
6.427162026,0
6.427170218,1
6.447309084,0
6.447317254,1
6.467468748,0
6.467477316,1
6.487592702,0
6.487600864,1
6.507722246,0
6.507730610,1
6.527847966,0
6.527856522,1
6.547966856,0
6.547975636,1
6.568092648,0
6.568100764,1
6.588223022,0
6.588231634,1
6.608326600,0
6.608335088,1
6.628473148,0
6.628481316,1
6.648593568,0
6.648602140,1
6.668719742,0
6.668728150,1
6.688817486,0
6.688826124,1
6.708827722,0
6.708836436,1
6.728974334,0
6.728982514,1
6.749099278,0
6.749107480,1
6.769211432,0
6.769220040,1
6.789344122,0
6.789352324,1
6.809468326,0
6.809476506,1
6.829593678,0
6.829601834,1
6.849724090,0
6.849732240,1
6.869849742,0
6.869858472,1
6.889961934,0
6.889970110,1
6.910094748,0
6.910103450,1
6.930224060,0
6.930232206,1
6.950349272,0
6.950357914,1
6.970452962,0
6.970461116,1
6.990599440,0
6.990608050,1
7.010711634,0
7.010719782,1
7.030844588,0
7.030852752,1
7.050969582,0
7.050977746,1
7.071050710,0
7.071059090,1
7.091189322,0
7.091197526,1
7.111314454,0
7.111322618,1
7.131438686,0
7.131446850,1
7.151539906,0
7.151548260,1
7.171677434,0
7.171685588,1
7.191788804,0
7.191797030,1
7.211899494,0
7.211907670,1
7.232052802,0
7.232060990,1
7.252149022,0
7.252157188,1
7.272315636,0
7.272323934,1
7.292477760,0
7.292490962,1
7.312689014,0
7.312697560,1
7.332850908,0
7.332859514,1
7.352978344,0
7.352987404,1
7.373141410,0
7.373150452,1
7.393214460,0
7.393223398,1
7.413345070,0
7.413353534,1
7.433476006,0
7.433484490,1
7.453600414,0
7.453608944,1
7.473723038,0
7.473731560,1
7.493846642,0
7.493855126,1
7.513972044,0
7.513980586,1
7.534079568,0
7.534088468,1
7.554225350,0
7.554234004,1
7.574346702,0
7.574355136,1
7.594478018,0
7.594486914,1
7.614571316,0
7.614579930,1
7.634680548,0
7.634689054,1
7.654816256,0
7.654824962,1
7.674899830,0
7.674908876,1
7.695065362,0
7.695074342,1
7.715190614,0
7.715199212,1
7.735291672,0
7.735300548,1
7.755440158,0
7.755448612,1
7.775598740,0
7.775607244,1
7.795740064,0
7.795748944,1
7.815839742,0
7.815848208,1
7.835973398,0
7.835982012,1
7.856097702,0
7.856106228,1
7.876222220,0
7.876230834,1
7.896347708,0
7.896356208,1
7.916478022,0
7.916486510,1
7.936602638,0
7.936611602,1
7.956722120,0
7.956730812,1
7.976822314,0
7.976830836,1
7.996825878,0
7.996834384,1
8.016978874,0
8.016987982,1
8.037103322,0
8.037111998,1
8.057223074,0
8.057231496,1
8.077353532,0
8.077362032,1
8.097479356,0
8.097487980,1
8.117604338,0
8.117612784,1
8.137707320,0
8.137715816,1
8.157853922,0
8.157862526,1
8.177978466,0
8.177986954,1
8.198099840,0
8.198108354,1
8.218225422,0
8.218233894,1
8.238349312,0
8.238358330,1
8.258479060,0
8.258487602,1
8.278598704,0
8.278607248,1
8.298724636,0
8.298733112,1
8.318849086,0
8.318857998,1
8.338980158,0
8.338988630,1
8.359106028,0
8.359114754,1
8.379231202,0
8.379240094,1
8.399355292,0
8.399363796,1
8.419475048,0
8.419483958,1
8.439604944,0
8.439613606,1
8.459726950,0
8.459735418,1
8.479854428,0
8.479863512,1
8.499974648,0
8.499983160,1
8.520074454,0
8.520082934,1
8.540181940,0
8.540190732,1
8.560318726,0
8.560327394,1
8.580403596,0
8.580412092,1
8.600545826,0
8.600554310,1
8.620694930,0
8.620703544,1
8.640834716,0
8.640843354,1
8.660982464,0
8.660990940,1
8.681102496,0
8.681110984,1
8.701231258,0
8.701240166,1
8.721434152,0
8.721442666,1
8.741570188,0
8.741578660,1
8.761693570,0
8.761702138,1
8.781852172,0
8.781860586,1
8.801980046,0
8.801988498,1
8.822095282,0
8.822104162,1
8.842225952,0
8.842234574,1
8.862351526,0
8.862359876,1
8.882453998,0
8.882462554,1
8.902456122,0
8.902464864,1
8.922569828,0
8.922578312,1
8.942727624,0
8.942736150,1
8.962856288,0
8.962864776,1
8.982982542,0
8.982991000,1
9.003107286,0
9.003116170,1
9.023231330,0
9.023239814,1
9.043357800,0
9.043366766,1
9.063469910,0
9.063478398,1
9.083608076,0
9.083616944,1
9.103733508,0
9.103742046,1
9.123845410,0
9.123854298,1
9.143978926,0
9.143987530,1
9.164102570,0
9.164111058,1
9.184227590,0
9.184236012,1
9.204353146,0
9.204361656,1
9.224477974,0
9.224486636,1
9.244601882,0
9.244610364,1
9.264733292,0
9.264744622,1
9.284935332,0
9.284943820,1
9.305072044,0
9.305080624,1
9.325186626,0
9.325195122,1
9.345321746,0
9.345330196,1
9.365479364,0
9.365488382,1
9.385608180,0
9.385616672,1
9.405729124,0
9.405737742,1
9.425828690,0
9.425837164,1
9.445854712,0
9.445863618,1
9.465978164,0
9.465986744,1
9.486102172,0
9.486110618,1
9.506235412,0
9.506243934,1
9.526358936,0
9.526367424,1
9.546484342,0
9.546493214,1
9.566610400,0
9.566618808,1
9.586730944,0
9.586739448,1
9.606838512,0
9.606846926,1
9.626979598,0
9.626988208,1
9.647110244,0
9.647119114,1
9.667233750,0
9.667242234,1
9.687346670,0
9.687355550,1
9.707485230,0
9.707494086,1
9.727674158,0
9.727683068,1
9.747825240,0
9.747834158,1
9.767980044,0
9.767988498,1
9.788104996,0
9.788113492,1
9.808098164,0
9.808107162,1
9.828229808,0
9.828238206,1
9.848356328,0
9.848364788,1
9.868480614,0
9.868489268,1
9.888606226,0
9.888615068,1
9.908736028,0
9.908744554,1
9.928847560,0
9.928856018,1
9.948986904,0
9.948995758,1
9.969105510,0
9.969114336,1
9.989232364,0
9.989240776,1
10.009360128,0
10.009368616,1
10.029485910,0
10.029494798,1
10.049610842,0
10.049619414,1
10.069731924,0
10.069740392,1
10.089855630,0
10.089864468,1
10.109985716,0
10.109994192,1
10.130112066,0
10.130120482,1
10.150214414,0
10.150222876,1
10.170359858,0
10.170368784,1
10.190500086,0
10.190508682,1
10.210689684,0
10.210698110,1
10.230802896,0
10.230811742,1
10.250850160,0
10.250859078,1
10.270981938,0
10.270990846,1
10.291112886,0
10.291121412,1
10.311236472,0
10.311245310,1
10.331357262,0
10.331365714,1
10.351364148,0
10.351372790,1
10.371482538,0
10.371491044,1
10.391625358,0
10.391633872,1
10.411750944,0
10.411759636,1
10.431939410,0
10.431947890,1
10.452108954,0
10.452117504,1
10.472238260,0
10.472246720,1
10.492362506,0
10.492371598,1
10.512484788,0
10.512493400,1
10.532609056,0
10.532617594,1
10.552738680,0
10.552747218,1
10.572863742,0
10.572872270,1
10.592983102,0
10.592991612,1
10.613114064,0
10.613122530,1
10.633239016,0
10.633247476,1
10.653357964,0
10.653366570,1
10.673483450,0
10.673492398,1
10.693615924,0
10.693624378,1
10.713708160,0
10.713716632,1
10.733804054,0
10.733812910,1
10.753928774,0
10.753937274,1
10.774052884,0
10.774061432,1
10.794179134,0
10.794187650,1
10.814328320,0
10.814336824,1
10.834452138,0
10.834460602,1
10.854609022,0
10.854617530,1
10.874734740,0
10.874743320,1
10.894858248,0
10.894867236,1
10.914985154,0
10.914994188,1
10.935114706,0
10.935123166,1
10.955235484,0
10.955244064,1
10.975359928,0
10.975368388,1
10.995485736,0
10.995494208,1
11.015628922,0
11.015637560,1
11.035829330,0
11.035837830,1
11.055953278,0
11.055961762,1
11.076067338,0
11.076075744,1
11.096193412,0
11.096202034,1
11.116328574,0
11.116337094,1
11.136429138,0
11.136437990,1
11.156554528,0
11.156563484,1
11.176703640,0
11.176712156,1
11.196861200,0
11.196869722,1
11.216990336,0
11.216998892,1
11.237115532,0
11.237124394,1
11.257209926,0
11.257218330,1
11.277319678,0
11.277328086,1
11.297485372,0
11.297494294,1
11.317611762,0
11.317620234,1
11.337735490,0
11.337744494,1
11.357862518,0
11.357870960,1
11.377987458,0
11.377996096,1
11.398115510,0
11.398123952,1
11.418234916,0
11.418243534,1
11.438354294,0
11.438362766,1
11.458492106,0
11.458500560,1
11.478618378,0
11.478627280,1
11.498742310,0
11.498751344,1
11.518866788,0
11.518875738,1
11.538987308,0
11.538996200,1
11.559117310,0
11.559125782,1
11.579236242,0
11.579244706,1
11.599368132,0
11.599377166,1
11.619461706,0
11.619470194,1
11.639469640,0
11.639478092,1
11.659580256,0
11.659588736,1
11.679696188,0
11.679704668,1
11.699830964,0
11.699839428,1
11.719956300,0
11.719964806,1
11.740096516,0
11.740105000,1
11.760243406,0
11.760251744,1
11.780362854,0
11.780371334,1
11.800487786,0
11.800496370,1
11.820619850,0
11.820628706,1
11.840743932,0
11.840752528,1
11.860862372,0
11.860871028,1
11.880987874,0
11.880996288,1
11.901117948,0
11.901126420,1
11.921243692,0
11.921252134,1
11.941367786,0
11.941376350,1
11.961493956,0
11.961502606,1
11.981619096,0
11.981627712,1
12.001744436,0
12.001752882,1
12.021868362,0
12.021876864,1
12.041993374,0
12.042001832,1
12.062114284,0
12.062123194,1
12.082239132,0
12.082247484,1
12.102368384,0
12.102376898,1
12.122493804,0
12.122502738,1
12.142614718,0
12.142623228,1
12.162713258,0
12.162721734,1
12.182809166,0
12.182818144,1
12.202958046,0
12.202966480,1
12.223073886,0
12.223082428,1
12.243239444,0
12.243248398,1
12.263366908,0
12.263375442,1
12.283494470,0
12.283503090,1
12.303621196,0
12.303629714,1
12.323743952,0
12.323752870,1
12.343864092,0
12.343872590,1
12.363996212,0
12.364004642,1
12.384116294,0
12.384124836,1
12.404245916,0
12.404254414,1
12.424365202,0
12.424373652,1
12.444495600,0
12.444504118,1
12.464607302,0
12.464616162,1
12.484745534,0
12.484754440,1
12.504865454,0
12.504873966,1
12.524964760,0
12.524973236,1
12.544960100,0
12.544968680,1
12.565085040,0
12.565093882,1
12.585208946,0
12.585217584,1
12.605322882,0
12.605331866,1
12.625460076,0
12.625469006,1
12.645560844,0
12.645569370,1
12.665700394,0
12.665708878,1
12.685871442,0
12.685880034,1
12.705996436,0
12.706005328,1
12.726116680,0
12.726125180,1
12.746245782,0
12.746254300,1
12.766372772,0
12.766381248,1
12.786497616,0
12.786506100,1
12.806616960,0
12.806625378,1
12.826741692,0
12.826750204,1
12.846868520,0
12.846877008,1
12.866991710,0
12.867000222,1
12.887121674,0
12.887130624,1
12.907243676,0
12.907252176,1
12.927372458,0
12.927380938,1
12.947498148,0
12.947506698,1
12.967623266,0
12.967631692,1
12.987747960,0
12.987756474,1
13.007872356,0
13.007880876,1
13.027991874,0
13.028000488,1
13.048118372,0
13.048126782,1
13.068281966,0
13.068290422,1
13.088312494,0
13.088320970,1
13.108451562,0
13.108459980,1
13.128585212,0
13.128593792,1
13.148748110,0
13.148756510,1
13.168869270,0
13.168877758,1
13.188998072,0
13.189006516,1
13.209119284,0
13.209128234,1
13.229243582,0
13.229252178,1
13.249368522,0
13.249377036,1
13.269499320,0
13.269507796,1
13.289623914,0
13.289632420,1
13.309744330,0
13.309752914,1
13.329873448,0
13.329881862,1
13.349997376,0
13.350005832,1
13.370120324,0
13.370128688,1
13.390243698,0
13.390252712,1
13.410387592,0
13.410396526,1
13.430586716,0
13.430595230,1
13.450746556,0
13.450755174,1
13.470874462,0
13.470883292,1
13.490998378,0
13.491006862,1
13.511120510,0
13.511129540,1
13.531243932,0
13.531252846,1
13.551370402,0
13.551378928,1
13.571498876,0
13.571507892,1
13.591625320,0
13.591633900,1
13.611750396,0
13.611759060,1
13.631874950,0
13.631883892,1
13.651995018,0
13.652003886,1
13.672120604,0
13.672129072,1
13.692252366,0
13.692261154,1
13.712389088,0
13.712397982,1
13.732577692,0
13.732586612,1
13.752713452,0
13.752722066,1
13.772840108,0
13.772848692,1
13.793000624,0
13.793009034,1
13.813127476,0
13.813135936,1
13.833245670,0
13.833254076,1
13.853376198,0
13.853384712,1
13.873495484,0
13.873504406,1
13.893621570,0
13.893630092,1
13.913750814,0
13.913759282,1
13.933876554,0
13.933885546,1
13.953996982,0
13.954005636,1
13.974113292,0
13.974122146,1
13.994220970,0
13.994229450,1
14.014316888,0
14.014325902,1
14.034424544,0
14.034433116,1
14.054591214,0
14.054600074,1
14.074715416,0
14.074723892,1
14.094839606,0
14.094848548,1
14.114954500,0
14.114963052,1
14.135090390,0
14.135098916,1
14.155215900,0
14.155224336,1
14.175330304,0
14.175338924,1
14.195496860,0
14.195505486,1
14.215626100,0
14.215634576,1
14.235752040,0
14.235760970,1
14.255877214,0
14.255885776,1
14.276079996,0
14.276088996,1
14.296206518,0
14.296215156,1
14.316373184,0
14.316382092,1
14.336502874,0
14.336511648,1
14.356597896,0
14.356606802,1
14.376602270,0
14.376611140,1
14.396752284,0
14.396760876,1
14.416872816,0
14.416881270,1
14.436998506,0
14.437007014,1
14.457193154,0
14.457201612,1
14.477329910,0
14.477338428,1
14.497467222,0
14.497476204,1
14.517591902,0
14.517600774,1
14.537717346,0
14.537725806,1
14.557842054,0
14.557850642,1
14.577968144,0
14.577976648,1
14.598069374,0
14.598078008,1
14.618195064,0
14.618203456,1
14.638343480,0
14.638352360,1
14.658467190,0
14.658475598,1
14.678623460,0
14.678631926,1
14.698749078,0
14.698757558,1
14.718879494,0
14.718888390,1
14.739004996,0
14.739013958,1
14.759125036,0
14.759133506,1
14.779254234,0
14.779263126,1
14.799374982,0
14.799383436,1
14.819499700,0
14.819508314,1
