Time [s],Channel 0
0.000080562,0
0.847240714,1
0.959679844,0
0.959691642,1
0.972748684,0
0.972756938,1
0.985749452,0
0.985757708,1
0.998785700,0
0.998794430,1
1.011814398,0
1.011822956,1
1.024814170,0
1.024822612,1
1.037876118,0
1.037884314,1
1.050898564,0
1.050906748,1
1.063939270,0
1.063947784,1
1.076911414,0
1.076919714,1
1.089953262,0
1.089961604,1
1.103000038,0
1.103008298,1
1.116029294,0
1.116037362,1
1.129051092,0
1.129059304,1
1.142064472,0
1.142072752,1
1.155078782,0
1.155087486,1
1.168125166,0
1.168133464,1
1.181148714,0
1.181156878,1
1.194189482,0
1.194197754,1
1.207250752,0
1.207259530,1
1.220280290,0
1.220288458,1
1.233313684,0
1.233321860,1
1.246314380,0
1.246322836,1
1.259375212,0
1.259383592,1
1.272399880,0
1.272408210,1
1.285453174,0
1.285461732,1
1.298499628,0
1.298508222,1
1.311531518,0
1.311540390,1
1.324531578,0
1.324539932,1
1.337531188,0
1.337539518,1
1.350566068,0
1.350574148,1
1.363625724,0
1.363633980,1
1.376615876,0
1.376624144,1
1.389689698,0
1.389697832,1
1.402750472,0
1.402758810,1
1.415781052,0
1.415789620,1
1.428829212,0
1.428837354,1
1.441875760,0
1.441883894,1
1.454913028,0
1.454921294,1
1.467940770,0
1.467949334,1
1.481000972,0
1.481009252,1
1.494038324,0
1.494046712,1
1.507065668,0
1.507073992,1
1.520126056,0
1.520134298,1
1.533126104,0
1.533134392,1
1.546124556,0
1.546133064,1
1.559156444,0
1.559165016,1
1.572190700,0
1.572199118,1
1.585251636,0
1.585259860,1
1.598251436,0
1.598259732,1
1.611282496,0
1.611291414,1
1.624281310,0
1.624289514,1
1.637316274,0
1.637324462,1
1.650375272,0
1.650383556,1
1.663441274,0
1.663449450,1
1.676501854,0
1.676509984,1
1.689531318,0
1.689539656,1
1.702553294,0
1.702561620,1
1.715580504,0
1.715588706,1
1.728627122,0
1.728635270,1
1.741627432,0
1.741635720,1
1.754626672,0
1.754634814,1
1.767657390,0
1.767665548,1
1.780692146,0
1.780700392,1
1.793690830,0
1.793698980,1
1.806751656,0
1.806760454,1
1.819783024,0
1.819791422,1
1.832830380,0
1.832838618,1
1.845877970,0
1.845886754,1
1.858908074,0
1.858916288,1
1.871941448,0
1.871955086,1
1.884955828,0
1.884964412,1
1.898003188,0
1.898011702,1
1.911032644,0
1.911041128,1
1.924127870,0
1.924136862,1
1.937157900,0
1.937166334,1
1.950193470,0
1.950202104,1
1.963251578,0
1.963260272,1
1.976165850,0
1.976175068,1
1.989179482,0
1.989188508,1
2.002193492,0
2.002202184,1
2.015192442,0
2.015200922,1
2.028252736,0
2.028264558,1
2.041284012,0
2.041292696,1
2.054283188,0
2.054291926,1
2.067249002,0
2.067257566,1
2.080253154,0
2.080261562,1
2.093283548,0
2.093292210,1
2.106305856,0
2.106314670,1
2.119332912,0
2.119341550,1
2.132317592,0
2.132326276,1
2.145377956,0
2.145386566,1
2.158410870,0
2.158419654,1
2.171409534,0
2.171418364,1
2.184443486,0
2.184452566,1
2.197443124,0
2.197451946,1
2.210503626,0
2.210512048,1
2.223534708,0
2.223543174,1
2.236568284,0
2.236576796,1
2.249628468,0
2.249637582,1
2.262654246,0
2.262662824,1
2.275693596,0
2.275702464,1
2.288754306,0
2.288763012,1
2.301753692,0
2.301762158,1
2.314786650,0
2.314795794,1
2.327791132,0
2.327799752,1
2.340806742,0
