Time [s],Channel 0
0.000080562,1
0.017965946,0
0.027640916,1
0.047792956,0
0.057479460,1
0.077598630,0
0.087287328,1
0.107441940,0
0.117134618,1
0.137215214,0
0.146902484,1
0.166992040,0
0.176649524,1
0.196777776,0
0.206478058,1
0.226430916,0
0.236711926,1
0.256816982,0
0.266300202,1
0.286417934,0
0.296099050,1
0.316216808,0
0.325897344,1
0.346067734,0
0.355765550,1
0.375918904,0
0.385573644,1
0.405728994,0
0.415401710,1
0.435556758,0
0.445240070,1
0.465354636,0
0.475039814,1
0.495139308,0
0.504280460,1
0.524342638,0
0.534009938,1
0.554193350,0
0.564292816,1
0.584419856,0
0.594132698,1
0.614307526,0
0.623993230,1
0.644104954,0
0.653803002,1
0.673842264,0
0.683513596,1
0.703669440,0
0.713342960,1
0.733458560,0
0.743162292,1
0.763308112,0
0.772991324,1
0.793093648,0
0.802792350,1
0.822944766,0
0.832654990,1
0.852794686,0
0.862286710,1
0.882444404,0
0.892128858,1
0.912308632,0
0.921990022,1
0.942106266,0
0.951791500,1
0.971856056,0
0.981664190,1
1.001797018,0
1.011515676,1
1.031594682,0
1.041267714,1
1.061434038,0
1.071098842,1
1.091231566,0
1.100899236,1
1.121059388,0
1.130749950,1
1.150933286,0
1.160289198,1
1.180445714,0
1.190099746,1
1.210226374,0
1.219918798,1
1.239963014,0
1.249089846,1
1.269171818,0
1.278871638,1
1.298977676,0
1.308663274,1
1.328820016,0
1.338494798,1
1.358594334,0
1.368227722,1
1.388345646,0
1.398020640,1
1.418172144,0
1.427873318,1
1.447982342,0
1.457677430,1
1.477809954,0
1.487469698,1
1.507601484,0
1.517302168,1
1.537445954,0
1.547124800,1
1.567246616,0
1.576917656,1
1.597071240,0
1.606760306,1
1.626921926,0
1.636592834,1
1.656727178,0
1.666294174,1
1.686446368,0
1.696147356,1
1.716297718,0
1.726398990,1
1.746572054,0
1.756261642,1
1.776423408,0
1.786123408,1
1.806232824,0
1.815926386,1
1.836072098,0
1.845738564,1
1.865858934,0
1.875551562,1
1.895697302,0
1.905394194,1
1.925547794,0
1.935246568,1
1.955358784,0
1.965318930,1
1.985437184,0
1.995919844,1
2.016072246,0
2.025732162,1
2.045858804,0
2.055533870,1
2.075673874,0
2.085355536,1
2.105549006,0
2.115186988,1
2.135322716,0
2.144998244,1
2.165108924,0
2.174779514,1
2.194924184,0
2.204591918,1
2.224730292,0
2.234422912,1
2.254573436,0
2.264354594,1
2.284479184,0
2.294183902,1
2.314299154,0
2.323942920,1
2.344073208,0
2.353781894,1
2.373923922,0
2.383621902,1
2.403734776,0
2.413402534,1
2.433519720,0
2.442673060,1
2.462812958,0
2.472505274,1
2.492676144,0
2.502335232,1
2.522549228,0
2.532228844,1
2.552361614,0
2.562310896,1
2.582437442,0
2.592121220,1
2.612313612,0
2.621992720,1
2.642110818,0
2.651794660,1
2.671848724,0
2.681527146,1
2.701675002,0
2.711339214,1
2.731374530,0
2.741851840,1
2.761983086,0
2.771684440,1
2.791824734,0
2.801546972,1
2.821699932,0
2.831380094,1
2.851551624,0
2.861309628,1
2.881348930,0
2.890991180,1
2.911111228,0
