Time [s],Channel 0
0.000080562,1
0.003789298,0
0.014039166,1
0.031169306,0
0.041422226,1
0.058592544,0
0.068857472,1
0.085942558,0
0.095669522,1
0.112794022,0
0.123022272,1
0.140040348,0
0.150304954,1
0.167418248,0
0.177679998,1
0.194842690,0
0.205062956,1
0.222165332,0
0.232445694,1
0.249532074,0
0.259790016,1
0.276865270,0
0.287083106,1
0.304217858,0
0.314408094,1
0.331415668,0
0.341662836,1
0.358794530,0
0.369018070,1
0.386168846,0
0.396680550,1
0.413740306,0
0.423914700,1
0.441043994,0
0.451256976,1
0.468419652,0
0.478658972,1
0.495793998,0
0.506043048,1
0.523166504,0
0.533437206,1
0.550546050,0
0.560780502,1
0.577919350,0
0.588142956,1
0.605294854,0
0.615564194,1
0.632666538,0
0.642946716,1
0.660068746,0
0.670328408,1
0.687444146,0
0.697650846,1
0.714844506,0
0.725062028,1
0.742145968,0
0.751844440,1
0.768917036,0
0.779186456,1
0.796170582,0
0.806034264,1
0.823108310,0
0.833337722,1
0.850469570,0
0.860731114,1
0.877920928,0
0.888153148,1
0.905272100,0
0.915535610,1
0.932670566,0
0.942897752,1
0.960046100,0
0.970251274,1
0.987321170,0
0.997665924,1
1.014795300,0
1.025041482,1
1.042170558,0
1.052406182,1
1.069546134,0
1.079799412,1
1.096867430,0
1.107083398,1
1.124220984,0
1.134439820,1
1.151595472,0
1.161875196,1
1.178918058,0
1.189142170,1
1.206196042,0
1.216455990,1
1.233571072,0
1.243810382,1
1.260971026,0
1.271215178,1
1.288293554,0
1.298670328,1
1.315796154,0
1.326036128,1
1.343071134,0
1.353269836,1
1.370294488,0
1.380524190,1
1.397696896,0
1.407947632,1
1.425044208,0
1.435302520,1
1.452471938,0
1.462697078,1
1.479846270,0
1.490100020,1
1.507221258,0
1.517423682,1
1.534596670,0
1.544818510,1
1.561899628,0
1.571127890,1
1.588221988,0
1.598643878,1
1.615722042,0
1.626000032,1
1.643044154,0
1.653323882,1
1.670447114,0
1.680709558,1
1.697822696,0
1.708062448,1
1.725170358,0
1.735405116,1
1.752548204,0
1.762807504,1
1.779869616,0
1.790149724,1
1.807243662,0
1.817483890,1
1.834573992,0
1.844769418,1
1.861923454,0
1.872162598,1
1.889244200,0
1.899685356,1
1.916847474,0
1.927057728,1
1.944197908,0
1.954440244,1
1.971597874,0
1.981822990,1
1.998972670,0
2.009206764,1
2.026347936,0
2.036590542,1
2.053698420,0
2.063924022,1
2.081098348,0
2.091328784,1
2.108473144,0
2.118692338,1
2.135799414,0
2.146045458,1
2.163175172,0
2.173410312,1
2.190599376,0
2.200674428,1
2.217799732,0
2.228047918,1
2.245121078,0
2.255401702,1
2.272550136,0
2.282787614,1
2.299925166,0
2.310154618,1
2.327199540,0
2.337417566,1
2.354599456,0
2.364862866,1
2.381901008,0
2.391346612,1
2.408422168,0
2.418670050,1
2.435800442,0
2.445534090,1
2.462675408,0
2.472909380,1
2.490051110,0
2.500655194,1
2.517699332,0
