Time [s],Channel 0
0.000080562,1
0.045606738,0
0.056289108,1
0.123159232,0
0.132765450,1
0.199656890,0
0.209694308,1
0.276702636,0
0.286312504,1
0.353304566,0
0.362946440,1
0.429886386,0
0.439518598,1
0.506483616,0
0.516107900,1
0.583031116,0
0.592683612,1
0.659660378,0
0.669260040,1
0.736282096,0
0.745859912,1
0.812814102,0
0.822084594,1
0.889061122,0
0.898667280,1
0.965622876,0
0.975255434,1
1.042266956,0
1.051801588,1
1.118787892,0
1.128397300,1
1.195371622,0
1.204994268,1
1.271963392,0
1.281619950,1
1.348596954,0
1.358230288,1
1.425227946,0
1.434826312,1
1.501854816,0
1.512406982,1
1.579280272,0
1.588908484,1
1.655847580,0
1.665479872,1
1.732455890,0
1.742076828,1
1.809065998,0
1.818726466,1
1.885665372,0
1.895297622,1
1.962342758,0
1.971928266,1
2.038959278,0
2.049777532,1
2.116738368,0
2.126399046,1
2.193234494,0
2.203712438,1
2.270689936,0
2.280283586,1
2.347244210,0
2.356819752,1
2.423651474,0
2.433351216,1
2.500359134,0
2.509983900,1
2.576938620,0
2.586576086,1
2.653572930,0
2.663172166,1
2.730090196,0
2.739696056,1
2.806748906,0
2.817301580,1
2.884304140,0
2.893955648,1
2.960923828,0
2.970595928,1
3.037622160,0
3.046826428,1
3.113829422,0
3.124377874,1
3.191368684,0
3.200954642,1
3.267940646,0
3.276964174,1
3.343922330,0
3.353883214,1
3.420870832,0
3.430458406,1
3.497288228,0
3.507547608,1
3.574466950,0
3.584139704,1
3.651122934,0
3.660712498,1
3.727686922,0
3.737266876,1
3.804289186,0
3.813872920,1
3.880859762,0
3.891408936,1
3.958345110,0
3.967975148,1
4.034967198,0
4.044564140,1
4.111511032,0
4.122075522,1
4.189048152,0
4.198676034,1
4.265630294,0
4.275262000,1
4.342243760,0
4.351817946,1
4.418695868,0
4.428384954,1
4.495324312,0
4.504941388,1
4.571965788,0
4.581610262,1
4.648585190,0
4.658204250,1
4.725156002,0
4.734764524,1
4.801627952,0
4.811527952,1
4.878412698,0
4.888558548,1
4.955504118,0
4.965093018,1
5.032062442,0
5.041647730,1
5.108567328,0
5.118225024,1
5.185209128,0
5.194822764,1
5.261851472,0
5.271428596,1
5.338349652,0
5.347851682,1
5.414831554,0
5.424523826,1
5.491499682,0
5.501086928,1
5.568073418,0
5.577682122,1
5.644611724,0
5.653904422,1
5.720886016,0
5.730467712,1
5.797378644,0
5.807025376,1
5.873999620,0
5.884544464,1
5.951507842,0
5.961107446,1
6.028114398,0
6.037704306,1
6.104638800,0
6.114520672,1
6.181500598,0
6.191098452,1
6.257955746,0
6.267978510,1
6.334929762,0
6.344549824,1
6.411505810,0
6.421140838,1
6.488065166,0
6.497729486,1
6.564713922,0
6.575257658,1
6.642248488,0
6.651847718,1
6.718812962,0
6.728383236,1
6.795327450,0
6.805880786,1
6.872884108,0
6.882482608,1
6.949501694,0
6.958527462,1
7.025428280,0
7.035061700,1
7.101996824,0
7.111609894,1
7.178575352,0
7.188219986,1
7.255221878,0
7.264897028,1
7.331877392,0
7.341464182,1
7.408427774,0
7.418927542,1
7.485880210,0
7.495527346,1
7.562504264,0
7.571527212,1
7.638481408,0
7.648794646,1
7.715771026,0
7.725382476,1
7.792391410,0
7.801959010,1
7.868947052,0
7.878549414,1
7.945497868,0
7.954813112,1
8.021692576,0
8.031346274,1
8.098341584,0
8.107966830,1
8.174954756,0
8.183973052,1
8.250960024,0
8.260660186,1
8.327624862,0
8.337228916,1
8.404121516,0
8.413695432,1
8.480696854,0
8.490284382,1
8.557240166,0
8.566843210,1
8.633844928,0
8.643418418,1
8.710323952,0
8.720000380,1
8.786954776,0
8.795969966,1
8.862950232,0
8.872540094,1
8.939493312,0
8.949800604,1
9.016770484,0
9.026353162,1
9.093311800,0
9.102881578,1
9.169887574,0
9.179549114,1
9.246529972,0
9.256105792,1
9.323105296,0
9.333649068,1
9.400641888,0
9.411004798,1
9.478027490,0
9.487611338,1
9.554575980,0
9.564209190,1
9.631111520,0
9.640788748,1
9.707691480,0
9.717564988,1
9.784517096,0
9.794090182,1
9.861010398,0
9.870606388,1
9.937612830,0
9.947805760,1
10.014759496,0
10.025297402,1
10.092267526,0
10.101907388,1
10.168890862,0
10.178517406,1
10.245508788,0
10.255392234,1
10.322387774,0
10.331970048,1
10.398936088,0
10.408602412,1
10.475554584,0
10.485180934,1
10.552098878,0
10.561796672,1
10.628764588,0
10.638364278,1
10.705206922,0
10.715498880,1
10.782453488,0
10.792114106,1
10.859095064,0
10.868744792,1
10.935733480,0
10.946293716,1
11.013260492,0
11.022872378,1
11.089866664,0
11.099529788,1
11.166517272,0
11.176110234,1
11.243105740,0
11.252899818,1
11.319882262,0
11.329479144,1
11.396429966,0
11.406075912,1
11.473028642,0
11.482705580,1
11.549724348,0
11.559300756,1
11.626251478,0
11.635815922,1
11.702765054,0
11.711837338,1
11.778832802,0
11.788467434,1
11.855473424,0
11.865098674,1
11.931971038,0
11.941596782,1
12.008443408,0
12.018379400,1
12.085382036,0
12.094960888,1
12.161895360,0
12.171494064,1
12.238447094,0
12.247879630,1
12.314816556,0
12.324462634,1
12.391445660,0
12.401286214,1
12.468258506,0
12.477931568,1
12.544831398,0
12.555476058,1
12.622411208,0
12.631988770,1
12.699016924,0
12.708616870,1
12.775562166,0
12.785168980,1
12.852123532,0
12.861700704,1
12.928645956,0
12.938230600,1
13.005216074,0
13.015765322,1
13.082755156,0
13.092348766,1
13.159284116,0
13.168909402,1
13.235899818,0
13.245503608,1
13.312457880,0
13.322576724,1
13.389527982,0
13.399120978,1
13.466119726,0
13.475717508,1
13.542744400,0
13.551870776,1
13.618858212,0
13.628470086,1
13.695443222,0
13.705109712,1
13.772034998,0
13.782581924,1
13.849494602,0
13.859090142,1
13.926041720,0
13.935645614,1
14.002600456,0
14.012226304,1
14.079246628,0
14.088272720,1
14.155255360,0
14.164899858,1
14.231914116,0
14.241499856,1
14.308479292,0
14.318080398,1
14.385018138,0
14.394589628,1
14.461629506,0
14.470657366,1
14.537645538,0
14.546882122,1
14.613845430,0
14.623444032,1
14.690404266,0
14.699969886,1
14.767000334,0
14.776594106,1
14.843489080,0
14.852968556,1
14.919952092,0
14.929526444,1
14.996484224,0
15.007037780,1
15.073967360,0
15.083632008,1
15.150661368,0
15.159692978,1
15.226658808,0
15.236293152,1
15.303249236,0
15.313030582,1
15.379998378,0
15.389591268,1
15.456628598,0
15.466231592,1
15.533149448,0
15.542754850,1
15.609692106,0
15.619319400,1
15.686292518,0
15.695878436,1
15.762865778,0
15.772509956,1
15.839524628,0
15.848849546,1
15.915791902,0
15.925449570,1
15.992383900,0
16.001976786,1
16.068927278,0
16.078615654,1
16.145572972,0
16.155509292,1
16.222454010,0
16.232078120,1
16.298996874,0
16.308630406,1
16.375645794,0
16.385220822,1
16.452244626,0
16.461830916,1
16.528754654,0
16.538341506,1
16.605282370,0
16.615608570,1
16.682624692,0
16.692235718,1
16.759162444,0
16.768763256,1
16.835702226,0
16.845358820,1
16.912382952,0
16.921955094,1
16.988897224,0
16.999447104,1
17.066407602,0
17.075425884,1
17.142379994,0
17.151889662,1
17.218835192,0
17.228653732,1
17.295607758,0
17.305200798,1
17.372171010,0
17.381757058,1
17.448758542,0
17.458365814,1
17.525394728,0
17.535033312,1
17.602031188,0
17.611632056,1
17.678515578,0
17.688203468,1
17.755154790,0
17.764750720,1
17.831711608,0
17.841362136,1
17.908344116,0
17.918140776,1
17.985116382,0
17.994771738,1
18.061715214,0
18.071337696,1
18.138265058,0
18.147891620,1
18.214906500,0
18.224549790,1
18.291547056,0
18.301163588,1
18.368203206,0
18.377800582,1
18.444724780,0
18.453851446,1
18.520827190,0
18.530428758,1
18.597351084,0
18.606963736,1
18.673869986,0
18.683460472,1
18.750407422,0
18.760067866,1
18.827031858,0
18.836610240,1
18.903619904,0
18.913212938,1
18.980164222,0
18.989770666,1
19.056788488,0
19.066387306,1
19.133348828,0
19.142985792,1
19.209931952,0
19.218947806,1
19.285907006,0
19.295493138,1
19.362380622,0
19.371995202,1
19.438923144,0
19.448923118,1
19.515908856,0
19.526456970,1
19.593391770,0
19.603006892,1
19.670011040,0
19.679642596,1
19.746628516,0
19.756250680,1
19.823215652,0
19.832811324,1
19.899724588,0
19.909631152,1
19.976510624,0
19.986129838,1
20.053129118,0
20.062731090,1
20.129735694,0
20.140289124,1
20.207258166,0
20.216903102,1
20.283919688,0
20.293531704,1
20.360515220,0
20.369530232,1
20.436550754,0
20.445874992,1
20.512878170,0
20.522476498,1
20.589450290,0
20.599113092,1
20.666140954,0
20.675743406,1
20.742724830,0
20.751880276,1
20.818786092,0
20.828428290,1
20.895391048,0
20.905937010,1
20.972929018,0
20.982516240,1
21.049482890,0
21.059058434,1
21.126041240,0
21.135621718,1
21.202530074,0
21.212666056,1
21.279657952,0
21.289275550,1
21.356098548,0
21.366086084,1
21.433038194,0
21.442613422,1
21.509554894,0
21.518570108,1
21.585535506,0
21.595132688,1
21.662138578,0
21.671718162,1
21.738667256,0
21.747883058,1
21.814869840,0
21.824461482,1
21.891407840,0
21.900978024,1
21.967911094,0
21.977495286,1
22.044471368,0
22.053926186,1
22.120913964,0
22.130514238,1
22.197524970,0
