Time [s],Channel 0
0.000080562,0
1.438222660,1
1.745434618,0
1.745449452,1
1.819670960,0
1.819682914,1
1.893924668,0
1.893936610,1
1.968243168,0
1.968254260,1
2.042574810,0
2.042585802,1
2.116872920,0
2.116883812,1
2.191201436,0
2.191212170,1
2.265520062,0
2.265531518,1
2.339818418,0
2.339829680,1
2.414082018,0
2.414093298,1
2.488338810,0
2.488350044,1
2.562675986,0
2.562687624,1
2.636955816,0
2.636967300,1
2.711220730,0
2.711232430,1
2.785576730,0
2.785588284,1
2.859936598,0
2.859948320,1
2.934211328,0
2.934222004,1
3.008497558,0
3.008509050,1
3.082828280,0
3.082839456,1
3.157073654,0
3.157084618,1
3.231322342,0
3.231333030,1
3.305564872,0
3.305575902,1
3.379845164,0
3.379856020,1
3.454221690,0
3.454232600,1
3.528545746,0
3.528556984,1
3.602841550,0
3.602853692,1
3.677178204,0
3.677189806,1
3.751467414,0
3.751479572,1
3.825757444,0
3.825768548,1
3.900104002,0
3.900115196,1
3.974338890,0
3.974349934,1
4.048645554,0
4.048656634,1
4.122983438,0
4.122994634,1
4.197335052,0
4.197346668,1
4.271660132,0
4.271671828,1
4.345976956,0
4.345988650,1
4.420328720,0
4.420339158,1
4.494703158,0
4.494713996,1
4.568977662,0
4.568988212,1
4.643311028,0
4.643322536,1
4.717567328,0
4.717579040,1
4.791871618,0
4.791882868,1
4.866148934,0
4.866160888,1
4.940497132,0
4.940509034,1
5.014817214,0
5.014829144,1
5.089145980,0
5.089156508,1
5.163358352,0
5.163369270,1
5.237730412,0
5.237741326,1
5.312012194,0
5.312023644,1
5.386354712,0
5.386365906,1
5.460676982,0
5.460688866,1
5.534963034,0
5.534974594,1
5.609253370,0
5.609264128,1
5.683623452,0
5.683634260,1
5.758017966,0
5.758029316,1
5.832331876,0
5.832343332,1
5.906626954,0
5.906638284,1
5.980953778,0
5.980965040,1
6.055253056,0
6.055264360,1
6.129530986,0
6.129541966,1
6.203832630,0
6.203843894,1
6.278168654,0
6.278180042,1
6.352471510,0
6.352482878,1
6.426748104,0
6.426758668,1
6.501056120,0
6.501067396,1
6.575327614,0
6.575339114,1
6.649649862,0
6.649661534,1
6.723978556,0
6.723990204,1
6.798374084,0
6.798385082,1
6.872652342,0
6.872663584,1
6.946940452,0
6.946952328,1
7.021253438,0
7.021264936,1
7.095577428,0
7.095588222,1
7.169860614,0
7.169872020,1
7.244129864,0
7.244141090,1
7.318412250,0
7.318423312,1
7.392705552,0
7.392716824,1
7.467034560,0
7.467045814,1
7.541341646,0
7.541353262,1
7.615674710,0
7.615686748,1
7.690018926,0
7.690030222,1
7.764358248,0
7.764370066,1
7.838750184,0
7.838761078,1
7.913077324,0
7.913088708,1
7.987309772,0
7.987321348,1
8.061589492,0
8.061601018,1
8.135870988,0
8.135882060,1
8.210174692,0
8.210186604,1
8.284506330,0
8.284516968,1
8.358842312,0
8.358854054,1
8.433087516,0
8.433098546,1
8.507346856,0
8.507357760,1
8.581755890,0
8.581766428,1
8.656037658,0
8.656048292,1
8.730350758,0
8.730361656,1
8.804629022,0
8.804640348,1
8.878964552,0
8.878975540,1
8.953340894,0
8.953352154,1
9.027611740,0
9.027622888,1
9.101984154,0
9.101995192,1
9.176271774,0
9.176282884,1
9.250567654,0
9.250578992,1
9.324852210,0
9.324863512,1
9.399154776,0
9.399166220,1
9.473465102,0
9.473476310,1
9.547793422,0
9.547804902,1
9.622105746,0
9.622116726,1
9.696476646,0
9.696488114,1
9.770799274,0
9.770810192,1
9.845134886,0
9.845146204,1
9.919408364,0
9.919419232,1
9.993712446,0
9.993723164,1
10.067930200,0
10.067941442,1
10.142222374,0
10.142233944,1
10.216488976,0
10.216500326,1
10.290871212,0
10.290882700,1
10.365149464,0
10.365160604,1
10.439486514,0
10.439498068,1
10.513709062,0
10.513720204,1
10.588034242,0
10.588045748,1
10.662347002,0
10.662357886,1
10.736621316,0
10.736632422,1
10.810948656,0
10.810959932,1
10.885223416,0
10.885234184,1
10.959521068,0
10.959531944,1
11.033801970,0
11.033812858,1
11.108133946,0
11.108145568,1
11.182494288,0
11.182505728,1
11.256764178,0
11.256776008,1
11.331071358,0
11.331083146,1
11.405350526,0
11.405362060,1
11.479706376,0
11.479718018,1
11.554069610,0
11.554081128,1
11.628417016,0
11.628428646,1
11.702713862,0
11.702724918,1
11.776993930,0
11.777005256,1
11.851305952,0
11.851317710,1
11.925619186,0
11.925630552,1
11.999971940,0
11.999983940,1
12.074315736,0
12.074326500,1
12.148662948,0
12.148673962,1
12.223002486,0
12.223014420,1
12.297346514,0
12.297357910,1
12.371678750,0
12.371690248,1
12.446002746,0
12.446013142,1
12.520324458,0
12.520335380,1
12.594669224,0
12.594680262,1
12.668958162,0
12.668969708,1
12.743267222,0
12.743278402,1
12.817556618,0
12.817568368,1
12.891878174,0
12.891889780,1
12.966214370,0
12.966225646,1
13.040488528,0
13.040499216,1
13.114785638,0
13.114796938,1
13.189119392,0
13.189130804,1
13.263400144,0
13.263411316,1
