Time [s],Channel 0
0.000080562,0
1.577631930,1
1.831138310,0
1.831154816,1
1.865084912,0
1.865096846,1
1.898953958,0
1.898965478,1
1.932806808,0
1.932818666,1
1.966717866,0
1.966730200,1
2.000678112,0
2.000689730,1
2.034584788,0
2.034596998,1
2.068464576,0
2.068475922,1
2.102340518,0
2.102352010,1
2.136309098,0
2.136321206,1
2.170184964,0
2.170196490,1
2.204042898,0
2.204054328,1
2.237957878,0
2.237969566,1
2.271788040,0
2.271799812,1
2.305672424,0
2.305684030,1
2.339582204,0
2.339593942,1
2.373456192,0
2.373467784,1
2.407425996,0
2.407437210,1
2.441339184,0
2.441350418,1
2.475221088,0
2.475232676,1
2.509128110,0
2.509139730,1
2.543062326,0
2.543075078,1
2.576928722,0
2.576940936,1
2.610812956,0
2.610823982,1
2.644713740,0
2.644724482,1
2.678548968,0
2.678560524,1
2.712428318,0
2.712439844,1
2.746300994,0
2.746312624,1
2.780185794,0
2.780197544,1
2.814088902,0
2.814100798,1
2.847968178,0
2.847979940,1
2.881813428,0
2.881824994,1
2.915690736,0
2.915702606,1
2.949559818,0
2.949571582,1
2.983464164,0
2.983475732,1
3.017296986,0
3.017307878,1
3.051215464,0
3.051227554,1
3.085061568,0
3.085072940,1
3.118969272,0
3.118980840,1
3.152799698,0
3.152811194,1
3.186678148,0
3.186690086,1
3.220594910,0
3.220606964,1
3.254461056,0
3.254472764,1
3.288295618,0
3.288307648,1
3.322211972,0
3.322223948,1
3.355957162,0
3.355969092,1
3.389839132,0
3.389851070,1
3.423811300,0
3.423823880,1
3.457678678,0
3.457690196,1
3.491595824,0
3.491607762,1
3.525473990,0
3.525486490,1
3.559429864,0
3.559441524,1
3.593252852,0
3.593264144,1
3.627220622,0
3.627232518,1
3.661190458,0
3.661201310,1
3.695058438,0
3.695070072,1
3.728930666,0
3.728941978,1
3.762812248,0
3.762823758,1
3.796675356,0
3.796686964,1
3.830633560,0
3.830644702,1
3.864570822,0
3.864581676,1
3.898459596,0
3.898471400,1
3.932427712,0
3.932439554,1
3.966305624,0
3.966317732,1
4.000214810,0
4.000225912,1
4.034051506,0
4.034063424,1
4.067970534,0
4.067982694,1
4.101850500,0
4.101861992,1
4.135800696,0
4.135812230,1
4.169725192,0
4.169736988,1
4.203681542,0
4.203693030,1
4.237566574,0
4.237578650,1
4.271468224,0
4.271480458,1
4.305314582,0
4.305326220,1
4.339221648,0
4.339232948,1
4.373198626,0
4.373209852,1
4.407059496,0
4.407071184,1
4.440883062,0
4.440894526,1
4.474822208,0
4.474833816,1
4.508721012,0
4.508732440,1
4.542557956,0
4.542569706,1
4.576439514,0
4.576451240,1
4.610398346,0
4.610410234,1
4.644381680,0
4.644392780,1
4.678385516,0
4.678397168,1
4.712259578,0
4.712271630,1
4.746257720,0
4.746269012,1
4.780190020,0
4.780201990,1
4.814107122,0
4.814118944,1
4.848053188,0
4.848065110,1
4.881929946,0
4.881941934,1
4.915843582,0
4.915856072,1
4.949808258,0
4.949820154,1
4.983684120,0
4.983695924,1
5.017637172,0
5.017649206,1
5.051594634,0
5.051606402,1
5.085564292,0
5.085575706,1
5.119445420,0
5.119457226,1
5.153351662,0
5.153363720,1
5.187176544,0
5.187188274,1
5.221060306,0
5.221072018,1
5.254931292,0
5.254943342,1
5.288843616,0
5.288855846,1
5.322686348,0
5.322698016,1
5.356569298,0
5.356582028,1
5.390480392,0
5.390492472,1
5.424435738,0
5.424447592,1
5.458345888,0
5.458357212,1
5.492228240,0
5.492239482,1
5.526182102,0
5.526193732,1
5.560095264,0
5.560106528,1
5.593935046,0
5.593946902,1
5.627891382,0
5.627903004,1
5.661815066,0
5.661826670,1
5.695701594,0
5.695713590,1
5.729594826,0
5.729606544,1
5.763485104,0
5.763496184,1
5.797389902,0
5.797401370,1
5.831310714,0
5.831322862,1
5.865229688,0
5.865242164,1
5.899101624,0
5.899113300,1
5.932974398,0
5.932985836,1
5.966815860,0
5.966827160,1
6.000695388,0
6.000707052,1
6.034554946,0
6.034567246,1
6.068490006,0
6.068501994,1
6.102325030,0
6.102336032,1
6.136217612,0
6.136229200,1
6.170199844,0
6.170210816,1
6.204099848,0
6.204112274,1
6.237979930,0
6.237991968,1
6.271809882,0
6.271821346,1
6.305720336,0
6.305732202,1
6.339597316,0
6.339609360,1
6.373476216,0
6.373487650,1
6.407327190,0
6.407339248,1
6.441196122,0
6.441209010,1
6.475069124,0
6.475081412,1
6.508981190,0
6.508992766,1
6.542829350,0
6.542840902,1
6.576679678,0
6.576690686,1
6.610609752,0
6.610621398,1
6.644439976,0
6.644451718,1
6.678352524,0
6.678363996,1
6.712199676,0
6.712211360,1
6.746063884,0
6.746075608,1
6.779936698,0
6.779948724,1
6.813831418,0
6.813843218,1
6.847699196,0
6.847711622,1
6.881555832,0
6.881566870,1
6.915435846,0
6.915447272,1
6.949314182,0
6.949325870,1
6.983201148,0
6.983212702,1
7.017103542,0
7.017115156,1
7.050978890,0
7.050990674,1
7.084847972,0
7.084859398,1
7.118824758,0
7.118836700,1
7.152689828,0
7.152701482,1
7.186563904,0
7.186575822,1
7.220485498,0
7.220497758,1
7.254461218,0
7.254472524,1
7.288314096,0
7.288325784,1
7.322231448,0
7.322243240,1
7.356109476,0
7.356121176,1
7.389946932,0
7.389958670,1
7.423854412,0
7.423866652,1
7.457722106,0
7.457733546,1
7.491604092,0
7.491615664,1
7.525438678,0
7.525450200,1
7.559366430,0
7.559378448,1
7.593315736,0
7.593327462,1
7.627234548,0
7.627245544,1
7.661188608,0
7.661200308,1
7.695146810,0
7.695159486,1
7.729028458,0
7.729040446,1
7.762981990,0
7.762993106,1
7.796853784,0
7.796865630,1
7.830816014,0
7.830827444,1
7.864739600,0
7.864750788,1
7.898691252,0
7.898703470,1
7.932568566,0
7.932580768,1
7.966524790,0
7.966536424,1
8.000326746,0
8.000338442,1
8.034202710,0
8.034214620,1
8.068065232,0
8.068077516,1
8.102017330,0
8.102029736,1
8.135953954,0
8.135966184,1
8.169899352,0
8.169910502,1
8.203818638,0
8.203830668,1
8.237731602,0
8.237743194,1
8.271564792,0
8.271576542,1
8.305441632,0
8.305453428,1
8.339331558,0
8.339343746,1
8.373205280,0
8.373216836,1
8.407098528,0
8.407110234,1
8.440942138,0
8.440954010,1
8.474828720,0
8.474841162,1
8.508684746,0
8.508696330,1
8.542578266,0
8.542590054,1
8.576483788,0
8.576495676,1
8.610316924,0
8.610328644,1
8.644209908,0
8.644222480,1
8.678062872,0
8.678074640,1
8.711981516,0
8.711993462,1
8.745820896,0
8.745832418,1
8.779737728,0
8.779748986,1
8.813647116,0
8.813658768,1
8.847480418,0
8.847492224,1
8.881363058,0
8.881374820,1
8.915193466,0
8.915205096,1
8.949107660,0
8.949119314,1
8.982957744,0
8.982969332,1
9.016858584,0
9.016870156,1
9.050693426,0
9.050705494,1
9.084523748,0
9.084535490,1
9.118460466,0
9.118471930,1
9.152316310,0
9.152328252,1
9.186212316,0
9.186224308,1
9.220122288,0
9.220133926,1
9.253954014,0
9.253966372,1
9.287863498,0
9.287875024,1
9.321706470,0
9.321718146,1
9.355610958,0
9.355622076,1
9.389498348,0
9.389510118,1
9.423365948,0
9.423377754,1
9.457193986,0
9.457205542,1
9.491107842,0
9.491120034,1
9.524961556,0
9.524973428,1
9.558853728,0
9.558866024,1
9.592739864,0
9.592751818,1
9.626572048,0
9.626583918,1
9.660446660,0
9.660459216,1
9.694362100,0
9.694374084,1
9.728240072,0
9.728251668,1
9.762110094,0
9.762121720,1
9.795964778,0
9.795976674,1
9.829821158,0
9.829833122,1
9.863747100,0
9.863759034,1
9.897696240,0
9.897708682,1
9.931539866,0
9.931551496,1
9.965457020,0
9.965469018,1
9.999401222,0
9.999412768,1
10.033373614,0
10.033385098,1
10.067314400,0
10.067326330,1
10.101242726,0
10.101253902,1
10.135200502,0
10.135211514,1
10.169011548,0
10.169023962,1
10.202938774,0
10.202950464,1
10.236860234,0
10.236871976,1
10.270739276,0
10.270750962,1
10.304572086,0
10.304583778,1
10.338490746,0
10.338502418,1
10.372357584,0
10.372368898,1
10.406200836,0
10.406212166,1
10.440111098,0
10.440123424,1
10.473991888,0
10.474004242,1
10.507866938,0
10.507878686,1
10.541740472,0
10.541752252,1
10.575576432,0
10.575588058,1
10.609462958,0
10.609474780,1
10.643323588,0
10.643335402,1
10.677211880,0
10.677223498,1
10.711116514,0
10.711128016,1
10.744958004,0
10.744969688,1
10.778835608,0
10.778847876,1
10.812709030,0
10.812720510,1
10.846621922,0
10.846633386,1
10.880589516,0
10.880601266,1
10.914487304,0
10.914499154,1
10.948363716,0
10.948375538,1
10.982239872,0
10.982251118,1
11.016071664,0
11.016083664,1
11.050046740,0
11.050058348,1
11.083980464,0
11.083992400,1
11.117872502,0
11.117883750,1
11.151837120,0
11.151848954,1
11.185737988,0
11.185749768,1
11.219618442,0
11.219630334,1
11.253467172,0
11.253478792,1
11.287291938,0
11.287303580,1
11.321203608,0
11.321215630,1
11.355092972,0
11.355104618,1
11.388989502,0
11.389001540,1
11.422828072,0
11.422839582,1
11.456739106,0
11.456751040,1
11.490585360,0
11.490596686,1
11.524539652,0
11.524550964,1
11.558467180,0
11.558478740,1
11.592369376,0
11.592381198,1
11.626253436,0
11.626265452,1
11.660214644,0
11.660226332,1
11.694094068,0
11.694105574,1
11.727955568,0
11.727967390,1
11.761869422,0
11.761881268,1
11.795739446,0
11.795751598,1
11.829590446,0
11.829602734,1
11.863493420,0
11.863504688,1
11.897373432,0
11.897385458,1
11.931371078,0
11.931382788,1
11.965218800,0
11.965230500,1
11.999156244,0
11.999167766,1
12.033092724,0
12.033103638,1
12.066991412,0
12.067003766,1
12.100815174,0
12.100827358,1
12.134702316,0
12.134714050,1
12.168619660,0
12.168631316,1
12.202464302,0
12.202476898,1
12.236373566,0
12.236384862,1
12.270243210,0
12.270254924,1
12.304246466,0
12.304258244,1
12.338114014,0
12.338126536,1
12.371994594,0
12.372007012,1
12.405829690,0
12.405841712,1
12.439745548,0
12.439756862,1
12.473576590,0
12.473588078,1
12.507494182,0
12.507505982,1
12.541369240,0
12.541380870,1
12.575247756,0
12.575259990,1
12.609119948,0
12.609131290,1
12.643032614,0
12.643044064,1
12.676959676,0
12.676971794,1
12.710833692,0
12.710845810,1
12.744708392,0
12.744720372,1
12.778595396,0
12.778607522,1
12.812456892,0
12.812468742,1
12.846333424,0
12.846345738,1
12.880213124,0
12.880224904,1
12.914110628,0
12.914122082,1
12.947954310,0
12.947966076,1
12.981869810,0
12.981881252,1
13.015753088,0
13.015764714,1
13.049705066,0
13.049716646,1
13.083639932,0
13.083651192,1
13.117458064,0
13.117470952,1
13.151345952,0
13.151357828,1
13.185206164,0
13.185217848,1
13.219119662,0
13.219131476,1
13.252973812,0
13.252985392,1
13.286842574,0
13.286854808,1
13.320750972,0
13.320762494,1
13.354627834,0
13.354639590,1
13.388456880,0
13.388468584,1
13.422379412,0
13.422391764,1
13.456290250,0
13.456300842,1
13.490215062,0
13.490226854,1
13.524135502,0
13.524147450,1
13.557999332,0
13.558010644,1
13.591879376,0
13.591890914,1
13.625725276,0
13.625737210,1
13.659600708,0
13.659612224,1
13.693470536,0
13.693482790,1
13.727335468,0
13.727346928,1
13.761221794,0
13.761233178,1
13.795100018,0
13.795111914,1
13.828999128,0
13.829011646,1
13.862870108,0
13.862882370,1
13.896723086,0
13.896735352,1
13.930621760,0
13.930633502,1
13.964605422,0
13.964617656,1
13.998463796,0
13.998475412,1
14.032335086,0
14.032347032,1
14.066250518,0
14.066262614,1
14.100123272,0
14.100135222,1
14.133966744,0
14.133978134,1
14.167841464,0
14.167852420,1
14.201747046,0
14.201758682,1
14.235583084,0
14.235594984,1
14.269501686,0
14.269513600,1
14.303336014,0
14.303347620,1
14.337209238,0
14.337221388,1
14.371125650,0
14.371137350,1
14.404960594,0
14.404972366,1
14.438849986,0
14.438861564,1
14.472727426,0
14.472739638,1
14.506663424,0
14.506675426,1
14.540623040,0
14.540634908,1
14.574474094,0
14.574485752,1
14.608379322,0
14.608391106,1
14.642223378,0
14.642235484,1
14.676128936,0
14.676140608,1
14.709973484,0
14.709985348,1
14.743838354,0
14.743850168,1
14.777708740,0
14.777720982,1
14.811591322,0
14.811603126,1
14.845506474,0
14.845518116,1
14.879478360,0
14.879490358,1
14.913348726,0
14.913360602,1
14.947222420,0
14.947234742,1
14.981177506,0
14.981189256,1
15.015087884,0
15.015099872,1
15.048973594,0
15.048984994,1
15.082850764,0
15.082862002,1
15.116727244,0
15.116739432,1
15.150628522,0
15.150640236,1
15.184600646,0
15.184612258,1
15.218505132,0
15.218517444,1
15.252416580,0
15.252428118,1
15.286342470,0
15.286354242,1
15.320262318,0
15.320274282,1
15.354233480,0
15.354244996,1
15.388043064,0
15.388054858,1
15.421966472,0
15.421977922,1
15.455896778,0
15.455908546,1
15.489711964,0
15.489723786,1
15.523631146,0
15.523642806,1
15.557475494,0
15.557486682,1
15.591353022,0
15.591364614,1
15.625251588,0
15.625263322,1
15.659055770,0
15.659067370,1
15.693004822,0
15.693016798,1
15.726881146,0
15.726891614,1
15.760759320,0
15.760770488,1
15.794719040,0
15.794730736,1
15.828640200,0
15.828651372,1
15.862477846,0
15.862490046,1
15.896377206,0
15.896389106,1
15.930343214,0
15.930354964,1
15.964266288,0
15.964277634,1
15.998259704,0
15.998271712,1
16.032266374,0
16.032277858,1
16.066148718,0
16.066160594,1
16.100075820,0
16.100087534,1
16.133962048,0
16.133974240,1
16.167923684,0
16.167935248,1
16.201854180,0
16.201866034,1
16.235755636,0
16.235767242,1
16.269737756,0
16.269748644,1
16.303595034,0
16.303606740,1
16.337470258,0
16.337482188,1
16.371348502,0
16.371359762,1
16.405256272,0
16.405268598,1
16.439103092,0
16.439114892,1
16.472939620,0
16.472951324,1
16.506853584,0
16.506864510,1
16.540765622,0
16.540777160,1
16.574591762,0
16.574603266,1
16.608548714,0
16.608560606,1
16.642467918,0
16.642479534,1
16.676389116,0
16.676400842,1
16.710230306,0
16.710242182,1
16.744050346,0
16.744061526,1
16.777972440,0
16.777984646,1
16.811840144,0
16.811851848,1
16.845761088,0
16.845772876,1
16.879608398,0
16.879620078,1
16.913514202,0
16.913526756,1
16.947357062,0
16.947369142,1
16.981223548,0
16.981235346,1
17.015133760,0
17.015145006,1
17.048983054,0
17.048995434,1
17.082882578,0
17.082893992,1
17.116766576,0
17.116778356,1
17.150764550,0
17.150776338,1
17.184601282,0
17.184613046,1
17.218468530,0
17.218480822,1
17.252385016,0
17.252396742,1
17.286215632,0
17.286227512,1
17.320172222,0
17.320184136,1
17.354093732,0
17.354105684,1
17.387971168,0
17.387982662,1
17.421857154,0
17.421869788,1
17.455763066,0
17.455774588,1
17.489685472,0
17.489696890,1
17.523614314,0
17.523626268,1
17.557480024,0
17.557492038,1
17.591300948,0
17.591312298,1
17.625228264,0
17.625239564,1
17.659133566,0
17.659144774,1
17.693010772,0
17.693022540,1
17.726847020,0
17.726858222,1
17.760759702,0
17.760771382,1
17.794610556,0
17.794621918,1
17.828510638,0
17.828522334,1
17.862398502,0
17.862409566,1
17.896359934,0
17.896371728,1
17.930258466,0
17.930270680,1
17.964134648,0
17.964146612,1
17.998098194,0
17.998110444,1
18.032022296,0
18.032033610,1
18.066023020,0
18.066034808,1
18.099970770,0
18.099983366,1
18.133854238,0
18.133865980,1
18.167720342,0
18.167731708,1
18.201608410,0
18.201620148,1
18.235537592,0
18.235549594,1
18.269522146,0
18.269534234,1
18.303515508,0
18.303526834,1
18.337362244,0
18.337373802,1
18.371257558,0
18.371268834,1
18.405221654,0
18.405233788,1
18.439138170,0
18.439149790,1
18.473009102,0
18.473020976,1
18.506896858,0
18.506909096,1
18.540852912,0
18.540864446,1
18.574802898,0
18.574814598,1
18.608734492,0
18.608746398,1
18.642638074,0
18.642649704,1
18.676476610,0
18.676487948,1
18.710353268,0
18.710364302,1
18.744324438,0
18.744336234,1
18.778263378,0
18.778275446,1
18.812137314,0
18.812148818,1
18.845974904,0
18.845986650,1
18.879893820,0
18.879905328,1
18.913773056,0
18.913784672,1
18.947602188,0
18.947614050,1
18.981517732,0
18.981529520,1
19.015386698,0
19.015398372,1
19.049262742,0
19.049274250,1
19.083185428,0
19.083197478,1
19.117104080,0
19.117115918,1
19.151015900,0
19.151027800,1
19.184851222,0
19.184863028,1
19.218726866,0
19.218738476,1
19.252612644,0
19.252624782,1
19.286557138,0
19.286576294,1
19.320488896,0
