Time [s],Channel 0
0.000080562,1
0.010311256,0
0.020620528,1
0.152031866,0
0.162287928,1
0.293636148,0
0.303996650,1
0.435442938,0
0.445707592,1
0.577089480,0
0.587328770,1
0.718732596,0
0.728947450,1
0.860431022,0
0.869919278,1
1.001339930,0
1.011622138,1
1.142997942,0
1.153345584,1
1.284813122,0
1.295060210,1
1.426347844,0
1.436763544,1
1.568235848,0
1.578710044,1
1.710010052,0
1.720319002,1
1.851670626,0
1.862022718,1
1.993395256,0
2.003711918,1
2.135118252,0
2.145406884,1
2.276838088,0
2.287112626,1
2.418515946,0
2.428845924,1
2.560181248,0
2.570219188,1
2.701578728,0
2.711857456,1
2.843280104,0
2.853504498,1
2.984848040,0
2.995201100,1
3.126622658,0
3.136871936,1
3.268273752,0
3.278434672,1
3.409814050,0
3.420123888,1
3.551564832,0
3.561834356,1
3.693142228,0
3.703460732,1
3.834775536,0
3.845181270,1
3.976659624,0
3.986855528,1
4.118296102,0
4.128537114,1
4.259758420,0
4.270371812,1
4.401611264,0
4.411196488,1
4.542691302,0
4.552919264,1
4.684252672,0
4.694628034,1
4.826097902,0
4.836336336,1
4.967695296,0
4.978784276,1
5.110113182,0
5.120603666,1
5.251947814,0
5.262317630,1
5.393738804,0
5.404074362,1
5.535375178,0
5.545755416,1
5.677096916,0
5.687179870,1
5.818651228,0
5.828865176,1
5.960160530,0
5.970236720,1
6.101611278,0
6.111867238,1
6.243341180,0
6.253254632,1
6.384605656,0
6.394933954,1
6.526325498,0
6.536633018,1
6.668116762,0
6.678684828,1
6.810048816,0
6.820380658,1
6.951753726,0
6.962150096,1
7.093495838,0
7.103837666,1
7.235222800,0
7.245448304,1
7.376834504,0
7.387109708,1
7.518545766,0
7.528567928,1
7.659947562,0
7.670217032,1
7.801614712,0
7.811898774,1
7.943405020,0
7.953585018,1
8.084918146,0
8.095296892,1
8.226660696,0
8.236958298,1
8.368387300,0
8.378682008,1
8.510000052,0
8.520320162,1
8.651668798,0
8.661976406,1
8.793386550,0
8.803670386,1
8.935014690,0
8.945371690,1
9.076748854,0
9.087072610,1
9.218511708,0
9.228769070,1
9.360135714,0
9.370277490,1
9.501632178,0
9.511991320,1
9.643434228,0
9.653648952,1
9.784989648,0
9.795318888,1
9.926662720,0
9.936778630,1
10.068202130,0
10.078756108,1
10.210182716,0
10.220490464,1
10.351795578,0
10.362139602,1
10.493503258,0
10.503929452,1
10.635312532,0
10.645663638,1
10.777102076,0
10.787387450,1
10.918832292,0
10.929104278,1
11.060362910,0
11.069803970,1
11.201157320,0
11.211461310,1
11.342866238,0
11.353115174,1
11.484390962,0
11.494820848,1
11.626235434,0
11.636542344,1
11.767956460,0
11.778533764,1
11.909877162,0
11.920211980,1
12.051618188,0
12.061852426,1
12.193168808,0
12.203501276,1
12.334790116,0
12.345175798,1
12.476550860,0
12.486839396,1
12.618226976,0
12.628745084,1
12.760066234,0
12.770225274,1
12.901682102,0
12.912014358,1
13.043515172,0
13.053747256,1
13.185055854,0
13.194900718,1
13.326367950,0
13.336623640,1
13.468031596,0
13.478562882,1
13.609922580,0
13.620275244,1
13.751696342,0
13.761462870,1
13.892842596,0
13.903198436,1
14.034649362,0
14.044876314,1
14.176177046,0
14.186380018,1
14.317832764,0
14.328096552,1
14.459401302,0
14.469272840,1
14.600641042,0
14.610886028,1
14.742319762,0
14.752256126,1
14.883662520,0
14.893932212,1
15.025450214,0
15.035709316,1
15.167150962,0
15.177213896,1
15.308511494,0
15.318921336,1
15.450298166,0
15.460637260,1
15.592121538,0
15.602374556,1
15.733720410,0
15.744085882,1
15.875412598,0
15.885501612,1
16.016973640,0
16.027172642,1
16.158550016,0
16.168914184,1
16.300356428,0
16.310629764,1
16.442050366,0
16.452255492,1
16.583630362,0
16.593598820,1
16.725069598,0
16.735284166,1
16.866727356,0
16.877211774,1
17.008533114,0
17.018893774,1
17.150210302,0
17.160620620,1
17.292085616,0
17.302346458,1
17.433678604,0
17.444032454,1
17.575493894,0
17.585686394,1
17.717150580,0
17.727173296,1
17.858532398,0
17.868857482,1
18.000305400,0
18.010540638,1
18.142021002,0
18.152188098,1
18.283590440,0
18.293837590,1
18.425288670,0
18.435369524,1
18.566794760,0
18.577208570,1
18.708498224,0
18.718872712,1
18.850302612,0
18.860008352,1
18.991398112,0
19.001764404,1
19.133084112,0
19.143422704,1
19.274785770,0
19.285084780,1
19.416519384,0
19.426757580,1
19.558068340,0
19.568367316,1
19.699734046,0
19.710083662,1
19.841514724,0
19.851780194,1
19.983136196,0
19.993466934,1
20.124688460,0
20.133712678,1
20.265054842,0
20.275321918,1
20.406648068,0
20.416955824,1
20.548317150,0
20.558617230,1
20.690059608,0
20.700467824,1
20.831794918,0
20.841635418,1
20.973083000,0
20.983363034,1
21.114820004,0
21.125038908,1
21.256247106,0
21.266694342,1
21.397937332,0
21.407831932,1
21.539254598,0
21.549588902,1
21.680858404,0
21.691258240,1
21.822691872,0
21.832995926,1
21.964360800,0
21.973938324,1
22.105240128,0
22.115648766,1
22.247018174,0
22.257280066,1
22.388802402,0
22.398995882,1
22.530304332,0
22.540681808,1
22.672084040,0
22.682431108,1
22.813878970,0
22.824018346,1
22.955421842,0
22.965676022,1
23.097082638,0
23.107373210,1
23.238799168,0
23.248877628,1
23.380139406,0
23.390483178,1
23.521992428,0
23.532233684,1
23.663675300,0
23.674251552,1
23.805624264,0
23.815988256,1
23.947391406,0
23.957677378,1
24.089046414,0
24.099325368,1
24.230707130,0
24.241040272,1
24.372455346,0
24.382579138,1
24.514118018,0
24.524312902,1
24.655715522,0
24.666057398,1
24.797442152,0
24.807734748,1
24.939059982,0
24.949375338,1
25.080705000,0
25.091105146,1
25.222557092,0
25.232819392,1
25.364264448,0
