Time [s],Channel 0
0.000080562,1
0.077075492,0
0.086882354,1
0.170347482,0
0.180722586,1
0.264065816,0
0.274344682,1
0.357840186,0
0.367736772,1
0.451230138,0
0.461115950,1
0.544546546,0
0.553944026,1
0.637412884,0
0.647329666,1
0.730876044,0
0.740698360,1
0.824205930,0
0.834056162,1
0.917534574,0
0.927451568,1
1.010969484,0
1.020835804,1
1.104333936,0
1.114203248,1
1.197621118,0
1.207535276,1
1.291077988,0
1.300958084,1
1.384450190,0
1.394357598,1
1.477844526,0
1.487733822,1
1.571178204,0
1.580799558,1
1.664229248,0
1.673843408,1
1.757344894,0
1.767250690,1
1.850713372,0
1.860629416,1
1.944088820,0
1.953907518,1
2.037450854,0
2.047369712,1
2.130757536,0
2.140597748,1
2.224061058,0
2.233965840,1
2.317483876,0
2.327403664,1
2.410848312,0
2.420778024,1
2.504206754,0
2.514125112,1
2.597627268,0
2.607475346,1
2.690933556,0
2.700846154,1
2.784254364,0
2.794415490,1
2.877852844,0
2.887737184,1
2.971257906,0
2.980667762,1
3.064203662,0
3.073707764,1
3.157189718,0
3.167053034,1
3.250611504,0
3.260495432,1
3.343988406,0
3.353860056,1
3.437220536,0
3.447185936,1
3.530676338,0
3.540669188,1
3.624160612,0
3.634093964,1
3.717606434,0
3.727488454,1
3.810986648,0
3.820906210,1
3.904311394,0
3.914221172,1
3.997726382,0
4.007613306,1
4.091050642,0
4.101013636,1
4.184557776,0
4.194396440,1
4.277900830,0
4.287764608,1
4.371304926,0
4.380628988,1
4.464078290,0
4.473742528,1
4.557263800,0
4.567103352,1
4.650537566,0
4.660848194,1
4.744353632,0
4.754250880,1
4.837696150,0
4.847607746,1
4.931042070,0
4.940946280,1
5.024513092,0
5.034340654,1
5.117823652,0
5.127720064,1
5.211209512,0
5.220561008,1
5.304081774,0
5.313978706,1
5.397505070,0
5.407367344,1
5.490811230,0
5.500699424,1
5.584173930,0
5.594117220,1
5.677587510,0
5.687482174,1
5.770955388,0
5.780710178,1
5.864238704,0
5.873726886,1
5.957202790,0
5.967142930,1
6.050583790,0
6.060473434,1
6.143990688,0
6.153837858,1
6.237345392,0
6.247220884,1
6.330749440,0
6.340602916,1
6.424128400,0
6.434013148,1
6.517511272,0
6.527313676,1
6.610824266,0
6.620670506,1
6.704075310,0
6.714045962,1
6.797473198,0
6.807328410,1
6.890872304,0
6.900741872,1
6.984236892,0
6.994101774,1
7.077582490,0
7.087456042,1
7.170879360,0
7.181390568,1
7.264864914,0
7.274726656,1
7.358254844,0
7.368148054,1
7.451634088,0
7.461498008,1
7.544953388,0
7.554821370,1
7.638356872,0
7.648226004,1
7.731755076,0
7.741069610,1
7.824540104,0
7.834444556,1
7.917993832,0
7.927807642,1
8.011359940,0
8.021256492,1
8.104724326,0
8.114597066,1
8.198123046,0
8.208012012,1
8.291426150,0
8.301377588,1
8.384868368,0
8.394753700,1
8.478216396,0
8.488134172,1
8.571612894,0
8.581722230,1
8.665197480,0
8.674767138,1
8.758168134,0
8.768181704,1
8.851732370,0
8.861620434,1
8.945075454,0
8.954961918,1
9.038461222,0
9.048275150,1
9.131723320,0
9.141594812,1
9.225081924,0
9.235020342,1
9.318457508,0
9.328301606,1
9.411694130,0
9.421615514,1
9.505132618,0
9.514971744,1
9.598471702,0
9.608374628,1
9.691792726,0
9.701466740,1
9.784944376,0
9.794838048,1
9.878392764,0
9.888256882,1
9.971758438,0
9.981694436,1
10.065204068,0
10.074729968,1
10.158300492,0
10.168157990,1
10.251593414,0
10.260917042,1
10.344321724,0
10.354231380,1
10.437683466,0
10.447593572,1
10.531125934,0
10.540984492,1
10.624517004,0
10.634367938,1
10.717863962,0
10.727697288,1
10.811130736,0
10.821031324,1
10.904534534,0
10.914424758,1
10.997883280,0
11.007745302,1
11.091208582,0
11.101084068,1
11.184624190,0
11.194478994,1
11.277985784,0
11.287901160,1
11.371321620,0
11.380790462,1
11.464294876,0
11.473699534,1
11.557186152,0
11.567099724,1
11.650595390,0
11.660421704,1
11.743807014,0
11.753743724,1
11.837135394,0
11.847066466,1
11.930656464,0
11.940493444,1
12.023964778,0
12.033853770,1
12.117310874,0
12.127165264,1
12.210573260,0
12.220938712,1
12.304530308,0
12.314391068,1
12.397931312,0
12.407760326,1
12.491259610,0
12.501142482,1
12.584615452,0
12.594468048,1
12.678008648,0
12.687848724,1
12.771394428,0
12.780629072,1
12.864094834,0
12.873783980,1
12.957233442,0
12.967135514,1
13.050607492,0
13.060511606,1
13.143943196,0
13.153900698,1
13.237363342,0
13.247231134,1
13.330770588,0
13.340621480,1
13.424158574,0
13.434029996,1
13.517497608,0
13.527355384,1
13.610840724,0
13.620720378,1
13.704221806,0
13.714163382,1
13.797680640,0
13.807555070,1
13.891023780,0
13.900957840,1
13.984479846,0
13.994327596,1
14.077858368,0
14.087731254,1
14.171268792,0
14.180721614,1
14.264239078,0
14.273758440,1
14.357259808,0
14.367185538,1
14.450632286,0
14.460544408,1
14.543902596,0
14.553809498,1
14.637256990,0
14.647090778,1
14.730591534,0
14.740943664,1
14.824473534,0
14.834368106,1
14.917882428,0
14.927754466,1
15.011226892,0
15.021124048,1
15.104579056,0
15.114505220,1
15.197968480,0
15.207906098,1
15.291377444,0
15.300754886,1
15.384218258,0
15.394081220,1
15.477628514,0
15.487538536,1
15.571034274,0
15.580742804,1
15.664204998,0
15.673844184,1
15.757393494,0
15.767261642,1
15.850745564,0
15.860631510,1
15.944158470,0
15.953989166,1
16.037464860,0
16.047440032,1
16.130882750,0
16.140791612,1
16.224123434,0
16.234104006,1
16.317618020,0
16.327509958,1
16.411040576,0
16.420879244,1
16.504355474,0
16.514244588,1
16.597717018,0
16.607552094,1
16.691002400,0
16.700886488,1
16.784387994,0
16.794291532,1
16.877746124,0
16.887605880,1
16.971122560,0
16.980781914,1
17.064224262,0
17.073782374,1
17.157272468,0
17.167079072,1
17.250543232,0
17.260751560,1
17.344281022,0
17.354173186,1
17.437659028,0
17.447534312,1
17.531004300,0
17.540879680,1
17.624362356,0
17.634230278,1
17.717769728,0
17.727625982,1
17.811094384,0
17.820482128,1
17.903981108,0
17.913887494,1
17.997392094,0
18.007254994,1
18.090730474,0
18.100599574,1
18.184185796,0
18.193989960,1
18.277446702,0
18.287385128,1
18.370886886,0
18.380803236,1
18.464288834,0
18.473705058,1
18.557179466,0
18.567058030,1
18.650516292,0
18.660327026,1
18.743872594,0
18.753673174,1
18.837094516,0
18.846986120,1
18.930484846,0
18.940353088,1
19.023886364,0
19.033693298,1
19.117092484,0
19.127033120,1
19.210543932,0
19.220441158,1
19.303903350,0
19.313741238,1
19.397232376,0
19.407084868,1
19.490607990,0
19.500451070,1
19.583930324,0
19.593769850,1
19.677313542,0
19.687186660,1
19.770527560,0
19.781059470,1
19.864515292,0
19.874805244,1
19.958214824,0
19.968032892,1
20.051465000,0
20.061353702,1
20.144904974,0
20.154727312,1
20.238149500,0
20.247999372,1
20.331526726,0
20.340792742,1
20.424245818,0
20.434167378,1
20.517687704,0
20.527577170,1
20.611168102,0
20.621040398,1
20.704503948,0
20.714423974,1
20.797835092,0
20.807815030,1
20.891232182,0
20.901138478,1
20.984686104,0
20.994532056,1
21.077983248,0
21.087908640,1
21.171375958,0
21.180851574,1
21.264339738,0
21.273789384,1
21.357175938,0
21.367062352,1
21.450492870,0
21.460383442,1
21.543917838,0
21.553753164,1
21.637271982,0
21.647112770,1
21.730647550,0
21.740510138,1
21.824086034,0
21.833870636,1
21.917367048,0
21.927230170,1
22.010747664,0
22.020656830,1
22.104100098,0
22.114028654,1
22.197546734,0
22.207413542,1
22.290842448,0
22.301209018,1
22.384644802,0
22.394576098,1
22.478134950,0
22.487972850,1
22.571464898,0
22.581758362,1
22.665301114,0
22.674768960,1
22.758238174,0
22.768177900,1
22.851745810,0
22.861068300,1
22.944539032,0
22.954418616,1
23.037889616,0
23.047766196,1
23.131276688,0
23.141150888,1
23.224656746,0
23.234495272,1
23.318038196,0
23.327926990,1
23.411368734,0
23.421284280,1
23.504780460,0
23.514627164,1
23.598188918,0
23.608032264,1
23.691583760,0
23.701414552,1
23.784854214,0
23.794792130,1
23.878281976,0
23.888155280,1
23.971675410,0
23.981703972,1
24.065179272,0
24.074726248,1
24.158139576,0
24.168015872,1
24.251431888,0
24.261337228,1
24.344719848,0
24.354622310,1
24.438197890,0
24.448012624,1
24.531516082,0
24.541374454,1
24.624909712,0
24.634775596,1
24.718297592,0
24.728178004,1
24.811559254,0
24.821961670,1
24.905432658,0
24.915307120,1
24.998759812,0
25.008685800,1
25.092127334,0
25.102039542,1
25.185500048,0
25.195344674,1
25.278917994,0
25.288777624,1
25.372310170,0
25.381619754,1
25.465028542,0
25.474896712,1
25.558379830,0
25.568356328,1
25.651929220,0
25.661844962,1
25.745385668,0
