Time [s],Channel 0
0.000080562,1
0.002082166,0
0.006251518,1
0.026400734,0
0.030610968,1
0.050791172,0
0.054990828,1
0.075164404,0
0.079341840,1
0.099449838,0
0.103623054,1
0.123726816,0
0.127903560,1
0.148027764,0
0.152175452,1
0.172301522,0
0.176444906,1
0.196588306,0
0.200785820,1
0.220915690,0
0.225105524,1
0.245291084,0
0.249476642,1
0.269629914,0
0.273826856,1
0.293837418,0
0.298596700,1
0.318778334,0
0.322968376,1
0.343083350,0
0.347257218,1
0.367416772,0
0.371620978,1
0.391790990,0
0.395991942,1
0.416152866,0
0.420356030,1
0.440462488,0
0.444657618,1
0.464779202,0
0.468967610,1
0.489152706,0
0.493350578,1
0.513541562,0
0.517731858,1
0.537852708,0
0.542056126,1
0.562228442,0
0.566429548,1
0.586583032,0
0.590780490,1
0.610928478,0
0.615121408,1
0.635279178,0
0.639484534,1
0.659576768,0
0.663763580,1
0.683888176,0
0.688042414,1
0.708209556,0
0.712413070,1
0.732529416,0
0.736722408,1
0.756821674,0
0.761031808,1
0.781166354,0
0.786054966,1
0.806193458,0
0.810375638,1
0.830543384,0
0.834715354,1
0.854827296,0
0.859035280,1
0.879179102,0
0.883364744,1
0.903508620,0
0.907693840,1
0.927834370,0
0.932015054,1
0.952154178,0
0.956357858,1
0.976464588,0
0.980655346,1
1.000792360,0
1.004983340,1
1.025085690,0
1.029293294,1
1.049428912,0
1.053631996,1
1.073792990,0
1.077983138,1
1.098014050,0
1.102195614,1
1.122340700,0
1.126545372,1
1.146654806,0
1.150874952,1
1.171030878,0
1.175224266,1
1.195418028,0
1.199603492,1
1.219792884,0
1.223996512,1
1.244078750,0
1.248276368,1
1.268406456,0
1.272606332,1
1.292781002,0
1.296985370,1
1.317091806,0
1.321294040,1
1.341462104,0
1.345646116,1
1.365804726,0
1.370008088,1
1.390168718,0
1.394348768,1
1.414466656,0
1.418668652,1
1.438837640,0
1.443014962,1
1.463133806,0
1.467333504,1
1.487467090,0
1.491643112,1
1.511794258,0
1.515990862,1
1.536079646,0
1.540289838,1
1.560377050,0
1.564569472,1
1.584670384,0
1.588910106,1
1.609087706,0
1.613288170,1
1.633461924,0
1.637659040,1
1.657805420,0
1.662017212,1
1.682157562,0
1.686316472,1
1.706463130,0
1.710643392,1
1.730759942,0
1.734952218,1
1.755056372,0
1.759283552,1
1.779431914,0
1.783643524,1
1.803795268,0
1.807975606,1
1.828088064,0
1.832265986,1
1.852330216,0
1.856536494,1
1.876681924,0
1.880855812,1
1.900891732,0
1.905077996,1
1.925218396,0
1.929399828,1
1.949557016,0
1.953752276,1
1.973919896,0
1.978112400,1
1.998282460,0
2.002460476,1
2.022588934,0
2.026801640,1
2.046964002,0
2.051149598,1
2.071294948,0
2.075509370,1
2.095634936,0
2.099836582,1
2.120045690,0
2.124235532,1
2.144344358,0
