Time [s],Channel 0
0.000080562,1
0.018492776,0
0.023451766,1
0.042376104,0
0.046511982,1
0.065499736,0
0.069843340,1
0.088869244,0
0.093845358,1
0.112869934,0
0.117813110,1
0.136821306,0
0.141775588,1
0.160722788,0
0.165679960,1
0.184696236,0
0.189685822,1
0.208696022,0
0.213661402,1
0.232657524,0
0.237613172,1
0.256625622,0
0.261596720,1
0.280620602,0
0.285618754,1
0.304570734,0
0.309490278,1
0.328446678,0
0.333405534,1
0.352408054,0
0.357407828,1
0.376408036,0
0.381402842,1
0.400446726,0
0.405365694,1
0.424271240,0
0.428563064,1
0.447532564,0
0.451547412,1
0.470619912,0
0.475543098,1
0.494572324,0
0.499519900,1
0.518521046,0
0.523524810,1
0.542530118,0
0.547489320,1
0.566493774,0
0.571450260,1
0.590445806,0
0.595412690,1
0.614409724,0
0.619375606,1
0.638377310,0
0.643345652,1
0.662322040,0
0.667297116,1
0.686370088,0
0.691338752,1
0.710371136,0
0.715359792,1
0.734377362,0
0.739365106,1
0.758377218,0
0.763340950,1
0.782377170,0
0.787352384,1
0.806377410,0
0.811354336,1
0.830376840,0
0.835348538,1
0.854370614,0
0.859374636,1
0.878383552,0
0.883337270,1
0.902323124,0
0.907288772,1
0.926323248,0
0.931299800,1
0.950272562,0
0.955211018,1
0.974128038,0
0.978914314,1
0.997910918,0
1.002835870,1
1.021872106,0
1.026808538,1
1.045823300,0
1.050799606,1
1.069823706,0
1.074809840,1
1.093873012,0
1.098860284,1
1.117878056,0
1.122871578,1
1.141877870,0
1.146831422,1
1.165877096,0
1.170872590,1
1.189878210,0
1.194832662,1
1.213824382,0
1.218762730,1
1.237773362,0
1.242762940,1
1.261785964,0
1.266762950,1
1.285787066,0
1.290765192,1
1.309787288,0
1.314780702,1
1.333684540,0
1.338107040,1
1.357129714,0
1.362120944,1
1.381123532,0
1.386103758,1
1.405128930,0
1.410114736,1
1.429129930,0
1.434097140,1
1.453129608,0
1.458079688,1
1.477148700,0
1.482103360,1
1.501130294,0
1.506117474,1
1.525123770,0
1.530082654,1
1.549149592,0
1.554125040,1
1.573130198,0
1.578119812,1
1.597130410,0
1.602084708,1
1.621129954,0
1.626099402,1
1.645075768,0
1.650022332,1
1.669038048,0
1.673986720,1
1.693025344,0
1.697997942,1
1.717006024,0
1.722001080,1
1.741005334,0
1.745981778,1
1.765005886,0
1.769986382,1
1.789025286,0
1.793991504,1
1.813005782,0
1.818005076,1
1.837004968,0
1.841967302,1
1.860938818,0
1.865071576,1
1.884076066,0
1.888754866,1
1.907789474,0
1.912777126,1
1.931789234,0
1.936768944,1
1.955789046,0
1.960769570,1
1.979788848,0
1.984771070,1
2.003756132,0
2.008724916,1
2.027754720,0
2.032696546,1
2.051756346,0
2.056712084,1
2.075756776,0
2.080735670,1
2.099751444,0
2.104710098,1
2.123702314,0
2.128653774,1
2.147687536,0
2.152679358,1
2.171702540,0
2.176684064,1
2.195702858,0
2.200678288,1
2.219750762,0
2.224751244,1
2.243664626,0
2.248125892,1
2.267131028,0
2.272109868,1
2.291119800,0
2.296093284,1
2.315132842,0
2.320109190,1
2.339131234,0
2.344121910,1
2.363132426,0
2.368113740,1
2.387132926,0
2.392097358,1
2.411133106,0
2.416119554,1
2.435131748,0
2.440102888,1
2.459100820,0
2.464054396,1
2.483077444,0
2.488076626,1
2.507079178,0
2.512029438,1
2.531040696,0
2.535993168,1
2.555008200,0
2.559986502,1
2.579007934,0
2.583979364,1
2.603008568,0
2.607952786,1
2.626954380,0
2.631904118,1
2.650916138,0
2.655907248,1
2.674916864,0
2.679897598,1
2.698829314,0
2.703738752,1
2.722758800,0
2.727700918,1
2.746705722,0
2.751650964,1
2.770592918,0
2.774690536,1
2.793704764,0
2.798393948,1
2.817404392,0
2.822398670,1
2.841330164,0
2.846268564,1
2.865292180,0
2.870258306,1
2.889233068,0
2.894191010,1
2.913253692,0
2.917260616,1
2.936259334,0
2.941230794,1
2.960205234,0
2.965201612,1
2.984205894,0
2.988220846,1
3.007187894,0
3.012135320,1
3.031134826,0
3.036078898,1
3.055080590,0
3.060033670,1
3.079042664,0
3.084016990,1
3.103043060,0
3.107968364,1
3.126955600,0
3.131932010,1
3.150792546,0
3.155588834,1
3.174580970,0
3.179502192,1
3.198510820,0
3.203472488,1
3.222510712,0
3.227495988,1
3.246504874,0
3.251487480,1
3.270483820,0
3.275440686,1
3.294505318,0
3.299460936,1
3.318509636,0
3.323476420,1
3.342511130,0
3.347488520,1
3.366511272,0
3.371480060,1
3.390511150,0
3.395482906,1
3.414457318,0
3.419457902,1
3.438456970,0
3.443439848,1
3.462457438,0
3.467445126,1
3.486456608,0
3.491398046,1
3.510420482,0
3.515403642,1
3.534392220,0
3.539345942,1
3.558386748,0
3.563337754,1
3.582386192,0
3.587383094,1
3.606420034,0
3.611379410,1
3.630387550,0
3.635375114,1
3.654406612,0
3.659381646,1
3.678386128,0
3.682392602,1
3.701332744,0
3.706086378,1
3.725082040,0
3.730060494,1
3.749045006,0
3.754033956,1
3.773045534,0
3.778039986,1
3.796958112,0
3.801945680,1
3.820958796,0
3.825940838,1
3.844958856,0
3.849927462,1
3.868920122,0
3.873884382,1
3.892907784,0
3.897850664,1
3.916888722,0
3.921882968,1
3.940887880,0
3.945888588,1
3.964907574,0
3.969870208,1
3.988833194,0
3.993811850,1
4.012796356,0
4.017763016,1
4.036763722,0
4.041709006,1
4.060638700,0
4.065075382,1
4.084084588,0
4.089061472,1
4.108084058,0
4.113073752,1
4.132032278,0
4.136997000,1
4.156013690,0
4.160021062,1
4.179046206,0
4.184015524,1
4.202941518,0
4.207888398,1
4.226887874,0
4.231863572,1
4.250889528,0
4.255870370,1
4.274889878,0
4.279886316,1
4.298889130,0
4.303869098,1
4.322889376,0
4.327831122,1
4.346816548,0
4.351763634,1
4.370797740,0
4.375776520,1
4.394797172,0
4.399771868,1
4.418796888,0
4.423769018,1
4.442765360,0
4.447751874,1
4.466765080,0
4.471733632,1
4.490737824,0
4.495697192,1
4.514710810,0
4.519698324,1
4.538692322,0
4.543643070,1
4.562639266,0
4.567607514,1
4.586640620,0
4.591593130,1
4.610533518,0
4.615301148,1
4.634298520,0
4.639225588,1
4.658192626,0
4.663140890,1
4.682173784,0
4.687175176,1
4.706260444,0
4.711228216,1
4.730265364,0
4.735261252,1
4.754265734,0
4.759245480,1
4.778265778,0
4.783220858,1
4.802260648,0
4.807235348,1
4.826260530,0
4.831247276,1
4.850265852,0
4.855241736,1
4.874266454,0
4.879246548,1
4.898266524,0
4.903228016,1
