Time [s],Channel 0
0.000080562,1
0.012313004,0
0.022801506,1
0.037886570,0
0.048362880,1
0.063487400,0
0.073993704,1
0.088991746,0
0.099084832,1
0.114187894,0
0.124705086,1
0.139761694,0
0.150308082,1
0.165386098,0
0.175890116,1
0.191011932,0
0.201492912,1
0.216629878,0
0.227144612,1
0.242253882,0
0.252755886,1
0.267754378,0
0.277847970,1
0.292938088,0
0.303448194,1
0.318552406,0
0.329020540,1
0.344110400,0
0.354612206,1
0.369678176,0
0.379883830,1
0.394933426,0
0.405414768,1
0.420486850,0
0.430974964,1
0.446030608,0
0.456566114,1
0.471636830,0
0.481897330,1
0.496985716,0
0.507446654,1
0.522614338,0
0.533137260,1
0.548243528,0
0.558737588,1
0.573864084,0
0.583888828,1
0.599013102,0
0.609550342,1
0.624637216,0
0.635171892,1
0.650236298,0
0.660723142,1
0.675864532,0
0.686354180,1
0.701438994,0
0.711925270,1
0.727029012,0
0.737497242,1
0.752591332,0
0.763107176,1
0.778212200,0
0.788707254,1
0.803736636,0
0.814198270,1
0.829212858,0
0.839303786,1
0.854361902,0
0.864875586,1
0.879939748,0
0.890446582,1
0.905486510,0
0.915997736,1
0.931115160,0
0.941618798,1
0.956755552,0
0.967239920,1
0.982309298,0
0.992820266,1
1.007809336,0
1.018270774,1
1.033388148,0
1.043901408,1
1.058987368,0
1.069492490,1
1.084538786,0
1.095034136,1
1.110112806,0
1.120633590,1
1.135736782,0
1.146244120,1
1.161369106,0
1.171894650,1
1.187013040,0
1.197514196,1
1.212620364,0
1.223146308,1
1.238238790,0
1.248727046,1
1.263815278,0
1.274327458,1
1.289377602,0
1.299857286,1
1.314862944,0
1.325378140,1
1.340413814,0
1.350908662,1
1.365988494,0
1.376899658,1
1.392013886,0
1.402491212,1
1.417619956,0
1.428132520,1
1.443264082,0
1.453774330,1
1.468909600,0
1.479874826,1
1.494941912,0
1.505455734,1
1.520494820,0
1.531037648,1
1.546113030,0
1.556629538,1
1.571632328,0
1.581102578,1
1.596215402,0
1.606725320,1
1.621843394,0
1.632347024,1
1.647389006,0
1.657867348,1
1.672935964,0
1.683908142,1
1.699003544,0
1.709519496,1
1.724632810,0
1.735161042,1
1.750132782,0
1.760592658,1
1.775686372,0
1.786195054,1
1.801264790,0
1.811806000,1
1.826864402,0
1.837377454,1
1.852491752,0
1.862998224,1
1.878129982,0
1.888619154,1
1.903715848,0
1.914229078,1
1.929317236,0
1.939829928,1
1.954890890,0
1.965419412,1
1.980496902,0
1.990999782,1
2.006117702,0
2.016581036,1
2.031648468,0
2.042150560,1
2.057281760,0
2.067789678,1
2.082864592,0
2.093370074,1
2.108442834,0
2.118970028,1
2.134062200,0
2.144581002,1
2.159640030,0
2.170120476,1
2.185192896,0
2.195699548,1
2.210715758,0
2.221200372,1
2.236266982,0
2.246759746,1
2.261868670,0
2.272369308,1
2.287494574,0
2.297939150,1
2.312931706,0
2.323018336,1
2.338116280,0
2.348619560,1
2.363742714,0
2.374249202,1
2.389372072,0
2.399888576,1
2.414993800,0
2.425527518,1
2.440615604,0
2.451116818,1
2.466193966,0
2.476876660,1
2.491836958,0
2.502298800,1
2.517364582,0
2.527848430,1
2.542892102,0
2.553377400,1
2.568493848,0
2.578885828,1
2.593998298,0
2.604524966,1
2.619642164,0
2.630165090,1
2.645248014,0
2.655774952,1
2.670891864,0
2.680854880,1
2.695998000,0
2.706505346,1
2.721619598,0
2.732164950,1
2.747248410,0
2.757784096,1
2.772892072,0
2.782882790,1
2.797998350,0
2.808502730,1
2.823558708,0
2.834072926,1
2.849117032,0
2.859631180,1
