Time [s],Channel 0
0.000080562,1
0.033419076,0
0.038180074,1
0.169449448,0
0.174402036,1
0.305774344,0
0.310596676,1
0.442012122,0
0.446774204,1
0.578089620,0
0.582917218,1
0.714343940,0
0.719125626,1
0.850556550,0
0.855335170,1
0.986635494,0
0.991550864,1
1.122964360,0
1.127823892,1
1.259208050,0
1.263999490,1
1.395297052,0
1.400170330,1
1.531622020,0
1.536378964,1
1.667771120,0
1.672632286,1
1.803985066,0
1.808864166,1
1.940231890,0
1.945026002,1
2.076381246,0
2.081194228,1
2.212428952,0
2.217165846,1
2.348576614,0
2.353376312,1
2.484773328,0
2.489514264,1
2.620910704,0
2.625692070,1
2.757053696,0
2.761905948,1
2.893308728,0
2.898056244,1
3.029351844,0
3.034181108,1
3.165632514,0
3.170396536,1
3.301807412,0
3.306574556,1
3.437947328,0
3.442790384,1
3.574179606,0
3.578955678,1
3.710376128,0
3.715153074,1
3.846424744,0
3.851301696,1
3.982732170,0
3.987480998,1
4.118864336,0
4.123669884,1
4.254875362,0
4.259673572,1
4.391178924,0
4.395895056,1
4.527275734,0
4.532045682,1
4.663351850,0
4.668293356,1
4.799648632,0
4.804489640,1
4.935985606,0
4.940661768,1
5.072066718,0
5.076812512,1
5.208181004,0
5.213051118,1
5.344455694,0
5.349232728,1
5.480630624,0
5.485480576,1
5.616860728,0
5.621705544,1
5.753067928,0
5.757850156,1
5.889213120,0
5.894054702,1
6.025518662,0
6.030275876,1
6.161622390,0
6.166451308,1
6.297860200,0
6.302664294,1
6.434102544,0
6.438780974,1
6.570237508,0
6.575028642,1
6.706319282,0
6.711220144,1
6.842606328,0
6.847366626,1
6.978792532,0
6.983561514,1
7.115025348,0
7.119801792,1
7.251199314,0
7.256039026,1
7.387441484,0
7.392223712,1
7.523654870,0
7.528420856,1
7.659818550,0
7.664656248,1
7.795923922,0
7.800800862,1
7.932118982,0
7.936974660,1
8.068405412,0
8.073136686,1
8.204573850,0
8.209322090,1
8.340453182,0
8.345415578,1
8.476729180,0
8.481615144,1
8.612943778,0
8.617760176,1
8.749112432,0
8.753901554,1
8.885359994,0
8.890089370,1
9.021512450,0
9.026253980,1
9.157534268,0
9.162450726,1
9.293784304,0
9.298715128,1
9.430216856,0
9.434933584,1
9.566266682,0
9.571159872,1
9.702573634,0
9.707318906,1
9.838745960,0
9.843572524,1
9.974882950,0
9.979676394,1
10.111020692,0
10.115768048,1
10.247146938,0
10.251951582,1
10.383233828,0
10.388118772,1
10.519460806,0
10.524319346,1
10.655699168,0
10.660240878,1
10.791669154,0
10.796427468,1
10.927772240,0
10.932542824,1
11.063875896,0
11.068672010,1
11.199971522,0
11.204893454,1
11.336221348,0
11.341051196,1
11.472469316,0
11.477207622,1
11.608462204,0
11.613441024,1
11.744830818,0
11.749597654,1
11.881027998,0
11.885807228,1
12.017256956,0
12.022082084,1
12.153474048,0
12.158287636,1
12.289763660,0
12.294501958,1
12.425833646,0
12.430666348,1
12.562002736,0
12.566868022,1
12.698327110,0
12.703054188,1
12.834429730,0
12.839229860,1
12.970693498,0
12.975540468,1
13.106928472,0
13.111798078,1
13.243061698,0
13.248017266,1
13.379414112,0
13.384203418,1
13.515609168,0
13.520456440,1
13.651730356,0
13.656610358,1
13.788025864,0
13.792828350,1
13.924237982,0
13.929045854,1
14.060398590,0
14.065198220,1
14.196565788,0
14.201414020,1
14.332789554,0
14.337600188,1
14.468869886,0
14.473838912,1
14.605333726,0
14.610052294,1
14.741477952,0
14.746272938,1
14.877580154,0
14.882494260,1
15.013904126,0
15.018733654,1
15.150211612,0
15.154913472,1
15.286210578,0
15.290813812,1
15.422161420,0
15.426992052,1
15.558340612,0
15.563174326,1
15.694580054,0
15.699355494,1
15.830732662,0
15.835592102,1
15.967025188,0
15.971843102,1
16.103179988,0
16.108053694,1
16.239407374,0
16.244201226,1
16.375664486,0
16.380338730,1
16.511731860,0
16.516543670,1
16.647914542,0
16.652724842,1
16.784164590,0
16.788919654,1
16.920178996,0
16.925018360,1
17.056362714,0
17.060594734,1
17.192009484,0
17.196728902,1
17.328050664,0
17.332879492,1
17.464254616,0
17.469063168,1
17.600436262,0
17.605280142,1
17.736561538,0
17.741489952,1
17.872918850,0
17.877748386,1
18.009166088,0
18.013954048,1
18.145280326,0
18.150112702,1
18.281643584,0
18.286336506,1
18.417815332,0
18.422521568,1
18.553919378,0
18.558721716,1
18.690213876,0
18.694876464,1
18.826252240,0
18.831037854,1
18.962365680,0
18.967168722,1
19.098535194,0
19.103385862,1
19.234723880,0
19.239579584,1
19.370809960,0
19.375440214,1
19.506770402,0
19.511649836,1
19.643001470,0
19.647832722,1
19.779150192,0
19.784026802,1
19.915315512,0
19.920304110,1
20.051654094,0
20.056465506,1
20.082508800,1
