Time [s],Channel 0
0.000080562,1
0.010317022,0
0.014519424,1
0.088861900,0
0.093121758,1
0.167377564,0
0.171605534,1
0.245979132,0
0.250208444,1
0.324533326,0
0.328778188,1
0.403113960,0
0.407285002,1
0.481572262,0
0.485767490,1
0.560127888,0
0.564295500,1
0.638644684,0
0.642849506,1
0.717162318,0
0.721341174,1
0.795629870,0
0.799805650,1
0.874072824,0
0.878716968,1
0.953029036,0
0.957244736,1
1.031615336,0
1.035859682,1
1.110229592,0
1.114441116,1
1.188648724,0
1.193525786,1
1.267856190,0
1.272044298,1
1.346379956,0
1.350586824,1
1.424928160,0
1.429106078,1
1.503444090,0
1.507665948,1
1.582022444,0
1.586204974,1
1.660512802,0
1.664696486,1
1.738994830,0
1.743213880,1
1.817511288,0
1.821740898,1
1.896027892,0
1.900280468,1
1.974628550,0
1.978839904,1
2.053168536,0
2.057368536,1
2.131594634,0
2.135827510,1
2.210122058,0
2.214581526,1
2.288831120,0
2.293046662,1
2.367374832,0
2.371586210,1
2.445952696,0
2.450154980,1
2.524474362,0
2.528681690,1
2.603013368,0
2.607252160,1
2.681619740,0
2.685803548,1
2.760116528,0
2.764336688,1
2.838643938,0
2.842888718,1
2.917254190,0
2.921481116,1
2.995781688,0
2.999999024,1
3.074307422,0
3.078543108,1
3.152783922,0
3.157424224,1
3.231818178,0
3.236008644,1
3.310259202,0
3.314442754,1
3.388798886,0
3.392990366,1
3.467289908,0
3.471566062,1
3.545749212,0
3.550693952,1
3.625065780,0
3.629288130,1
3.703626864,0
3.707883364,1
3.782213734,0
3.786642968,1
3.861026622,0
3.865291188,1
3.939614978,0
3.943854470,1
4.018171762,0
4.022388598,1
4.096730664,0
4.100901090,1
4.175253950,0
4.179435822,1
4.253742790,0
4.257979016,1
4.332282030,0
4.336512948,1
4.410893962,0
4.415080392,1
4.489368382,0
4.493640068,1
4.567996800,0
4.572218784,1
4.646461656,0
4.650755018,1
4.725081454,0
4.729339316,1
4.803652854,0
4.807881410,1
4.882182452,0
4.886799074,1
4.961161288,0
4.965333438,1
5.039687784,0
5.043904172,1
5.118266172,0
5.122445560,1
5.196707044,0
5.200941798,1
5.275248030,0
5.279505694,1
5.353873260,0
5.358077876,1
5.432378218,0
5.436603598,1
5.510879292,0
5.515037784,1
5.589344404,0
5.593599204,1
5.667885096,0
5.672114354,1
5.746357166,0
5.750441536,1
5.824769164,0
5.828950684,1
5.903256184,0
5.907537646,1
5.981831378,0
5.986092840,1
6.060395584,0
6.064591492,1
6.138935624,0
6.143150724,1
6.217375898,0
6.221433218,1
6.295746890,0
6.299987970,1
6.374403118,0
6.378647076,1
6.452979920,0
6.457178532,1
6.531515612,0
6.535762658,1
6.610105080,0
6.614307084,1
6.688627448,0
6.692919368,1
6.767234266,0
6.771460460,1
6.845745836,0
6.849969252,1
6.924310162,0
6.928490808,1
7.002804316,0
7.007052490,1
7.081391454,0
7.085641978,1
7.159895254,0
7.164116862,1
7.238448058,0
7.242667190,1
7.316995024,0
7.321210668,1
7.395507176,0
7.399744218,1
7.474042288,0
7.478261754,1
7.552560824,0
7.557174914,1
7.631533446,0
7.635729824,1
7.709919302,0
7.714398608,1
7.788760682,0
7.792978086,1
7.867305542,0
7.871559576,1
7.945862424,0
7.950099740,1
8.024408568,0
8.028633380,1
8.102890382,0
8.107112074,1
8.181437192,0
8.185644070,1
8.259946260,0
8.264140306,1
8.338411448,0
8.342601128,1
8.416871050,0
8.421132132,1
8.495468376,0
8.499681146,1
8.574014778,0
8.578183702,1
8.652526262,0
8.656731770,1
8.730985992,0
8.735243128,1
8.809587284,0
8.813796262,1
8.888018676,0
8.892092374,1
8.966422834,0
8.970649874,1
9.044955354,0
9.049136546,1
9.123447346,0
9.127637042,1
9.201931092,0
9.206173528,1
9.280510974,0
9.284685670,1
9.359088482,0
9.363209136,1
9.437511406,0
9.441763430,1
9.516126422,0
9.520376210,1
9.594709780,0
9.598895142,1
9.673171378,0
9.677397756,1
9.751649460,0
9.755903384,1
9.830154568,0
9.834417546,1
9.908745366,0
9.912951898,1
9.987309406,0
9.991539092,1
10.065871896,0
10.070086746,1
10.144403602,0
10.148660880,1
10.222975100,0
10.227413238,1
10.301774736,0
10.306222712,1
10.380509588,0
10.384786746,1
10.459052790,0
10.463286364,1
10.537540254,0
10.541818894,1
10.616132706,0
10.620376184,1
10.694745382,0
10.698953440,1
10.773286166,0
10.777510406,1
10.851857458,0
10.856048516,1
10.930419196,0
10.934699608,1
11.009036226,0
11.013233784,1
11.087631560,0
11.091848734,1
11.166165488,0
11.170367300,1
11.244677026,0
11.248881262,1
11.323171226,0
11.327409258,1
11.401766166,0
11.405942024,1
11.480272574,0
11.484504054,1
11.558864066,0
11.563233978,1
11.637490786,0
11.641709478,1
11.716007380,0
11.720222810,1
11.794500818,0
11.798669508,1
11.873024308,0
11.877238532,1
11.951554790,0
11.955805160,1
12.030134544,0
12.034372342,1
12.108653554,0
12.112933262,1
12.187248498,0
12.191497106,1
12.265725256,0
12.270644928,1
12.344954368,0
12.349215006,1
12.423527638,0
12.427722736,1
12.502029056,0
12.506289356,1
12.580670992,0
12.584864258,1
12.659158202,0
12.663395960,1
12.737684476,0
12.741902746,1
12.816206412,0
12.820446882,1
12.894588942,0
12.899544306,1
12.973824934,0
12.978056800,1
13.052433468,0
13.056619892,1
13.130939928,0
13.135161032,1
13.209491972,0
13.213723328,1
13.288092576,0
13.292296922,1
13.366561152,0
13.370809572,1
13.445164932,0
13.449338378,1
13.523622734,0
