Time [s],Channel 0
0.000080562,1
0.014817176,0
0.014826144,1
0.240717342,0
0.240726352,1
0.466613872,0
0.466622890,1
0.692449420,0
0.692458766,1
0.918343306,0
0.918352786,1
1.144242298,0
1.144251232,1
1.370242510,0
1.370252036,1
1.596160476,0
1.596169414,1
1.822095984,0
1.822105014,1
2.048073542,0
2.048083076,1
2.273968990,0
2.273977962,1
2.499953268,0
2.499962274,1
2.725791026,0
2.725800036,1
2.951752550,0
2.951761556,1
3.177724320,0
3.177733300,1
3.403655494,0
3.403664460,1
3.629582164,0
3.629591386,1
3.855476686,0
3.855485762,1
4.081400806,0
4.081409782,1
4.307458040,0
4.307466996,1
4.533478674,0
4.533488156,1
4.759409900,0
4.759419226,1
4.985410810,0
4.985419816,1
5.211415166,0
5.211424276,1
5.437333028,0
5.437342418,1
5.663212494,0
5.663221446,1
5.889150234,0
5.889159152,1
6.115214282,0
6.115223332,1
6.341150182,0
6.341159352,1
6.567109534,0
6.567118494,1
6.792966580,0
6.792975642,1
7.018902810,0
7.018911912,1
7.244735930,0
7.244745002,1
7.470653470,0
7.470662490,1
7.696593828,0
7.696602812,1
7.922512406,0
7.922521710,1
8.148467174,0
8.148476154,1
8.374294596,0
8.374303538,1
8.600295978,0
8.600304958,1
8.826139140,0
8.826148162,1
9.052140450,0
9.052149418,1
9.278093948,0
9.278102982,1
9.504034600,0
9.504043572,1
9.729924030,0
9.729933014,1
9.955786078,0
9.955795166,1
10.181643320,0
10.181652290,1
10.407537498,0
10.407546936,1
10.633413014,0
10.633422012,1
10.859352898,0
10.859362032,1
11.085288692,0
11.085297690,1
11.311104100,0
11.311113596,1
11.536998604,0
11.537007626,1
11.762813406,0
11.762822440,1
11.988805544,0
11.988814590,1
12.214739246,0
12.214748188,1
12.440625642,0
12.440634780,1
12.666616328,0
12.666625374,1
12.892525006,0
12.892534378,1
13.118501900,0
13.118510808,1
13.344355594,0
13.344365070,1
13.570407952,0
13.570417404,1
13.796403240,0
13.796412598,1
14.022404120,0
14.022413100,1
14.248381210,0
14.248390570,1
14.474233628,0
14.474242566,1
14.700238850,0
14.700247872,1
14.926131814,0
14.926141160,1
15.152133570,0
15.152142604,1
15.378064756,0
15.378073912,1
15.604051332,0
15.604060362,1
15.829913970,0
15.829923340,1
16.055742156,0
16.055751160,1
16.281617118,0
16.281626064,1
16.507660974,0
16.507670416,1
16.733638198,0
16.733647182,1
16.959787338,0
16.959796848,1
17.185819824,0
17.185828850,1
17.411704762,0
17.411713658,1
17.637617630,0
17.637626972,1
17.863446860,0
17.863455760,1
18.089415524,0
18.089424896,1
18.315369206,0
18.315378170,1
18.541369438,0
18.541378818,1
18.767268218,0
18.767277212,1
18.993074454,0
18.993083626,1
19.219000574,0
19.219009524,1
19.444950950,0
19.444959972,1
19.670951404,0
19.670960400,1
19.896938156,0
19.896947582,1
20.122874386,0
20.122883820,1
20.348828420,0
20.348837442,1
20.574671120,0
20.574680482,1
20.800608078,0
20.800616962,1
21.026506526,0
21.026515602,1
21.252506650,0
21.252515998,1
21.478503266,0
21.478512596,1
21.704425096,0
21.704434184,1
21.930425642,0
21.930434976,1
22.156300588,0
22.156309614,1
22.382208768,0
22.382217878,1
22.608220102,0
22.608229100,1
22.834197046,0
22.834205920,1
23.060145200,0
23.060154184,1
23.286185482,0
23.286194478,1
23.512031956,0
23.512041010,1
23.737972400,0
23.737981362,1
23.963889906,0
23.963898970,1
24.189812446,0
24.189821438,1
24.415808178,0
24.415817498,1
24.641766262,0
24.641775718,1
24.867785896,0
24.867794772,1
25.093577864,0
25.093586980,1
25.319560644,0
25.319570070,1
25.545566170,0
25.545575290,1
25.771639786,0
25.771648762,1
25.997580178,0
25.997589216,1
26.223469486,0
26.223478478,1
26.449395940,0
26.449404958,1
26.675358274,0
26.675367308,1
26.901250044,0
26.901259036,1
27.127166912,0
27.127176378,1
27.353107770,0
27.353116792,1
27.579085058,0
27.579093982,1
27.805025002,0
27.805033900,1
28.031025806,0
28.031034800,1
28.256795280,0
28.256804314,1
28.482648112,0
28.482657610,1
28.708691592,0
28.708700730,1
28.934737466,0
28.934746454,1
29.160774964,0
29.160784132,1
29.386779808,0
29.386788792,1
29.612577480,0
29.612586794,1
29.838525872,0
29.838534972,1
30.064299534,0
30.064308638,1
30.249135922,1
