Time [s],Channel 0
0.000080562,1
0.002085544,0
0.012345136,1
0.023828902,0
0.034098546,1
0.045584778,0
0.055769400,1
0.067209174,0
0.077461858,1
0.088953078,0
0.099213476,1
0.110710566,0
0.120984722,1
0.132460720,0
0.142705792,1
0.154119512,0
0.164368802,1
0.175828762,0
0.186080748,1
0.197544014,0
0.207713426,1
0.219204372,0
0.229435564,1
0.240776718,0
0.250503570,1
0.261960562,0
0.272217072,1
0.283710566,0
0.294011096,1
0.305453876,0
0.315646500,1
0.327085608,0
0.337300976,1
0.348828996,0
0.358756718,1
0.370211096,0
0.380949898,1
0.392410414,0
0.402671852,1
0.414157706,0
0.424446212,1
0.435908464,0
0.446149590,1
0.457586564,0
0.467823774,1
0.479282728,0
0.489537354,1
0.500960940,0
0.511160288,1
0.522658424,0
0.532921266,1
0.544336686,0
0.554213482,1
0.565705010,0
0.575964946,1
0.587455470,0
0.597689130,1
0.609157994,0
0.619412058,1
0.630837540,0
0.641073280,1
0.652461500,0
0.662686242,1
0.674086132,0
0.684339300,1
0.695829674,0
0.706083146,1
0.717533788,0
0.727795988,1
0.739283426,0
0.749508956,1
0.760961950,0
0.771191656,1
0.782659876,0
0.792892048,1
0.804336476,0
0.814594378,1
0.826086698,0
0.836305140,1
0.847783982,0
0.857788032,1
0.869213006,0
0.879430028,1
0.890908276,0
0.901162562,1
0.912587256,0
0.922804320,1
0.934330832,0
0.944567692,1
0.955962540,0
0.966179646,1
0.977658062,0
0.987904304,1
0.999337908,0
1.009586118,1
1.021081308,0
1.031315538,1
1.042784742,0
1.052767010,1
1.064088254,0
1.074392926,1
1.085838438,0
1.096085914,1
1.107581768,0
1.117806364,1
1.129332244,0
1.139567002,1
1.151036510,0
1.161248740,1
1.172712468,0
1.182968116,1
1.194402878,0
1.204639546,1
1.216081790,0
1.226311678,1
1.237713620,0
1.247984130,1
1.259457882,0
1.269695908,1
1.281088412,0
1.291327400,1
1.302785708,0
1.313039980,1
1.324462988,0
1.334641672,1
1.346088908,0
1.356793682,1
1.368214826,0
1.377888160,1
1.389339384,0
1.399599898,1
1.411083288,0
1.421351964,1
1.432831826,0
1.443083706,1
1.454463872,0
1.464715194,1
1.476208090,0
1.486438100,1
1.497839594,0
1.508100096,1
1.519583516,0
1.529800904,1
1.541333754,0
1.551783498,1
1.563214662,0
1.573456060,1
1.584911422,0
1.595158244,1
1.606589730,0
1.616800198,1
1.628214842,0
1.638432148,1
1.649911710,0
1.660305494,1
1.671786722,0
1.682037666,1
1.693465890,0
1.703719142,1
1.715208062,0
1.725450742,1
1.736912028,0
1.747134538,1
1.758590038,0
1.768847118,1
1.780333680,0
1.790557326,1
1.802037038,0
1.812289044,1
1.823715738,0
1.833910606,1
1.845340448,0
1.855782194,1
1.867216490,0
1.877434986,1
1.888787540,0
1.899103166,1
1.910584082,0
1.920796392,1
1.932287828,0
1.942538984,1
1.953966382,0
1.964201404,1
1.975662612,0
1.985914354,1
1.997341188,0
2.007576800,1
2.019038126,0
2.029298372,1
2.040717526,0
2.050770284,1
2.062215320,0
2.072423888,1
2.083841308,0
2.094065576,1
2.105538708,0
2.115777294,1
2.127217000,0
2.137449398,1
2.148913492,0
2.158776364,1
2.170216574,0
2.180408026,1
2.191842128,0
2.201499654,1
2.212965540,0
2.223180078,1
2.234711248,0
2.244950996,1
2.256341628,0
2.266622978,1
2.278091298,0
2.288325658,1
2.299788332,0
2.309997576,1
2.321467562,0
2.331721426,1
2.343163708,0
2.353773998,1
2.365218268,0
2.375578644,1
2.386966592,0
2.397211910,1
2.408592610,0
2.418834298,1
2.430289410,0
2.440517252,1
2.451967556,0
2.462150922,1
2.473593230,0
2.483834040,1
2.495289376,0
2.505518590,1
2.516967722,0
2.527210556,1
2.538664784,0
2.548883290,1
2.560343852,0
2.570607306,1
2.582093884,0
2.592258918,1
2.603719098,0
2.613982202,1
2.625462184,0
2.635693360,1
2.647093192,0
2.657796420,1
2.669218532,0
2.679478932,1
2.690961756,0
2.701220066,1
2.712539894,0
2.722866000,1
2.734344294,0
2.744587324,1
2.755967524,0
2.766210304,1
2.777594344,0
2.787852232,1
2.799344498,0
2.809583320,1
2.821039402,0
2.831286982,1
2.842718926,0
2.852778822,1
2.864219268,0
2.874431222,1
2.885969018,0
2.896203078,1
2.907712646,0
2.917955426,1
2.929416534,0
2.939678964,1
2.951094254,0
2.961320280,1
2.972790430,0
2.983031198,1
2.994469754,0
3.004693260,1
3.016094474,0
3.025775004,1
3.037220186,0
3.047447428,1
3.058845064,0
3.069029176,1
3.080470206,0
3.090711276,1
3.102167142,0
3.112433398,1
3.123969034,0
3.134217286,1
3.145713142,0
3.155810748,1
3.167343910,0
3.177583548,1
3.189041504,0
3.199285026,1
3.210719930,0
3.220968222,1
3.232463250,0
3.242680596,1
3.254096146,0
3.264344642,1
3.275845400,0
3.286107822,1
3.297588832,0
3.307841312,1
3.319346066,0
3.329565342,1
3.340970278,0
3.350778798,1
3.362220856,0
3.372461136,1
3.383844930,0
3.394073484,1
3.405542472,0
3.415776310,1
3.427221188,0
3.437458614,1
3.448917766,0
3.458791316,1
3.470221044,0
3.480472990,1
3.491929940,0
3.502144910,1
3.513595794,0
3.523841560,1
3.535167664,0
3.545495148,1
3.556964704,0
3.567217556,1
3.578722272,0
3.588958544,1
3.600431108,0
3.610652634,1
3.622096808,0
3.632364234,1
3.643805524,0
3.653776604,1
3.665221756,0
3.675488016,1
3.686918094,0
3.697170412,1
3.708597386,0
3.718762948,1
3.730221472,0
3.740465732,1
3.751847246,0
3.762088626,1
3.773543988,0
3.783770796,1
3.795221834,0
3.805455258,1
3.816847232,0
3.827129058,1
3.838596558,0
3.848231556,1
3.859714060,0
3.869983664,1
3.881464954,0
3.891715114,1
3.903098258,0
3.913676422,1
3.925097614,0
3.935298730,1
3.946794770,0
3.956810900,1
3.968348158,0
3.978564412,1
3.990043452,0
4.000296392,1
4.011723332,0
4.021917928,1
4.033346618,0
4.043421694,1
4.054847534,0
4.065072214,1
4.076473538,0
4.086755500,1
4.098223816,0
4.108436854,1
4.119920382,0
4.130159036,1
4.141597844,0
4.151759052,1
4.163223518,0
4.173459490,1
4.184919950,0
4.195158292,1
4.206598762,0
4.216838984,1
4.228342350,0
4.238607950,1
4.250093816,0
4.260389438,1
4.271848878,0
4.282061228,1
4.293592606,0
4.303842094,1
4.315296034,0
4.325522598,1
4.336974396,0
4.347213184,1
4.358540136,0
4.368858884,1
4.380343554,0
4.390609400,1
4.402092840,0
4.412351858,1
4.423849586,0
4.434093740,1
4.445474434,0
4.455814114,1
4.467342850,0
4.477595052,1
4.489099462,0
4.499356846,1
4.510843246,0
4.521087526,1
4.532546698,0
4.542789770,1
4.554224768,0
4.564471820,1
4.575921160,0
4.586175076,1
4.597672110,0
4.607886226,1
4.619348642,0
4.629597762,1
4.641100024,0
4.651757818,1
4.663224466,0
4.672889514,1
4.684342106,0
4.694600452,1
4.706046892,0
4.716280738,1
4.727723694,0
4.737941658,1
4.749421902,0
4.760344014,1
4.771724186,0
4.781975950,1
4.793474894,0
4.803756762,1
4.815226044,0
4.825457094,1
4.836922042,0
4.847168022,1
4.858600524,0
4.868828750,1
4.880296966,0
4.890559154,1
4.901974456,0
4.912140428,1
4.923600864,0
4.933842072,1
4.945225954,0
4.955774372,1
4.967226088,0
4.977475426,1
4.988969648,0
4.999227166,1
5.010726382,0
5.020987340,1
5.032468730,0
5.042709232,1
5.054135654,0
5.064369406,1
5.075851878,0
5.086080458,1
5.097547460,0
5.107772508,1
5.119226398,0
5.129452682,1
5.140850976,0
5.150803620,1
5.162297924,0
5.172555016,1
5.183916730,0
5.194220574,1
5.205602230,0
5.215861918,1
5.227345400,0
5.237623212,1
5.249095312,0
5.260344790,1
5.271727072,0
5.281934510,1
5.293351896,0
5.303595634,1
5.314976518,0
5.325257578,1
5.336727192,0
5.346917340,1
5.358351596,0
5.368587766,1
5.380048202,0
5.390297682,1
5.401727672,0
5.411977998,1
5.423477172,0
5.433739310,1
5.445227328,0
5.455802060,1
5.467227282,0
5.477765180,1
5.489226750,0
5.498879622,1
5.510352046,0
5.520603092,1
5.532048696,0
5.542297396,1
5.553727736,0
5.563960058,1
5.575424376,0
5.585663998,1
5.597103046,0
5.607358210,1
5.618728774,0
5.628971958,1
5.640438190,0
5.650684702,1
5.662103404,0
5.672358942,1
5.683852796,0
5.694081646,1
5.705550402,0
5.715803506,1
5.727228118,0
5.737446576,1
5.748925384,0
5.758805482,1
5.770229118,0
5.780459464,1
5.791854108,0
5.802092572,1
5.813550428,0
5.823785262,1
5.835228710,0
5.845468398,1
5.856924842,0
5.867140714,1
5.878603840,0
5.888822216,1
5.900347582,0
5.910615010,1
5.922098406,0
5.932348856,1
5.943727966,0
5.953790658,1
5.965229626,0
5.975442368,1
5.986972480,0
5.997215238,1
6.008527540,0
6.018851836,1
6.030348414,0
6.040584398,1
6.052051850,0
6.062276942,1
6.073729620,0
6.083939242,1
6.095354368,0
6.105580664,1
6.117050972,0
6.127292650,1
6.138730590,0
6.148973886,1
6.160355060,0
6.170606126,1
6.182063858,0
6.192316818,1
6.203847962,0
6.214089386,1
6.225479998,0
6.235750386,1
6.247223734,0
6.257792040,1
6.269229858,0
6.279463742,1
6.290855344,0
6.301108166,1
6.312599356,0
6.322281958,1
6.333729978,0
6.343984490,1
6.355426980,0
6.365645922,1
6.377104520,0
6.387329484,1
6.398730506,0
6.408962006,1
6.420426762,0
6.430663588,1
6.442105720,0
6.452806054,1
6.464302908,0
6.474536608,1
6.485981668,0
6.496217880,1
6.507676420,0
6.517938138,1
6.529356294,0
6.539598990,1
6.551051688,0
6.561270726,1
6.572724966,0
6.582961136,1
6.594427894,0
6.604661102,1
6.616106734,0
6.626372016,1
6.637802986,0
6.648043548,1
6.659480514,0
6.669725776,1
6.681106282,0
6.691367174,1
6.702849902,0
6.713089810,1
6.724552746,0
6.734793816,1
6.746231664,0
6.756776536,1
6.768231964,0
6.778487994,1
6.789928366,0
6.800130438,1
6.811600244,0
6.821812440,1
6.833155658,0
6.843465046,1
6.854928202,0
6.865178102,1
6.876607568,0
6.886849784,1
6.898232066,0
6.908471704,1
6.919928226,0
6.930184964,1
6.941678792,0
6.951797592,1
6.963232806,0
6.973439764,1
6.984857492,0
6.995092262,1
7.006482810,0
7.017058516,1
7.028554438,0
7.038804814,1
7.050200108,0
7.060418546,1
7.071856830,0
7.082061540,1
7.093553958,0
7.103805112,1
7.115232990,0
7.125447236,1
7.136858374,0
7.146551256,1
7.157983612,0
7.168214284,1
7.179679856,0
7.189918374,1
7.201357846,0
7.211580776,1
7.223055424,0
7.233323312,1
7.244851876,0
7.254796930,1
7.266233690,0
7.276457916,1
7.287975422,0
7.298199130,1
7.309727354,0
7.319921262,1
7.331358906,0
7.341592906,1
7.353054804,0
7.363306320,1
7.374734186,0
7.384960106,1
7.396407304,0
7.406622704,1
7.418108856,0
7.428345794,1
7.439805234,0
7.450069984,1
7.461554868,0
7.471801436,1
7.483232654,0
7.493472696,1
7.504930802,0
7.515174218,1
7.526608672,0
7.536846792,1
7.548305362,0
7.558819140,1
7.570234748,0
7.580411096,1
7.591859886,0
7.602061548,1
7.613484822,0
