Time [s],Channel 0
0.000080562,1
0.036490886,0
0.046236106,1
0.120519860,0
0.130035226,1
0.204408734,0
0.214100522,1
0.288387302,0
0.298120896,1
0.372454302,0
0.382154902,1
0.456513102,0
0.466171330,1
0.540510336,0
0.550196302,1
0.624512266,0
0.634276790,1
0.708571908,0
0.718116966,1
0.792434844,0
0.802133190,1
0.876426824,0
0.886117374,1
0.960390904,0
0.970674414,1
1.045001592,0
1.054719696,1
1.129072964,0
1.138709826,1
1.213028950,0
1.222709672,1
1.297002350,0
1.306742028,1
1.381054608,0
1.390777400,1
1.465136444,0
1.474811908,1
1.549187378,0
1.558375144,1
1.632723256,0
1.642403334,1
1.716770750,0
1.726460846,1
1.800734412,0
1.810520484,1
1.884851574,0
1.894565404,1
1.968881582,0
1.978644274,1
2.053013774,0
2.062770528,1
2.137059520,0
2.146819612,1
2.221185014,0
2.230904032,1
2.305249176,0
2.315163006,1
2.389460506,0
2.399195596,1
2.473479580,0
2.483199962,1
2.557519300,0
2.567241140,1
2.641542618,0
2.651268952,1
2.725624760,0
2.735329768,1
2.809688130,0
2.819118808,1
2.893323752,0
2.903025706,1
2.977331380,0
2.986979308,1
3.061267740,0
3.070986874,1
3.145310076,0
3.154985452,1
3.229322184,0
3.238990088,1
3.313308064,0
3.322996594,1
3.397342600,0
3.406970830,1
3.481270948,0
3.490447956,1
3.564758800,0
3.574530390,1
3.648894930,0
3.658578706,1
3.732891270,0
3.742606228,1
3.816943022,0
3.826658930,1
3.900984876,0
3.910726522,1
3.985078428,0
3.994746720,1
4.069085778,0
4.078683270,1
4.153065050,0
4.162712362,1
4.237057084,0
4.246799908,1
4.321133884,0
4.330772588,1
4.405047392,0
4.415166122,1
4.489534356,0
4.499229102,1
4.573568308,0
4.583261090,1
4.657588232,0
4.667313486,1
4.741651054,0
4.751362490,1
4.825647140,0
4.835613304,1
4.909913508,0
4.919153268,1
4.993541844,0
5.003185242,1
5.077528254,0
5.087198454,1
5.161499938,0
5.171207120,1
5.245536620,0
5.255231298,1
5.329578322,0
5.339280552,1
5.413671442,0
5.423365072,1
5.497612482,0
5.507203406,1
5.581542398,0
5.591243972,1
5.665540000,0
5.675213178,1
5.749514508,0
5.759297890,1
5.833651580,0
5.843386246,1
5.917710496,0
5.927391590,1
6.001795164,0
6.011443146,1
6.085718908,0
6.095419510,1
6.169795946,0
6.179416878,1
6.253820944,0
6.263520972,1
6.337835850,0
6.347570194,1
6.421906876,0
6.431659930,1
6.506017586,0
6.516079314,1
6.590398862,0
6.600086820,1
6.674405676,0
6.684094466,1
6.758400438,0
6.768071504,1
6.842429922,0
6.852090726,1
6.926426292,0
6.936100508,1
7.010378360,0
7.020154376,1
7.094396896,0
7.104130558,1
7.178445600,0
7.188176638,1
7.262515046,0
7.272135128,1
7.346451662,0
7.356102752,1
7.430287978,0
7.440574008,1
7.514858008,0
7.524667832,1
7.599067066,0
7.608696924,1
7.682968516,0
7.692683530,1
7.767016428,0
7.776694602,1
7.851059630,0
7.860760396,1
7.935074142,0
7.944795696,1
8.019101316,0
8.028871052,1
8.103190106,0
8.113198056,1
8.187589476,0
8.197277318,1
8.271570092,0
8.281235316,1
8.355614182,0
8.365284714,1
8.439606930,0
8.449326300,1
8.523670338,0
8.533411832,1
8.607788366,0
8.617184360,1
8.691495476,0
8.701218462,1
8.775525844,0
8.785209656,1
8.859590200,0
8.869300912,1
8.943598604,0
8.953294174,1
9.027658530,0
9.037381692,1
9.111677462,0
9.121660758,1
9.195989868,0
9.205617218,1
9.279968012,0
9.289676204,1
9.363929622,0
9.373913092,1
9.448249046,0
9.457864552,1
9.532204622,0
9.541881196,1
9.616198950,0
9.625930682,1
9.700252076,0
9.709994318,1
9.784320758,0
9.794084028,1
9.868432110,0
9.878091066,1
9.952414828,0
9.962164040,1
10.036526288,0
10.046244236,1
10.120604390,0
10.130230216,1
10.204546024,0
10.214173938,1
10.288553442,0
10.298249094,1
10.372555592,0
10.382299696,1
10.456606502,0
10.466309608,1
10.540668398,0
10.550378168,1
10.624696592,0
10.634445186,1
10.708754334,0
10.718152240,1
10.792430472,0
10.802121090,1
10.876465822,0
10.886196954,1
10.960521060,0
10.970235144,1
11.044520936,0
11.054243460,1
11.128549912,0
11.138244194,1
11.212550196,0
11.222307116,1
11.296551590,0
11.306828432,1
11.381141292,0
11.390893728,1
11.465123442,0
11.474849162,1
11.549171760,0
11.558886734,1
11.633190528,0
11.642876194,1
11.717207612,0
11.726881108,1
11.801177668,0
11.810845446,1
11.885174652,0
11.894926064,1
11.969303770,0
11.979025232,1
12.053291062,0
12.063006254,1
12.137318148,0
12.146985654,1
12.221276020,0
12.230973110,1
12.305305282,0
12.315131490,1
12.389446310,0
12.399116836,1
12.473424414,0
12.483167380,1
12.557473498,0
12.567169468,1
12.641541290,0
12.651246544,1
12.725533712,0
12.735272070,1
12.809561896,0
12.819248612,1
12.893596006,0
12.903298422,1
12.977665944,0
12.987384606,1
13.061716988,0
13.071419202,1
13.145810530,0
13.155488196,1
13.229702664,0
13.240056906,1
13.314444662,0
13.324133778,1
13.398420854,0
13.408128420,1
13.482439326,0
13.492106608,1
13.566429688,0
13.576115858,1
13.650429576,0
13.660160046,1
13.734477048,0
13.744192788,1
13.818456110,0
13.828158326,1
13.902416632,0
13.912147156,1
13.986403308,0
13.996151382,1
14.070431084,0
14.080164578,1
14.154568110,0
14.164238762,1
14.238554230,0
14.248300662,1
14.322652976,0
14.332392408,1
14.406693598,0
14.416093950,1
14.490479072,0
14.500175190,1
14.574475884,0
14.584145474,1
14.658460278,0
14.668188814,1
14.742516236,0
14.752256526,1
14.826593970,0
14.836317646,1
14.910633098,0
14.920151896,1
14.994453208,0
15.004204670,1
15.078530978,0
15.088204694,1
15.162406164,0
15.172030912,1
15.246329204,0
15.256039582,1
15.330372790,0
15.340084626,1
15.414351214,0
15.424046480,1
15.498425050,0
15.508134174,1
15.582487616,0
15.592228830,1
15.666578152,0
15.676274966,1
15.750581396,0
15.760296626,1
15.834629514,0
15.844328700,1
15.918651208,0
15.928357636,1
16.002684840,0
16.012229438,1
16.086571362,0
16.096278090,1
16.170550472,0
16.180276430,1
16.254569304,0
16.264309926,1
16.338666088,0
16.348391938,1
16.422679228,0
16.432371218,1
16.506656154,0
16.516219862,1
16.590480852,0
16.600160484,1
16.674457162,0
16.684115872,1
16.758464242,0
16.768121516,1
16.842434376,0
16.852139800,1
16.926484132,0
16.936141382,1
17.010455280,0
17.020117290,1
17.094357564,0
17.103953184,1
17.178327670,0
17.188033506,1
17.262339334,0
17.272088078,1
17.346423844,0
17.356121930,1
17.430405984,0
17.440142524,1
17.514428784,0
17.524129892,1
17.598416174,0
