Time [s],Channel 0
0.000080562,1
0.006780526,0
0.016416318,1
0.035006854,0
0.044690704,1
0.063319128,0
0.073405492,1
0.092007412,0
0.103222630,1
0.121840644,0
0.131457782,1
0.150069130,0
0.159771786,1
0.178382864,0
0.188086948,1
0.206654416,0
0.216301668,1
0.234943228,0
0.244655758,1
0.263215136,0
0.272898540,1
0.291458272,0
0.301201440,1
0.319780930,0
0.329614552,1
0.348233028,0
0.357895930,1
0.376466252,0
0.386190158,1
0.404758510,0
0.414412666,1
0.433009072,0
0.442706966,1
0.461331118,0
0.470761064,1
0.489383448,0
0.499212930,1
0.517820724,0
0.527503250,1
0.546132706,0
0.555864740,1
0.574467564,0
0.584189860,1
0.602786016,0
0.612492510,1
0.631108338,0
0.640804992,1
0.659341728,0
0.669046246,1
0.687663306,0
0.697228436,1
0.715859326,0
0.725579540,1
0.744234258,0
0.753945006,1
0.772538462,0
0.782218658,1
0.800831894,0
0.810481450,1
0.829109156,0
0.838805744,1
0.857408230,0
0.867148782,1
0.885759496,0
0.895201972,1
0.913821382,0
0.923497400,1
0.942081752,0
0.951759632,1
0.970360326,0
0.980072824,1
0.998734660,0
1.008456686,1
1.027081980,0
1.036780484,1
1.055343808,0
1.065064554,1
1.083735108,0
1.093447380,1
1.112071756,0
1.121779774,1
1.140386126,0
1.150052678,1
1.168623396,0
1.178356918,1
1.196957120,0
1.206628696,1
1.225261274,0
1.234971268,1
1.253610274,0
1.263305992,1
1.281843990,0
1.291510062,1
1.310110892,0
1.319852132,1
1.338414970,0
1.348086242,1
1.366734820,0
1.376450092,1
1.395073378,0
1.404763784,1
1.423357106,0
1.433066436,1
1.451665652,0
1.461389406,1
1.480011608,0
1.489753136,1
1.508344624,0
1.518038814,1
1.536660416,0
1.546373772,1
1.564986186,0
1.574689970,1
1.593285344,0
1.603214032,1
1.621861484,0
1.631530078,1
1.650137458,0
1.659783740,1
1.678387528,0
1.688057738,1
1.706661010,0
1.716332978,1
1.734958868,0
1.744605062,1
1.763236614,0
1.772896052,1
1.791535266,0
1.801188946,1
1.819835090,0
1.829964506,1
1.848584958,0
1.858228508,1
1.876790506,0
1.886472066,1
1.905112792,0
1.914825298,1
1.933416904,0
1.943108502,1
1.961738182,0
1.971421530,1
1.990013640,0
1.999202648,1
2.017825112,0
2.027547314,1
2.046088298,0
2.055826930,1
2.074449552,0
2.084150970,1
2.102721722,0
2.112434762,1
2.119946240,1
