Time [s],Channel 1,Channel 2
0.000080562,0.162,0.010
0.000112562,0.157,0.010
0.000144562,0.167,0.010
0.000176562,0.178,0.010
0.000208562,0.178,0.010
0.000240562,0.183,0.010
0.000272562,0.178,0.010
0.000304562,0.178,0.004
0.000336562,0.167,0.010
0.000368562,0.167,0.010
0.000400562,0.157,0.004
0.000432562,0.157,0.010
0.000464562,0.157,0.004
0.000496562,0.162,0.010
0.000528562,0.157,0.010
0.000560562,0.157,0.010
0.000592562,0.157,0.004
0.000624562,0.157,0.004
0.000656562,0.157,0.010
0.000688562,0.157,0.004
0.000720562,0.157,0.010
0.000752562,0.157,0.010
0.000784562,0.208,0.010
0.000816562,0.214,0.010
0.000848562,0.234,0.010
0.000880562,0.260,0.010
0.000912562,0.280,0.010
0.000944562,0.265,0.010
0.000976562,0.260,0.010
0.001008562,0.285,0.010
0.001040562,0.260,0.010
0.001072562,0.244,0.010
0.001104562,0.239,0.010
0.001136562,0.280,0.010
0.001168562,0.275,0.010
0.001200562,0.275,0.010
0.001232562,0.260,0.010
0.001264562,0.270,0.010
0.001296562,0.270,0.010
0.001328562,0.285,0.015
0.001360562,0.291,0.010
0.001392562,0.306,0.010
0.001424562,0.321,0.015
0.001456562,0.301,0.015
0.001488562,0.301,0.010
0.001520562,0.337,0.010
0.001552562,0.311,0.015
0.001584562,0.332,0.015
0.001616562,0.321,0.015
0.001648562,0.332,0.010
0.001680562,0.326,0.015
0.001712562,0.347,0.010
0.001744562,0.326,0.010
0.001776562,0.326,0.015
0.001808562,0.332,0.010
0.001840562,0.316,0.010
0.001872562,0.342,0.015
0.001904562,0.326,0.015
0.001936562,0.337,0.015
0.001968562,0.388,0.010
0.002000562,0.424,0.015
0.002032562,0.434,0.015
0.002064562,0.393,0.015
0.002096562,0.403,0.015
0.002128562,0.455,0.015
0.002160562,0.470,0.015
0.002192562,0.485,0.015
0.002224562,0.480,0.015
0.002256562,0.480,0.015
0.002288562,0.485,0.015
0.002320562,0.506,0.015
0.002352562,0.521,0.015
0.002384562,0.506,0.015
0.002416562,0.424,0.015
0.002448562,0.429,0.015
0.002480562,0.485,0.015
0.002512562,0.532,0.015
0.002544562,0.552,0.015
0.002576562,0.527,0.015
0.002608562,0.547,0.015
0.002640562,0.496,0.015
0.002672562,0.393,0.015
0.002704562,0.337,0.015
0.002736562,0.465,0.015
0.002768562,0.562,0.015
0.002800562,0.573,0.015
0.002832562,0.609,0.015
0.002864562,0.516,0.015
0.002896562,0.578,0.015
0.002928562,0.506,0.015
0.002960562,0.434,0.010
0.002992562,0.367,0.015
0.003024562,0.321,0.010
0.003056562,0.296,0.015
0.003088562,0.291,0.010
