Time [s],Channel 0
0.000080562,1
0.008029004,0
0.008029578,1
0.020901866,0
0.020902438,1
0.033780038,0
0.033780612,1
0.046646274,0
0.046646848,1
0.059524660,0
0.059525234,1
0.072407154,0
0.072407728,1
0.085267548,0
0.085268122,1
0.098148168,0
0.098148740,1
0.111020186,0
0.111020760,1
0.123901464,0
0.123902038,1
0.136771238,0
0.136771810,1
0.149649332,0
0.149649910,1
0.162526822,0
0.162527396,1
0.175401486,0
0.175402060,1
0.188273034,0
0.188273608,1
0.201144842,0
0.201145414,1
0.214019128,0
0.214019700,1
0.226859034,0
0.226859608,1
0.239742512,0
0.239743084,1
0.252650906,0
0.252651480,1
0.265521462,0
0.265522036,1
0.278401902,0
0.278402476,1
0.291285768,0
0.291286340,1
0.304150286,0
0.304150860,1
0.317026326,0
0.317026900,1
0.329898458,0
0.329899032,1
0.342777090,0
0.342777664,1
0.355647484,0
0.355648058,1
0.368529378,0
0.368529952,1
0.381396886,0
0.381397458,1
0.394272692,0
0.394273266,1
0.407151986,0
0.407152560,1
0.420023248,0
0.420023820,1
0.432894146,0
0.432894718,1
0.445738498,0
0.445739072,1
0.458613154,0
0.458613728,1
0.471489400,0
0.471489972,1
0.484395440,0
0.484396012,1
0.497274992,0
0.497275566,1
0.510146416,0
0.510146988,1
0.523026222,0
0.523026796,1
0.535903542,0
0.535904114,1
0.548651844,0
0.548652422,1
0.561523738,0
0.561524312,1
0.574403290,0
0.574403864,1
0.587273610,0
0.587274182,1
0.600150746,0
0.600151318,1
0.613023236,0
0.613023808,1
0.625904572,0
0.625905148,1
0.638781966,0
0.638782540,1
0.651648798,0
0.651649376,1
0.664525388,0
0.664525960,1
0.677399366,0
0.677399938,1
0.690287388,0
0.690287962,1
0.703152070,0
0.703152644,1
0.716021910,0
0.716022484,1
0.728899708,0
0.728900282,1
0.741776100,0
0.741776672,1
0.754651752,0
0.754652324,1
0.767484808,0
0.767485382,1
0.780255248,0
0.780255822,1
0.793110430,0
0.793111004,1
0.805942558,0
0.805943130,1
0.818850272,0
0.818850846,1
0.831743334,0
0.831743908,1
0.844613470,0
0.844614044,1
0.857491002,0
0.857491574,1
0.870361600,0
0.870362174,1
0.883270570,0
0.883271142,1
0.896148914,0
0.896149486,1
0.909023846,0
0.909024418,1
0.921906232,0
0.921906804,1
0.934772668,0
0.934773240,1
0.947648892,0
0.947649464,1
0.960526914,0
0.960527488,1
0.973407204,0
0.973407778,1
0.986272720,0
0.986273294,1
0.999148198,0
0.999148770,1
1.012023438,0
1.012024010,1
1.024897140,0
1.024897714,1
1.037775610,0
1.037776182,1
1.050645996,0
1.050646568,1
1.063537294,0
1.063537868,1
1.076404392,0
1.076404966,1
1.089275590,0
1.089276164,1
1.094164480,1
